"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.623172500E-1,NaN
2.641433333E-1,-4.579611457E1
3.696290416E-1,-3.984878247E1
4.745762500E-1,-4.257017660E1
5.810846667E-1,-4.026943761E1
6.875342500E-1,-3.975432780E1
7.903396667E-1,-3.934854827E1
8.965512917E-1,-4.056327014E1
1.003450000E0,-3.697198344E1
1.107903625E0,-3.941877033E1
1.214460958E0,-3.794378961E1
1.320994417E0,-3.786170148E1
1.424586042E0,-3.632324869E1
1.531034292E0,-3.876153080E1
1.637598292E0,-3.685259597E1
1.741243792E0,-3.785443004E1
1.847758167E0,-3.970162502E1
1.952596125E0,NaN
2.057877875E0,-4.032602016E1
2.164408875E0,-3.993128643E1
2.270950917E0,-4.032025862E1
2.374567417E0,-4.123258694E1
2.479683542E0,-3.766800255E1
2.586174625E0,-3.561475911E1
2.691239042E0,-3.660958668E1
2.796462625E0,-3.922676249E1
2.902915417E0,-3.973132624E1
3.007999125E0,-4.117193928E1
3.114521583E0,-4.114495697E1
3.221050750E0,-4.148070699E1
3.324567917E0,-3.990503171E1
3.429861667E0,-4.079904312E1
3.536465458E0,-4.169699238E1
3.641259000E0,-2.423863321E1
3.746529875E0,NaN
3.847898750E0,-4.175445069E1
3.954402375E0,-4.195948439E1
4.057963708E0,-3.868459508E1
4.164583750E0,-3.468437441E1
4.271266083E0,-3.538550399E1
4.374608125E0,-3.993594819E1
4.480050958E0,-4.015362520E1
4.586576875E0,-3.867245935E1
4.691268542E0,-3.990687171E1
4.796645958E0,-3.950264830E1
4.903139542E0,-4.089423340E1
5.008053750E0,-4.285343153E1
5.114699583E0,-4.099934082E1
5.221341542E0,-4.121588213E1
5.324592042E0,-4.171479771E1
5.430167125E0,-3.998403765E1
5.536734708E0,-4.166617134E1
5.641200708E0,-4.057888044E1
5.746758333E0,-3.998512431E1
5.853406625E0,-3.789871826E1
5.957962542E0,-3.974722402E1
6.064823208E0,-3.921216077E1
6.171501792E0,-4.158950850E1
6.274614250E0,-4.077877013E1
6.380126542E0,-4.122437768E1
6.486898542E0,-4.046653045E1
6.590943542E0,-3.995387347E1
6.696945333E0,-4.175774248E1
6.803399333E0,-4.019141697E1
6.907923042E0,-4.077272623E1
7.013579917E0,-4.069911497E1
7.119052625E0,-4.200846508E1
7.224578958E0,-3.938903659E1
7.331449792E0,-4.007659015E1
7.436055083E0,-3.866421828E1
7.541244375E0,-3.496152910E1
7.646906083E0,-3.880192618E1
7.753575417E0,-4.058371007E1
7.857922917E0,-4.082359954E1
7.963639875E0,-4.016274864E1
8.070263333E0,-4.083866754E1
8.174624167E0,-4.228376427E1
8.280285625E0,-3.918781313E1
8.386821583E0,-3.802579862E1
8.491255042E0,-4.017081559E1
8.596948542E0,-3.950260101E1
8.703516000E0,-3.856895219E1
8.807949208E0,-3.856761075E1
8.913677917E0,-4.011228710E1
9.020413417E0,-3.896507556E1
9.124578750E0,-4.178596263E1
9.230405250E0,-3.916443701E1
9.336954375E0,-3.913703116E1
9.441271792E0,-4.037897412E1
9.548361708E0,-4.054517243E1
9.652553333E0,NaN
9.757857917E0,-4.096132999E1
9.863738750E0,-4.168073415E1
9.970335250E0,-4.127189513E1
1.007457908E1,-3.932970877E1
1.018043200E1,-3.826929513E1
1.028703000E1,-4.191462413E1
1.039129046E1,-4.248889524E1
1.049720904E1,-4.034088145E1
1.060377092E1,-4.044412999E1
1.070792267E1,-3.446144317E1
1.081378233E1,-3.494265405E1
1.092049292E1,-3.923252374E1
1.102465787E1,-3.995802976E1
1.113052804E1,-3.621537879E1
1.123704942E1,-3.893206255E1
1.134118304E1,-3.548159521E1
1.144711546E1,NaN
1.154843996E1,-4.156061759E1
1.165500467E1,-3.854545505E1
1.175789221E1,-3.413943602E1
1.186392262E1,-3.088636228E1
1.197041658E1,-3.372704951E1
1.207458267E1,-3.073187240E1
1.218061125E1,-3.397097667E1
1.228728817E1,-3.185636981E1
1.239107158E1,-3.125808820E1
1.249728296E1,-3.405925616E1
1.259989221E1,-3.703711588E1
1.270642625E1,-3.465876186E1
1.281288896E1,-3.739408345E1
1.291529004E1,-3.994324201E1
1.302189108E1,-3.841576588E1
1.312459133E1,-4.184373786E1
1.323068029E1,-3.797861593E1
1.333721162E1,-3.879813890E1
1.344125279E1,-3.463819828E1
1.354725854E1,NaN
1.364868987E1,-3.744030286E1
1.375522671E1,-3.587979564E1
1.385789533E1,-3.475096410E1
1.396424700E1,-3.479101735E1
1.407091771E1,-2.895772376E1
1.417461017E1,-2.795567470E1
1.428074446E1,-3.279372225E1
1.438728704E1,-3.164812002E1
1.449127154E1,-3.388932430E1
1.459741379E1,-3.451908552E1
1.470397575E1,-3.486609411E1
1.480792400E1,-3.631366024E1
1.491410104E1,-3.855165973E1
1.501933329E1,-3.979795390E1
1.512597900E1,-3.979604328E1
1.523215667E1,-3.451290013E1
1.533857496E1,-3.267614913E1
1.544504767E1,-3.817697905E1
1.554872867E1,-3.765545050E1
1.565525696E1,-3.705172312E1
1.576168600E1,-3.672151710E1
1.586544321E1,-3.554623546E1
1.597199379E1,-3.795411877E1
1.607864208E1,-4.086004724E1
1.618218146E1,-3.461175977E1
1.628865937E1,-3.922124534E1
1.639507333E1,-3.778953006E1
1.649754200E1,-3.885847956E1
1.660404342E1,-3.996259395E1
1.671057404E1,-4.029865731E1
1.681549971E1,-3.999630865E1
1.692201096E1,-4.058302293E1
1.702394546E1,-3.987313708E1
1.713040354E1,-3.915557923E1
1.723221725E1,-4.106498243E1
1.733421696E1,-4.073580251E1
1.744079679E1,-4.142176272E1
1.754727729E1,-4.025533415E1
1.764900967E1,-3.877634948E1
1.775554862E1,-3.977108024E1
1.786205129E1,-3.846152094E1
1.796565512E1,-4.023924392E1
1.807226467E1,-3.937676905E1
1.817875879E1,-3.926380111E1
1.828227612E1,-4.065777903E1
1.838873837E1,-4.205244465E1
1.849520237E1,-3.995474719E1
1.859896792E1,-3.956130057E1
1.870546308E1,-3.649592537E1
1.881202429E1,-3.658687047E1
1.891573933E1,-3.414674714E1
1.902235096E1,-3.634201985E1
1.912586367E1,-3.278583710E1
1.923109958E1,-3.516932486E1
1.933676467E1,-3.391287402E1
1.944316383E1,NaN
1.954771371E1,-3.277844284E1
1.965419829E1,-3.485117922E1
1.976063021E1,-3.623518596E1
1.986579604E1,-3.455549700E1
1.997234617E1,-3.484169245E1
2.007880937E1,-3.363174673E1
2.018255225E1,-3.324847124E1
2.028922596E1,-3.426172508E1
2.039566842E1,-3.800971831E1
2.049919583E1,-3.571711702E1
2.060571871E1,-3.645281671E1
2.071217608E1,-3.570386042E1
2.081581292E1,-3.750354594E1
2.092246729E1,-3.976201141E1
2.102878350E1,-3.420748400E1
2.113260200E1,-3.403066440E1
2.123460792E1,-3.446634001E1
2.133993629E1,-3.369499440E1
2.144634779E1,-3.762532394E1
2.154914437E1,NaN
2.165497417E1,-3.540718918E1
2.175758308E1,-3.294636103E1
2.186402000E1,-3.544869519E1
2.196593975E1,-3.533088469E1
2.207249408E1,-3.754085443E1
2.217900521E1,-3.589623040E1
2.228137871E1,-3.571610828E1
2.238772317E1,-3.656029447E1
2.249193825E1,-3.676579853E1
2.259793725E1,-3.787581296E1
2.270444650E1,-3.676210975E1
2.280775758E1,-3.804322185E1
2.291014971E1,-3.623389393E1
2.301597025E1,-3.621944876E1
2.312238008E1,-3.848384095E1
2.322894371E1,-4.149825310E1
2.333265312E1,-4.111929019E1
2.343918067E1,-4.077138158E1
2.354564804E1,-3.102462917E1
2.364938567E1,NaN
2.375116696E1,-3.660662156E1
2.385760837E1,-3.440767713E1
2.396412437E1,-3.229322603E1
2.406611592E1,-3.456580883E1
2.417264008E1,-3.953275815E1
2.427913754E1,-3.775184243E1
2.438279679E1,-3.639467126E1
2.448930208E1,-3.614591326E1
2.459578833E1,-3.533931491E1
2.469942925E1,-2.970029590E1
2.480595717E1,-3.217538702E1
2.491230446E1,-3.020842524E1
2.501612854E1,-3.174182732E1
2.512266650E1,-2.858240347E1
2.522913546E1,-3.209067583E1
2.533280517E1,-2.755858239E1
2.543927475E1,NaN
2.554514104E1,-3.576688612E1
2.564955071E1,-3.140969890E1
2.575336483E1,-3.247941788E1
2.585985158E1,-3.083062193E1
2.596625125E1,-3.386587161E1
2.607287983E1,-3.421583093E1
2.617935671E1,-3.198312934E1
2.628159717E1,-3.240904237E1
2.638803396E1,-3.758635403E1
2.649455600E1,-3.740925383E1
2.659956012E1,-3.434538790E1
2.670602583E1,-3.472102506E1
2.680798396E1,-3.497525508E1
2.691444662E1,-3.543219894E1
2.701628750E1,-3.596099829E1
2.712280658E1,-3.309042356E1
2.722930317E1,-3.042640126E1
2.733295512E1,-3.416924561E1
2.743946592E1,-3.034089915E1
2.754594892E1,NaN
2.764970317E1,-2.884601928E1
2.775609146E1,-3.068353406E1
2.786250775E1,-2.620980605E1
2.796641229E1,-2.886641140E1
2.807299054E1,-3.052874229E1
2.817942429E1,-3.212093108E1
2.828301708E1,-3.344501635E1
2.838944037E1,-3.244586993E1
2.849587796E1,-3.456184718E1
2.859970921E1,-3.496692433E1
2.870625071E1,-3.323828484E1
2.881270504E1,-3.520971521E1
2.891655737E1,-3.447709813E1
2.901916212E1,-3.484944270E1
2.912570479E1,-3.321736821E1
2.923176762E1,-3.403346270E1
2.933644008E1,-3.369046348E1
2.944289633E1,-3.212516889E1
2.954848896E1,-3.411887161E1
2.965491617E1,-3.061344479E1
2.975773262E1,-3.570440440E1
2.986418075E1,-3.513331499E1
2.996651133E1,-3.359658448E1
3.007309767E1,-3.462512557E1
3.017954529E1,-3.605449095E1
