"Time (s)","X (hPa)"
-5.347450833E-1,1.016994476E3
4.930039167E-1,1.017005310E3
1.520710917E0,1.017016068E3
2.548422917E0,1.017038727E3
3.576114917E0,1.017056656E3
3.775282917E0,1.017064743E3
4.836159917E0,1.017065887E3
5.896961917E0,1.017071457E3
6.957830917E0,1.017071457E3
8.018657917E0,1.017068939E3
9.079426917E0,1.017063141E3
1.014023992E1,1.017063141E3
1.120103792E1,1.017064819E3
1.226188692E1,1.017064972E3
1.332269192E1,1.017064972E3
1.438348592E1,1.017070236E3
1.544428092E1,1.017070236E3
1.650508592E1,1.017066269E3
1.756582992E1,1.017061234E3
1.862668092E1,1.017060547E3
1.968749092E1,1.017054672E3
2.074827192E1,1.017049789E3
2.180903692E1,1.017046280E3
2.286983392E1,1.017042236E3
2.393061492E1,1.017038727E3
2.499144392E1,1.017037582E3
2.605224792E1,1.017037582E3
2.711301792E1,1.017040558E3
2.817382092E1,1.017045822E3
2.923464092E1,1.017050629E3
3.029543392E1,1.017057877E3
3.135620692E1,1.017062836E3
3.241698592E1,1.017066650E3
3.347775592E1,1.017070847E3
3.453850992E1,1.017077408E3
3.559928392E1,1.017077637E3
3.666012392E1,1.017083359E3
3.772093492E1,1.017086716E3
3.878175092E1,1.017092514E3
3.984247992E1,1.017100143E3
4.090322592E1,1.017113800E3
4.196400192E1,1.017122650E3
4.302478092E1,1.017133560E3
4.408553092E1,1.017139435E3
4.514625592E1,1.017139435E3
4.620700092E1,1.017132111E3
4.726773992E1,1.017124100E3
4.832855992E1,1.017113800E3
4.938935492E1,1.017105179E3
5.045011692E1,1.017096786E3
5.151096392E1,1.017089005E3
5.257178092E1,1.017083130E3
5.363260192E1,1.017081604E3
5.469337792E1,1.017081604E3
5.575415192E1,1.017084808E3
5.681489892E1,1.017088776E3
5.787568992E1,1.017092972E3
5.893646592E1,1.017096558E3
5.999726092E1,1.017097931E3
6.105803992E1,1.017097931E3
6.211880092E1,1.017093582E3
6.317960492E1,1.017091904E3
6.424038792E1,1.017091522E3
6.530119892E1,1.017089386E3
6.636193892E1,1.017081604E3
6.742264392E1,1.017075882E3
6.848343992E1,1.017072296E3
6.954426992E1,1.017064285E3
7.060505292E1,1.017059250E3
7.166580792E1,1.017059250E3
7.272660092E1,1.017065506E3
7.378745992E1,1.017067566E3
7.484830592E1,1.017067719E3
7.590914092E1,1.017068100E3
7.696996892E1,1.017068100E3
7.803073092E1,1.017064972E3
7.909150692E1,1.017064972E3
8.015227592E1,1.017065125E3
8.121306092E1,1.017065353E3
8.227381192E1,1.017067108E3
8.333455092E1,1.017070084E3
8.439530092E1,1.017075119E3
8.545606892E1,1.017079926E3
8.651690092E1,1.017084808E3
8.757772192E1,1.017087479E3
8.863856992E1,1.017087479E3
8.969938092E1,1.017081223E3
9.076022292E1,1.017070618E3
9.182105792E1,1.017060318E3
9.288188692E1,1.017052765E3
9.394271092E1,1.017040939E3
9.500349292E1,1.017018433E3
9.606437392E1,1.016987762E3
9.712528492E1,1.016946259E3
9.818613792E1,1.016885223E3
9.924700292E1,1.016814423E3
1.003078919E2,1.016760788E3
1.013687739E2,1.016724548E3
1.024296609E2,1.016698685E3
1.034905609E2,1.016689148E3
1.045513739E2,1.016687927E3
1.056122249E2,1.016687927E3
1.066730509E2,1.016681213E3
1.077338459E2,1.016667252E3
1.087946469E2,1.016653442E3
1.098554509E2,1.016635513E3
1.109162479E2,1.016616821E3
1.119770189E2,1.016605377E3
1.130378009E2,1.016605377E3
1.140986119E2,1.016607971E3
1.151594279E2,1.016611938E3
1.162202249E2,1.016620789E3
1.172810099E2,1.016625595E3
1.183417739E2,1.016627731E3
1.194025479E2,1.016630325E3
1.204633399E2,1.016635895E3
1.215241029E2,1.016641235E3
1.225849069E2,1.016641235E3
1.236457269E2,1.016635666E3
1.247065299E2,1.016630859E3
1.257673739E2,1.016624527E3
1.268281979E2,1.016618652E3
1.278890239E2,1.016618652E3
1.289498269E2,1.016628723E3
1.300106259E2,1.016638412E3
1.310714569E2,1.016647568E3
1.321322859E2,1.016651535E3
1.331931269E2,1.016654892E3
1.342539169E2,1.016656113E3
1.353147249E2,1.016657257E3
1.363755629E2,1.016660995E3
1.374364899E2,1.016671295E3
1.384973149E2,1.016681671E3
1.395581789E2,1.016690903E3
1.406189759E2,1.016690903E3
1.416797929E2,1.016685867E3
1.427405759E2,1.016679916E3
1.438013689E2,1.016670837E3
1.448621919E2,1.016660538E3
1.459230479E2,1.016655121E3
1.469839659E2,1.016654510E3
1.480448689E2,1.016652298E3
1.491056759E2,1.016651688E3
1.501665219E2,1.016648636E3
1.512273149E2,1.016645813E3
1.522881659E2,1.016645660E3
1.533490079E2,1.016645660E3
1.544098439E2,1.016645660E3
1.554707109E2,1.016644974E3
1.565315489E2,1.016641846E3
1.575923779E2,1.016637268E3
1.586531709E2,1.016631088E3
1.597139799E2,1.016628571E3
1.607747649E2,1.016628571E3
1.618355629E2,1.016641693E3
1.628963359E2,1.016647339E3
1.639571229E2,1.016648331E3
1.650178939E2,1.016648331E3
1.660786839E2,1.016644363E3
1.671395119E2,1.016632614E3
1.682003669E2,1.016630020E3
1.692611929E2,1.016630020E3
1.703220499E2,1.016632843E3
1.713828089E2,1.016636124E3
1.724436259E2,1.016638641E3
1.735044229E2,1.016639099E3
1.745652389E2,1.016640778E3
1.756260709E2,1.016640778E3
1.766868789E2,1.016639938E3
1.777476619E2,1.016638412E3
1.788084439E2,1.016634903E3
1.798692659E2,1.016630325E3
1.809300909E2,1.016627121E3
1.819909139E2,1.016623535E3
1.830516939E2,1.016621628E3
1.841124799E2,1.016620941E3
1.851732449E2,1.016620941E3
1.862340699E2,1.016623993E3
1.872948279E2,1.016628952E3
1.883555729E2,1.016635056E3
1.894163539E2,1.016642914E3
1.904771179E2,1.016650848E3
1.915378869E2,1.016656952E3
1.925986699E2,1.016657257E3
1.936594379E2,1.016657257E3
1.947202319E2,1.016653595E3
1.957810559E2,1.016644135E3
1.968418699E2,1.016632538E3
1.979026669E2,1.016623077E3
1.989634169E2,1.016612396E3
2.000242209E2,1.016603317E3
2.010850119E2,1.016598206E3
2.021458629E2,1.016594696E3
