"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.133704185E-2,5.233411782E1,4.864220578E0,4.084028199E0,NaN,NaN,1.929553642E1,4.495294807E0
4.392547703E1,5.233415017E1,4.864146371E0,2.444028199E0,NaN,NaN,2.999122118E2,4.580319869E0
9.536719704E1,5.233391434E1,4.863211365E0,2.444028199E0,NaN,NaN,3.966986703E1,4.614119585E0
9.688254607E1,5.233391131E1,4.863199319E0,2.444028199E0,NaN,NaN,3.903798654E1,4.591645272E0
9.796371210E1,5.233403963E1,4.863195056E0,3.428676605E0,3.549999952E0,1.859765625E2,3.217862108E1,1.600000000E1
9.896150506E1,5.233407203E1,4.863113668E0,6.736717224E-1,4.469999790E0,1.821093750E2,7.454096133E0,3.000000000E0
9.995854008E1,5.233414130E1,4.863212155E0,3.807155609E0,4.429999828E0,1.669921875E2,3.211089154E1,6.000000000E0
1.009609860E2,5.233410618E1,4.863216765E0,1.303310394E0,4.429999828E0,1.810546875E2,2.981989470E1,6.000000000E0
1.019580940E2,5.233406888E1,4.863297818E0,2.189723969E0,3.890000105E0,1.782421875E2,3.485592690E1,8.000000000E0
1.030620288E2,5.233386969E1,4.863241324E0,1.767482758E0,3.880000114E0,1.750781250E2,2.124029373E1,6.000000000E0
1.052310151E2,5.233379861E1,4.863165636E0,1.065090179E0,4.019999981E0,1.800000000E2,2.495780158E1,6.000000000E0
1.062310511E2,5.233376978E1,4.863160523E0,9.534568787E-1,4.019999981E0,1.821093750E2,2.461741393E1,4.000000000E0
1.072310898E2,5.233374308E1,4.863144429E0,7.173728943E-1,3.740000010E0,1.940625000E2,2.456219670E1,4.000000000E0
1.082311139E2,5.233371764E1,4.863118446E0,7.195091248E-1,3.740000010E0,2.053125000E2,2.435160192E1,4.000000000E0
1.092311444E2,5.233368726E1,4.863094987E0,7.195102889E-1,3.740000010E0,2.053124814E2,2.435160192E1,4.000000000E0
1.102311697E2,5.233367584E1,4.863064885E0,1.091397284E0,3.359999895E0,2.035546719E2,2.326156267E1,4.000000000E0
1.112312144E2,5.233369282E1,4.863010582E0,1.118923737E0,2.480000019E0,2.496093480E2,2.305824694E1,4.000000000E0
1.122312473E2,5.233370278E1,4.862958673E0,1.572293004E0,2.789999962E0,2.685937176E2,2.264417642E1,4.000000000E0
1.132312677E2,5.233373251E1,4.862821660E0,1.735380328E0,5.050000191E0,2.692968164E2,2.244081480E1,4.000000000E0
1.142313018E2,5.233373972E1,4.862751259E0,1.613981401E0,5.050000191E0,2.710546289E2,2.237036454E1,4.000000000E0
1.152313325E2,5.233374120E1,4.862672248E0,1.683927773E0,5.150000095E0,2.696483777E2,2.235192902E1,4.000000000E0
1.162313501E2,5.233373945E1,4.862582910E0,1.465300352E0,5.750000000E0,2.689452457E2,1.424595459E1,1.201961221E1
1.172313846E2,5.233374161E1,4.862503763E0,1.511137755E0,5.750000000E0,2.724608708E2,1.424595459E1,1.206712582E1
1.182314012E2,5.233374330E1,4.862428176E0,1.474760463E0,5.360000134E0,2.724608753E2,1.424595459E1,1.226311057E1
1.192314165E2,5.233374496E1,4.862342106E0,1.558927944E0,5.360000134E0,2.696483753E2,1.424595459E1,9.433318490E0
1.202314302E2,5.233378699E1,4.862249669E0,1.708098360E0,5.920000076E0,2.700898132E2,4.748651530E0,3.288576687E0
1.212314425E2,5.233378736E1,4.862171906E0,1.868620821E0,5.920000076E0,2.708146057E2,4.748651530E0,3.379335030E0
1.222314538E2,5.233378796E1,4.862103192E0,2.110380547E0,5.320000172E0,2.708146057E2,4.748651530E0,3.433895071E0
1.232314640E2,5.233378840E1,4.862052086E0,2.200284906E0,4.780000210E0,2.708146057E2,4.748651530E0,3.567471890E0
1.242314743E2,5.233378839E1,4.862053666E0,2.460171185E0,2.180000067E0,2.708146057E2,4.748651530E0,3.749076551E0
1.252314825E2,5.233377288E1,4.862035207E0,3.083706342E0,2.180000067E0,2.708146057E2,4.748651530E0,3.893367825E0
1.262314907E2,5.233378242E1,4.862026946E0,3.243984431E0,1.340000033E0,2.708146057E2,4.748651530E0,4.029364438E0
1.272314963E2,5.233378511E1,4.861994230E0,3.235561580E0,1.340000033E0,2.720739136E2,4.748651530E0,4.029364438E0
1.282315030E2,5.233379240E1,4.861950454E0,3.213161966E0,2.339999914E0,2.720739136E2,4.748651530E0,4.029364438E0
1.292315081E2,5.233381202E1,4.861919958E0,3.334736917E-2,2.128145287E0,2.720739136E2,3.068872733E0,3.000000000E0
1.302315129E2,5.233380805E1,4.861892515E0,1.701047104E-1,2.146140323E0,2.720661316E2,4.394244483E0,3.000000000E0
1.312315174E2,5.233381439E1,4.861864242E0,2.673266921E-2,2.294342944E0,2.720661316E2,3.197122246E0,3.000000000E0
1.322315204E2,5.233380122E1,4.861833842E0,-5.131981242E-2,2.517105718E0,2.720661316E2,3.183158036E0,3.000000000E0
1.332315233E2,5.233380128E1,4.861830939E0,1.713383589E-1,1.945274389E0,3.343258534E2,6.443124130E0,3.000000000E0
1.342315264E2,5.233380106E1,4.861841042E0,6.765807411E-1,1.481237867E0,1.237049007E0,8.434441296E0,3.000000000E0
1.352315278E2,5.233392692E1,4.861836524E0,-4.898540629E-1,3.141130039E0,3.596528931E2,3.377227625E0,3.000000000E0
1.362315295E2,5.233398351E1,4.861836891E0,-8.242316265E-2,4.651187051E0,3.596528931E2,3.673288191E0,3.000000000E0
1.372315309E2,5.233403717E1,4.861833437E0,-2.773711458E-2,5.269098704E0,3.596528931E2,4.124574265E0,3.000000000E0
1.382315313E2,5.233408472E1,4.861835197E0,-1.334746564E-1,5.456731476E0,3.708121479E-1,4.126592249E0,3.000000000E0
