"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.179166641E-3,-6.345454559E0,5.794450378E0,3.656446381E0
1.323216665E-2,-6.026467896E0,5.629792786E0,2.665057983E0
2.328516665E-2,-5.715714111E0,5.151237946E0,2.312840424E0
3.333816666E-2,-5.283562775E0,4.423750763E0,2.594853973E0
4.339216667E-2,-5.040168915E0,3.649560699E0,3.301384735E0
5.344516668E-2,-4.832999725E0,2.946472778E0,4.247118073E0
6.349816668E-2,-4.663402405E0,2.240091705E0,5.119054871E0
7.355116663E-2,-4.688849487E0,1.795665894E0,5.692063293E0
8.360416663E-2,-4.722828827E0,1.601519623E0,5.801635437E0
9.365716664E-2,-4.652325439E0,1.527872772E0,5.412444763E0
1.037101666E-1,-4.703069916E0,1.671274567E0,4.812342682E0
1.137631666E-1,-4.895120544E0,2.211201782E0,4.111649780E0
1.238161667E-1,-5.245092773E0,3.002905426E0,3.584595795E0
1.338691667E-1,-5.871240692E0,3.893403625E0,3.414399719E0
1.439221667E-1,-6.666237488E0,4.742587738E0,3.647315369E0
1.539751667E-1,-7.688162384E0,5.397475891E0,4.609963531E0
1.640281667E-1,-8.563392334E0,5.761818237E0,6.195616150E0
1.740811667E-1,-8.194858704E0,5.850134583E0,7.588320007E0
1.841341666E-1,-5.984405365E0,5.900579681E0,8.359965363E0
1.941871666E-1,-3.152594147E0,6.538553009E0,8.798104248E0
2.042401666E-1,-9.701325989E-1,8.060887299E0,9.354347534E0
2.142941667E-1,-1.329235840E-1,9.557624817E0,1.061742096E1
2.243471667E-1,-1.197509766E0,9.880952454E0,1.215173035E1
2.344001667E-1,-3.241658936E0,8.991801453E0,1.294478119E1
2.444531667E-1,-4.435127106E0,7.929460602E0,1.250290009E1
2.545061667E-1,-4.820276184E0,7.670199738E0,1.111453720E1
2.645591667E-1,-5.389692078E0,8.902137909E0,9.090146942E0
2.746121666E-1,-5.909261627E0,1.080587906E1,7.426207123E0
2.846651666E-1,-5.753285980E0,1.185399948E1,6.323600006E0
2.947181666E-1,-4.800666962E0,1.156734558E1,5.533542938E0
3.047711666E-1,-3.449726257E0,1.025307861E1,5.464237061E0
3.148241666E-1,-2.412084045E0,8.724457397E0,5.913602600E0
3.248771667E-1,-1.557211761E0,7.414531403E0,6.376140747E0
3.349301667E-1,-7.705975342E-1,6.449488220E0,6.898404694E0
3.449831667E-1,-1.826202393E-2,5.742807770E0,7.601791992E0
3.550361667E-1,8.205935669E-1,5.110223236E0,8.309520264E0
3.650891667E-1,1.718875580E0,4.439468079E0,8.634943542E0
3.751431666E-1,2.614612885E0,3.699856110E0,8.427025909E0
3.851961666E-1,3.245251465E0,2.848426666E0,7.845485229E0
3.952491666E-1,3.514242096E0,1.980082397E0,6.939269714E0
4.053021666E-1,3.695664825E0,1.370400238E0,5.715265045E0
4.153551667E-1,3.711232452E0,1.185235291E0,4.424648895E0
4.254081667E-1,3.612138519E0,1.450334015E0,3.299438782E0
4.354611667E-1,3.557801514E0,2.123035126E0,2.484383698E0
