"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.436166666E-3,2.156667039E-2,-1.489442468E0,-2.018616498E-1
1.448916667E-2,-9.038089961E-2,-1.825826883E0,-4.492317140E-2
2.454216668E-2,-1.939117461E-1,-2.019743681E0,8.935204893E-2
3.459516668E-2,-2.697993219E-1,-2.051202059E0,2.074241042E-1
4.464916664E-2,-2.872825265E-1,-1.881709933E0,3.033896089E-1
5.470216664E-2,-2.250263393E-1,-1.492099643E0,3.879649341E-1
6.475516665E-2,-8.505199105E-2,-9.687756300E-1,4.882192314E-1
7.480816665E-2,1.110546663E-1,-4.030341804E-1,6.125422120E-1
8.486116666E-2,3.300109506E-1,1.071862653E-1,7.425453663E-1
9.491416666E-2,5.518184304E-1,5.485652685E-1,8.665423989E-1
1.049671667E-1,7.535953522E-1,8.465874791E-1,9.755874276E-1
1.150201667E-1,9.092859030E-1,8.940007687E-1,1.051838517E0
1.250731667E-1,9.974039793E-1,7.467935085E-1,1.063268900E0
1.351261666E-1,9.845153689E-1,4.080353975E-1,9.864830971E-1
1.451791666E-1,8.740652204E-1,-3.044898435E-2,8.948938251E-1
1.552321666E-1,7.998002768E-1,-2.595426142E-1,9.886831641E-1
1.652851666E-1,8.466587067E-1,-2.287723273E-1,1.329368472E0
1.753381666E-1,9.971749783E-1,-1.018575206E-1,1.727301478E0
1.853911667E-1,1.107202649E0,-8.135651797E-2,1.942040563E0
1.954441667E-1,9.646403790E-1,-4.383804202E-1,1.768753171E0
2.054971667E-1,5.724695921E-1,-8.572638631E-1,1.210011482E0
2.155511667E-1,2.483652681E-1,-7.443554401E-1,5.861854553E-1
2.256041666E-1,7.720239460E-2,-2.863765359E-1,2.325348556E-1
2.356571666E-1,6.059092283E-2,2.666475177E-1,2.542391121E-1
2.457101666E-1,1.383212060E-1,9.208212495E-1,4.859032333E-1
2.557631666E-1,1.164718419E-1,1.370534301E0,7.596016526E-1
2.658161666E-1,-1.581426412E-1,1.394291162E0,9.231020808E-1
2.758691667E-1,-5.377776027E-1,1.419006705E0,9.209747314E-1
2.859221667E-1,-9.428678155E-1,1.295914173E0,7.855649590E-1
2.959751667E-1,-1.294787288E0,9.113748074E-1,6.331602931E-1
3.060281667E-1,-1.516650438E0,4.317654669E-1,5.523630977E-1
3.160811667E-1,-1.589491606E0,1.525641419E-2,5.621576905E-1
3.261341667E-1,-1.532428026E0,-3.798536062E-1,6.433193684E-1
3.361871666E-1,-1.365786791E0,-7.567247152E-1,7.539614439E-1
3.462401666E-1,-1.124117255E0,-1.022634506E0,8.454878926E-1
3.562931666E-1,-8.527291417E-1,-1.070801258E0,8.913946748E-1
3.663461666E-1,-5.960206389E-1,-8.963646293E-1,8.869413137E-1
3.764001667E-1,-3.824375570E-1,-5.768910050E-1,8.387282491E-1
3.864531667E-1,-2.193789929E-1,-2.233773321E-1,7.725878358E-1
3.965061667E-1,-1.010046676E-1,4.393400997E-2,7.202466130E-1
4.065591667E-1,1.632282510E-4,1.868497282E-1,6.943179369E-1
4.166121667E-1,9.499679506E-2,2.075185329E-1,6.893284917E-1
4.266651666E-1,1.926665455E-1,1.357852370E-1,6.767551899E-1
4.367181666E-1,2.959806919E-1,3.669620678E-2,6.179131866E-1
4.467711666E-1,3.815513849E-1,-2.697905526E-2,4.830847979E-1
4.568241666E-1,3.389450610E-1,-2.293838114E-1,2.746024430E-1
