"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.436166666E-3,-2.506878813E0,1.419049072E-1,-3.382741724E0
1.448916667E-2,-2.299628640E0,-1.574011981E-2,-4.439499069E0
2.454216668E-2,-2.129003963E0,-4.849177802E-1,-4.870846413E0
3.459516668E-2,-1.853994209E0,-1.200628086E0,-4.674294598E0
4.464916664E-2,-1.770629578E0,-1.962682838E0,-4.050413645E0
5.470216664E-2,-1.709089095E0,-2.657445493E0,-3.174026531E0
6.475516665E-2,-1.656431117E0,-3.365293633E0,-2.349136430E0
7.480816665E-2,-1.764313708E0,-3.826832491E0,-1.795974042E0
8.486116666E-2,-1.847658750E0,-4.057299326E0,-1.678155570E0
9.491416666E-2,-1.798183120E0,-4.187179434E0,-2.032564082E0
1.049671667E-1,-1.849156515E0,-4.118992129E0,-2.574408599E0
1.150201667E-1,-2.035352911E0,-3.669939415E0,-3.200669369E0
1.250731667E-1,-2.387899961E0,-2.978768705E0,-3.646734155E0
1.351261666E-1,-3.033786911E0,-2.189938967E0,-3.739473335E0
1.451791666E-1,-3.873227223E0,-1.433981692E0,-3.443889567E0
1.552321666E-1,-4.964537519E0,-8.636548018E-1,-2.433914625E0
1.652851666E-1,-5.930594609E0,-5.877089077E-1,-8.035255444E-1
1.753381666E-1,-5.672256435E0,-6.034811872E-1,6.440117472E-1
1.853911667E-1,-3.588310238E0,-6.725344652E-1,1.483264949E0
1.954441667E-1,-8.980150875E-1,-1.514177424E-1,1.986550003E0
2.054971667E-1,1.136763042E0,1.285145495E0,2.580395563E0
2.155511667E-1,1.856661270E0,2.736140830E0,3.853914455E0
2.256041666E-1,7.299804354E-1,3.041585927E0,5.388302779E0
2.356571666E-1,-1.330543423E0,2.144033062E0,6.185209860E0
2.457101666E-1,-2.508931186E0,1.068013819E0,5.761503657E0
2.557631666E-1,-2.857753560E0,7.868288201E-1,4.406048902E0
2.658161666E-1,-3.392244034E0,2.002330468E0,2.408907838E0
2.758691667E-1,-3.882213224E0,3.910354119E0,7.494633579E-1
2.859221667E-1,-3.693034748E0,4.990555290E0,-3.759976012E-1
2.959751667E-1,-2.713598059E0,4.765248622E0,-1.220102822E0
3.060281667E-1,-1.356711614E0,3.535326571E0,-1.371492498E0
3.160811667E-1,-3.408589049E-1,2.103213065E0,-1.022192699E0
3.261341667E-1,4.616664733E-1,8.911308682E-1,-6.669749326E-1
3.361871666E-1,1.162090403E0,1.602663338E-2,-2.508192390E-1
3.462401666E-1,1.797689469E0,-6.155112487E-1,3.553990299E-1
