"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.012785912E-1,5.238782030E1,4.891991797E0,2.666659999E0,2.529487103E0,3.551785019E2,4.261985992E0,3.366815566E0
1.301259995E0,5.238784439E1,4.891986334E0,2.386401434E0,2.560499195E0,3.541598029E2,4.214174791E0,3.336385234E0
2.301241279E0,5.238786760E1,4.891979722E0,2.897833522E0,2.466217050E0,3.543384150E2,4.229994460E0,3.321969167E0
3.301222086E0,5.238788626E1,4.891981479E0,3.023246112E0,1.581483163E0,3.584180535E2,4.187299201E0,3.616748075E0
4.301202297E0,5.238790600E1,4.891972203E0,2.687597239E0,1.773798043E0,3.482585453E2,4.193262597E0,3.770565250E0
5.301183105E0,5.238792106E1,4.891954865E0,2.735792487E0,1.417105022E0,3.350982933E2,4.255843531E0,4.061999442E0
6.301164031E0,5.238794960E1,4.891928185E0,2.266151871E0,2.670391624E0,3.318034930E2,4.210365841E0,3.729279353E0
7.301144361E0,5.238795902E1,4.891912440E0,2.198962396E0,1.517343053E0,3.237854947E2,4.193308664E0,4.033059870E0
8.301123500E0,5.238798080E1,4.891896687E0,1.832360019E0,1.518658627E0,3.316665668E2,4.216044409E0,4.090908368E0
9.301103950E0,5.238800561E1,4.891884601E0,1.458743529E0,1.842176609E0,3.396703963E2,4.230186212E0,4.144805251E0
1.030108380E1,5.238803183E1,4.891874450E0,1.935607680E0,1.885843259E0,3.453797178E2,4.319828260E0,4.212921042E0
1.130106258E1,5.238805385E1,4.891864426E0,1.943278274E0,1.905675969E0,3.460012307E2,4.363417495E0,4.328760264E0
1.230104280E1,5.238807783E1,4.891863242E0,2.123600320E0,1.886523789E0,3.509905768E2,4.442235418E0,4.384468480E0
1.330102181E1,5.238810151E1,4.891857218E0,2.013981605E0,1.838586181E0,3.503761576E2,4.473039743E0,4.397854325E0
