"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.003054167E-2,-6.205944672E0,8.001610565E0,3.664529572E0
1.999654167E-2,-6.147566071E0,7.893984375E0,3.190914459E0
2.996154167E-2,-5.954018555E0,7.904761963E0,2.842588806E0
3.992654166E-2,-5.948779449E0,7.917485504E0,2.756368103E0
4.989254168E-2,-5.964197388E0,7.881111145E0,2.792592773E0
5.985708334E-2,-5.999074860E0,7.869734802E0,2.851121063E0
6.982208333E-2,-5.899531860E0,7.770042114E0,2.944676514E0
7.978808334E-2,-5.801934814E0,7.676786041E0,3.121159515E0
8.975308333E-2,-5.733976135E0,7.662864990E0,3.188070374E0
9.971908333E-2,-5.645809479E0,7.618257751E0,3.179089050E0
1.096840833E-1,-5.480253754E0,7.515720978E0,3.214864655E0
1.196490833E-1,-5.427114258E0,7.476951599E0,3.169658661E0
1.296150833E-1,-5.445076904E0,7.455396423E0,3.003504181E0
1.395800833E-1,-5.583688660E0,7.285050659E0,2.921624451E0
1.495450833E-1,-5.652545471E0,7.262148285E0,2.960094452E0
1.595110833E-1,-5.854924622E0,7.397167511E0,2.719095612E0
1.694760833E-1,-5.911506958E0,7.351512451E0,2.382595367E0
1.794420833E-1,-5.505401459E0,7.265591125E0,2.219883728E0
1.894070833E-1,-5.346282349E0,7.415130157E0,2.475701752E0
1.993720833E-1,-5.672005005E0,7.245233459E0,3.269950104E0
2.093380833E-1,-5.736071777E0,6.974147186E0,3.671115875E0
2.193030833E-1,-5.541326752E0,6.733896790E0,3.890559540E0
2.292680833E-1,-5.610183563E0,6.587650909E0,4.175417175E0
2.392340833E-1,-5.749394073E0,6.588099976E0,4.384382629E0
2.491990833E-1,-5.550308075E0,6.686595154E0,4.401896210E0
2.591650833E-1,-5.173691254E0,6.876101074E0,4.170327759E0
2.691300833E-1,-4.965623932E0,6.916367340E0,4.140988770E0
2.790950833E-1,-5.148244171E0,7.069049835E0,4.339925079E0
2.890610833E-1,-5.075196075E0,7.279362488E0,4.585863647E0
2.990260833E-1,-5.264851685E0,7.441175995E0,4.897665253E0
3.089910833E-1,-5.487887878E0,7.547005920E0,5.043761444E0
3.189570833E-1,-5.543572083E0,7.681426392E0,5.233866119E0
3.289220833E-1,-5.359904022E0,7.841144257E0,5.274581451E0
3.388870833E-1,-5.208868103E0,7.948620758E0,5.212011566E0
3.488530833E-1,-5.103636932E0,7.885003052E0,5.121898956E0
3.588180833E-1,-4.936883698E0,7.700586548E0,5.081932068E0
3.687840833E-1,-4.650529175E0,7.284601593E0,4.798122253E0
3.787490833E-1,-4.467010803E0,6.807693329E0,4.377047882E0
3.887140833E-1,-4.395459595E0,6.327940979E0,4.150119781E0
3.986800833E-1,-4.368365936E0,5.795049133E0,4.126169586E0
4.086450833E-1,-4.152814178E0,5.328768768E0,4.148173828E0
4.186100833E-1,-3.730242920E0,5.031037903E0,4.165088654E0
4.285760833E-1,-2.809806976E0,5.257666626E0,4.283791809E0
4.385410833E-1,-1.624721375E0,5.654192047E0,4.663252716E0
4.485070833E-1,-5.565426636E-1,5.360802155E0,6.229894867E0
4.584720833E-1,1.291813660E-1,5.786965942E0,6.396797791E0
4.684370833E-1,3.158432007E-1,5.832621002E0,6.569987640E0
4.784030833E-1,1.140628052E-1,5.710025940E0,6.145021362E0
4.883680833E-1,1.881587219E-1,5.250182190E0,5.652695160E0
4.983330833E-1,3.685336304E-1,4.783752136E0,5.855673065E0
5.082990833E-1,1.174457703E0,4.927752686E0,5.567073212E0
5.182640833E-1,1.661993866E0,4.729265442E0,5.932762756E0
5.282300833E-1,2.059267731E0,4.478836212E0,6.418502655E0
5.381950833E-1,2.163151703E0,4.665647736E0,6.690487061E0
5.481600833E-1,1.040635986E0,5.537584534E0,6.599925385E0
5.581260833E-1,-2.564167786E-1,6.360722809E0,6.181395721E0
5.680910833E-1,-1.086740112E0,6.467750244E0,5.693709869E0
5.780560833E-1,-1.016236725E0,6.162834320E0,5.151387634E0
5.880220833E-1,-4.809498596E-1,5.535339203E0,4.638254700E0
5.979870833E-1,3.189866638E-1,5.069058838E0,4.366869049E0
6.079530833E-1,7.183561707E-1,5.031187592E0,4.408931580E0
6.179180833E-1,9.087602234E-1,4.934788055E0,5.089266815E0
6.278830833E-1,6.089337158E-1,4.744683380E0,6.269412689E0
6.378490833E-1,-8.707392883E-1,5.361999664E0,6.930138702E0
6.478140833E-1,-2.229164429E0,6.441105652E0,7.068600769E0
6.577790833E-1,-1.553918610E0,5.982459412E0,7.196434937E0
6.677450833E-1,4.775070190E-1,4.857848053E0,7.541317749E0
6.777100833E-1,6.185137939E-1,5.334606628E0,8.149203644E0
6.876760833E-1,-2.326162720E-1,5.651946716E0,8.442294159E0
6.976410833E-1,-5.631289673E-1,4.698878632E0,8.148604889E0
7.076060833E-1,-2.766247559E-1,3.379222870E0,7.651039581E0
7.175720833E-1,-4.447251892E-1,3.138373718E0,7.428302765E0
7.275370833E-1,-5.872288513E-1,3.627107391E0,7.106172638E0
7.375030833E-1,-5.487588501E-1,3.619323578E0,6.567592621E0
7.474680833E-1,-5.858816528E-1,3.786525879E0,5.955964508E0
7.574330833E-1,-9.415420532E-1,4.362378387E0,5.705834656E0
7.673990833E-1,-8.916957092E-1,4.074377289E0,5.624703369E0
7.773640833E-1,-2.888992310E-1,3.624862061E0,5.519172821E0
7.873290833E-1,2.462379456E-1,3.416944427E0,5.372477875E0
7.972950833E-1,7.695497131E-1,3.345393219E0,5.209167480E0
8.072600833E-1,1.014590149E0,3.129691772E0,5.760920105E0
8.172260833E-1,1.076112213E0,2.614912262E0,6.931635590E0
8.271910833E-1,9.572593689E-1,1.922152863E0,8.040829010E0
8.371560833E-1,5.918692017E-1,1.528321838E0,9.031019897E0
8.471220833E-1,5.623805237E-1,1.349294128E0,9.946366425E0
8.570870833E-1,5.661227417E-1,1.212179260E0,1.069600754E1
8.670520833E-1,3.918850708E-1,1.302591248E0,1.129131958E1
8.770180833E-1,4.159849548E-1,1.557660828E0,1.141062149E1
8.869830833E-1,6.930587769E-1,1.537003784E0,1.131272507E1
8.969490833E-1,9.663903809E-1,1.466500397E0,1.139789795E1
9.069140833E-1,9.669891357E-1,1.528022461E0,1.167826492E1
9.168790833E-1,7.794291687E-1,1.564247131E0,1.237132370E1
9.268450833E-1,1.207838287E0,1.199605408E0,1.396820297E1
9.368100833E-1,1.087039490E0,1.097517700E0,1.502051468E1
9.467750833E-1,6.994953918E-1,1.639540558E0,1.521211624E1
9.567410833E-1,5.816903687E-1,2.031575317E0,1.512230301E1
9.667060833E-1,5.227130127E-1,1.897603912E0,1.469449265E1
9.766720833E-1,2.174977112E-1,1.723964996E0,1.400203262E1
9.866370833E-1,-1.746867371E-1,1.463955688E0,1.341764786E1
9.966020833E-1,-8.394543457E-1,1.410965881E0,1.221579712E1
1.006568083E0,-8.610095215E-1,1.367406464E0,1.079405365E1
1.016533083E0,-2.056723022E-1,1.813927917E0,1.041489212E1
1.026498083E0,5.218148804E-1,2.239043884E0,1.056083862E1
1.036464083E0,7.240443420E-1,2.225422211E0,1.106424179E1
1.046429083E0,6.051914978E-1,1.693578186E0,1.103415436E1
1.056395167E0,6.848258972E-1,1.254092102E0,1.059945831E1
1.066360167E0,1.023571472E0,7.991880798E-1,1.004501129E1
1.076325167E0,1.215622101E0,4.290078735E-1,9.427096252E0
1.086291167E0,1.447340240E0,3.559597778E-1,8.968300323E0
1.096256167E0,1.579814758E0,3.902384949E-1,8.890462189E0
1.106221167E0,1.469045105E0,4.522096252E-1,9.169481964E0
1.116187167E0,1.252295837E0,4.981640625E-1,9.410630493E0
1.126152167E0,9.660910034E-1,4.481680298E-1,9.414672089E0
1.136118167E0,8.107141113E-1,6.230044556E-1,9.328152008E0
1.146083167E0,8.271798706E-1,8.783734131E-1,9.311536560E0
1.156048167E0,1.034349060E0,8.370593262E-1,9.477541351E0
1.166014167E0,1.269959106E0,4.659809875E-1,9.413923645E0
1.175979167E0,1.674567719E0,-1.541793823E-2,9.141041107E0
1.185944167E0,1.267414398E0,-1.257385254E-1,9.030421143E0
1.195910167E0,5.246589661E-1,4.011657715E-2,8.757089539E0
1.205875167E0,-2.121089172E-1,4.445755005E-2,8.796008606E0
1.215841167E0,-1.557062073E0,1.221459961E-1,9.030121765E0
1.225806167E0,-2.769091644E0,1.938468933E-1,9.132808228E0
1.235771167E0,-3.125201111E0,-2.492317200E-1,8.765023041E0
1.245737167E0,-2.314337311E0,-1.098715210E0,8.352480927E0
1.255702167E0,-2.270777893E-1,-2.491568756E0,8.433612213E0
1.265667167E0,2.321971436E0,-3.785627747E0,9.413025513E0
1.275633167E0,4.167333984E0,-3.465892639E0,1.098894836E1
1.285598167E0,4.659061432E0,-2.282004547E0,1.237910751E1
1.295564167E0,3.057990875E0,-8.693920898E-1,1.338980576E1
1.305529167E0,1.367855530E0,-8.262817383E-1,1.300899765E1
1.315494167E0,-2.963836670E-2,-1.577868805E0,1.140702896E1
1.325460167E0,-8.776249695E-1,-1.836381226E0,9.879156189E0
1.335425167E0,-1.052311707E0,-1.479074249E0,9.156459045E0
1.345390167E0,-3.189866638E-1,-8.563691711E-1,9.052275696E0
1.355356167E0,8.616082764E-1,-2.899470520E-1,9.189839630E0
1.365321167E0,1.544488220E0,-1.413061523E-1,9.296867065E0
1.375287167E0,1.824705505E0,-7.572752380E-1,9.426647186E0
1.385252167E0,1.627415771E0,-1.078207855E0,9.932145996E0
1.395217167E0,1.217418365E0,-4.851411438E-1,1.017898270E1
1.405183167E0,2.339035950E0,-1.572629700E0,1.008018814E1
1.415148167E0,3.259322205E0,-2.028282166E0,1.083431992E1
1.425113167E0,3.335513763E0,-2.014061737E0,1.129865433E1
1.435079167E0,2.953807526E0,-2.653831329E0,1.135568573E1
1.445044167E0,2.139351196E0,-3.106340332E0,1.133323242E1
1.455010167E0,1.526525574E0,-3.194506989E0,1.117650833E1
1.464975167E0,8.758287048E-1,-3.119213562E0,1.064720901E1
1.474940167E0,1.930984497E-1,-2.949915619E0,9.838440857E0
1.484906167E0,-3.273692322E-1,-2.790946198E0,9.156009979E0
1.494871167E0,-1.195114746E0,-2.538870392E0,9.401499481E0
1.504836167E0,-2.311193848E0,-1.788780212E0,1.262025604E1
1.514802167E0,-3.320844269E0,-1.813179474E0,1.469658829E1
1.524767167E0,-3.176694031E0,-3.636238403E0,1.349833008E1
1.534733167E0,-3.616778870E0,-4.172722778E0,1.139460480E1
1.544698167E0,-3.721111908E0,-4.290078735E0,9.379944305E0
1.554663167E0,-2.277962952E0,-4.106410675E0,1.066472260E1
1.564629167E0,-8.517288208E-1,-3.464395752E0,1.285107605E1
1.574594167E0,-1.214873657E0,-2.716550903E0,7.337142334E0
1.584560167E0,8.689430237E-1,-2.098635864E0,1.228854584E1
1.594525167E0,1.433119812E0,-1.102008362E0,1.047072601E1
1.604490167E0,1.528321838E0,-1.397793274E0,9.372459869E0
1.614456167E0,1.917063446E0,-2.289938049E0,1.035890854E1
1.624421167E0,9.969268799E-1,-2.444716187E0,9.575288086E0
1.634386167E0,4.348457336E-1,-2.371668091E0,9.288185120E0
1.644352167E0,5.224136353E-2,-2.703378296E0,9.152267761E0
1.654317167E0,-1.685494995E-1,-3.114573212E0,9.259744263E0
1.664283167E0,-4.562512207E-1,-3.220103760E0,9.314230957E0
1.674248167E0,-6.855743408E-1,-3.582799530E0,8.995992737E0
1.684213167E0,-4.406835938E-1,-3.821852417E0,9.050479431E0
1.694179167E0,-2.308200073E-1,-3.626957703E0,9.027427368E0
1.704144167E0,-1.442999268E-1,-3.554957428E0,8.991801453E0
1.714109167E0,1.413061523E-1,-3.245401154E0,8.760532379E0
1.724075167E0,1.188528442E-1,-2.845732269E0,8.530760193E0
1.734040167E0,1.675016785E-1,-2.797382812E0,8.466543732E0
1.744006167E0,1.929487610E-1,-3.076851654E0,8.820258179E0
1.753971167E0,-1.524579620E0,-3.760929108E0,1.000534378E1
1.763936167E0,-1.290915527E0,-4.058210907E0,9.547445984E0
1.773902167E0,-4.504133606E-1,-3.842808838E0,9.742191010E0
1.783867167E0,2.806663513E-1,-3.405119019E0,9.176667023E0
1.793832167E0,-2.432441711E-1,-3.189567261E0,9.394464111E0
1.803798167E0,-4.923262024E-1,-2.749781799E0,9.163793793E0
1.813763167E0,-2.498304749E-1,-2.271825714E0,8.710536346E0
1.823729167E0,1.324745178E-1,-2.056423645E0,8.160579987E0
1.833694167E0,2.703378296E-1,-2.239792328E0,7.983348541E0
1.843659167E0,4.827461243E-1,-2.321522369E0,8.269104309E0
1.853625167E0,3.842509460E-1,-1.604363708E0,9.966424713E0
1.863590167E0,1.501228180E0,-1.944157104E0,1.350341949E1
1.873555167E0,4.870721283E0,-4.257296906E0,1.915192337E1
1.883521167E0,4.616400146E-1,-1.087039490E0,2.531385956E0
1.893486167E0,5.119354248E-2,-9.756710815E-1,1.618584137E0
1.903452167E0,2.632874908E0,-4.246669006E-1,5.187612305E0
1.913417167E0,-1.218765564E0,1.158141632E0,1.995575180E1
1.923382167E0,-1.275796967E0,1.735041962E0,1.130883316E1
1.933348167E0,-6.188131714E-1,2.341281281E0,1.058523788E1
1.943313167E0,3.594026184E-1,3.686833191E-1,9.838889923E0
1.953278167E0,1.214723969E0,5.945635986E-1,9.504036255E0
1.963244167E0,7.798782349E-1,-9.804611206E-2,9.554780731E0
1.973209167E0,1.012045441E0,-6.994953918E-1,9.554631042E0
1.983175167E0,2.118095398E0,-1.155596924E0,1.094613739E1
1.993140167E0,8.012837219E-1,-1.240320740E0,1.104867416E1
2.003105167E0,1.238524475E0,-1.730401611E-1,9.784852295E0
2.013071167E0,1.278042297E0,3.218307495E-2,1.010922775E1
2.023036167E0,1.132993927E0,9.445358276E-2,9.917925568E0
2.033001167E0,7.378157043E-1,2.378553772E-1,1.230336502E1
2.042967167E0,8.518785095E-1,2.194436646E0,7.135062561E0
2.052932167E0,5.307962036E-1,2.204166412E0,7.978558502E0
2.062897917E0,4.957690430E-1,2.198029175E0,8.516839142E0
2.072862917E0,4.607418823E-1,2.172432404E0,8.665480042E0
2.082827917E0,2.555186462E-1,1.690434723E0,8.814719696E0
2.092793917E0,-7.858657837E-2,1.144070892E0,8.888216858E0
2.102758917E0,-5.019062805E-1,1.299298096E-1,1.161823975E1
2.112723917E0,-3.570075989E-1,-6.668632507E-1,1.160252243E1
2.122689917E0,-2.591111755E-1,-1.763033752E0,1.014485367E1
2.132654917E0,-1.239422607E-1,-3.382965088E-2,8.353977814E0
2.142620917E0,1.240919495E-1,-4.035607910E-1,1.025068359E1
2.152585917E0,1.434017944E-1,7.813751221E-2,9.601782990E0
2.162550917E0,3.541635132E-1,-2.095642090E-2,9.713750153E0
2.172516917E0,3.682342529E-1,-2.594105530E-1,9.848769379E0
