"Time (s)","X (hPa)"
-5.463098333E-1,1.021756668E3
4.561821667E-1,1.021776505E3
1.458665167E0,1.021796341E3
2.461128167E0,1.021828613E3
3.463594167E0,1.021851501E3
3.818737167E0,1.021868591E3
4.888042167E0,1.021883698E3
5.957351167E0,1.021907501E3
7.026679167E0,1.021934433E3
8.096000167E0,1.021968307E3
9.165357167E0,1.022002716E3
1.023469017E1,1.022033768E3
1.130400317E1,1.022060928E3
1.237333117E1,1.022083511E3
1.344267417E1,1.022096939E3
1.451206717E1,1.022109222E3
1.558144017E1,1.022118073E3
1.665080317E1,1.022128906E3
1.772009517E1,1.022135849E3
1.878937917E1,1.022141571E3
1.985865317E1,1.022151337E3
2.092793917E1,1.022161865E3
2.199724117E1,1.022171555E3
2.306653917E1,1.022181778E3
2.413584017E1,1.022189331E3
2.520519517E1,1.022196579E3
2.627457117E1,1.022200394E3
2.734393917E1,1.022207336E3
2.841325817E1,1.022216797E3
2.948256117E1,1.022227554E3
3.055187117E1,1.022242050E3
3.162112617E1,1.022255478E3
3.269039017E1,1.022263107E3
3.375967217E1,1.022273636E3
3.482897517E1,1.022286682E3
3.589830517E1,1.022289429E3
3.696764617E1,1.022294464E3
3.803696917E1,1.022303009E3
3.910627217E1,1.022305527E3
4.017557317E1,1.022305527E3
4.124488917E1,1.022302246E3
4.231423417E1,1.022298050E3
4.338352917E1,1.022291489E3
4.445280117E1,1.022278671E3
4.552205717E1,1.022262268E3
4.659133817E1,1.022241287E3
4.766062317E1,1.022216110E3
4.872985117E1,1.022190857E3
4.979915917E1,1.022168274E3
5.086845617E1,1.022151337E3
5.193776017E1,1.022131882E3
5.300712117E1,1.022111740E3
5.407642617E1,1.022093964E3
5.514569117E1,1.022067642E3
5.621493617E1,1.022046280E3
5.728419617E1,1.022032700E3
5.835347117E1,1.022029190E3
5.942273917E1,1.022029190E3
6.049202517E1,1.022035522E3
6.156126617E1,1.022035522E3
6.263047817E1,1.022035446E3
6.369972517E1,1.022035065E3
6.476897417E1,1.022029800E3
6.583819217E1,1.022019806E3
