"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.874854167E-2,6.418620795E-2,-1.843937039E-1,5.167140812E-2
2.871354167E-2,-4.688172415E-2,-1.948002726E-1,6.186652184E-2
3.867954167E-2,-1.600682735E-1,-2.219437808E-1,7.507582754E-2
4.864454168E-2,-2.597879767E-1,-2.435236424E-1,9.100285918E-2
5.860908334E-2,-3.445632756E-1,-2.531234324E-1,1.043242365E-1
6.857508334E-2,-3.986733854E-1,-2.494922131E-1,1.095440313E-1
7.854008334E-2,-4.201296270E-1,-2.573320568E-1,1.129826680E-1
8.850508333E-2,-4.344209433E-1,-2.708100379E-1,1.081213355E-1
9.847108333E-2,-4.379145503E-1,-2.614397407E-1,1.055633873E-1
1.084360833E-1,-4.315498769E-1,-2.491585910E-1,9.122679383E-2
1.184020833E-1,-4.390217066E-1,-2.192067951E-1,7.325097919E-2
1.283670833E-1,-4.659297764E-1,-2.041660547E-1,7.974509150E-2
1.383320833E-1,-5.031732917E-1,-2.207475454E-1,9.053651243E-2
1.482980833E-1,-5.585848689E-1,-2.712323070E-1,1.125869527E-1
1.582630833E-1,-6.770918369E-1,-4.415123463E-1,1.567509770E-1
1.682280833E-1,-8.378090262E-1,-6.001368761E-1,1.983213127E-1
1.781940833E-1,-1.010281086E0,-7.824007273E-1,2.095750123E-1
1.881590833E-1,-1.127272129E0,-9.121560454E-1,2.110352218E-1
1.981250833E-1,-1.176828742E0,-1.035406470E0,2.447146475E-1
2.080900833E-1,-1.184726357E0,-1.180763602E0,2.734701335E-1
2.180550833E-1,-1.169636130E0,-1.317618608E0,3.068096638E-1
2.280210833E-1,-1.139768004E0,-1.436864376E0,3.858214021E-1
2.379860833E-1,-1.123361945E0,-1.467845678E0,4.481657743E-1
2.479510833E-1,-1.137193561E0,-1.500765324E0,4.944634736E-1
2.579170833E-1,-1.188215852E0,-1.496220589E0,5.071260333E-1
2.678820833E-1,-1.219655991E0,-1.418769240E0,5.154372454E-1
2.778480833E-1,-1.212604642E0,-1.400393724E0,5.150542259E-1
2.878130833E-1,-1.161774158E0,-1.396172881E0,5.036886334E-1
2.977780833E-1,-1.081341028E0,-1.462380528E0,5.143881440E-1
3.077440833E-1,-9.886786342E-1,-1.541241050E0,5.762307644E-1
3.177090833E-1,-9.023522735E-1,-1.584857464E0,6.303883195E-1
3.276740833E-1,-8.062686324E-1,-1.597100258E0,6.694962978E-1
3.376400833E-1,-7.145773768E-1,-1.605284214E0,7.091808915E-1
3.476050833E-1,-6.201148033E-1,-1.620427489E0,7.449748516E-1
3.575710833E-1,-5.483483672E-1,-1.625027537E0,7.714202404E-1
3.675360833E-1,-5.381796360E-1,-1.611453414E0,8.202162385E-1
3.775010833E-1,-5.873488188E-1,-1.616216779E0,8.805601001E-1
3.874670833E-1,-6.567332149E-1,-1.659402013E0,9.722516537E-1
3.974320833E-1,-7.494589686E-1,-1.660657763E0,1.093982220E0
4.073970833E-1,-8.830705881E-1,-1.689415812E0,1.232681513E0
4.173630833E-1,-1.058358073E0,-1.671501160E0,1.339259267E0
4.273280833E-1,-1.265382528E0,-1.599132061E0,1.351533413E0
4.372940833E-1,-1.367163181E0,-1.650767803E0,1.260682106E0
4.472590833E-1,-1.288273215E0,-1.503892064E0,1.152462482E0
4.572240833E-1,-1.105053663E0,-1.238289952E0,9.650099277E-1
4.671900833E-1,-9.146738648E-1,-1.152573705E0,8.186756372E-1
4.771550833E-1,-8.052409887E-1,-1.204471350E0,7.129198909E-1
4.871200833E-1,-7.275605798E-1,-1.315121174E0,6.318910718E-1
4.970860833E-1,-6.567745209E-1,-1.074093819E0,5.384072661E-1
5.070510833E-1,-6.459652781E-1,-7.979781032E-1,3.748276234E-1
5.170170833E-1,-7.075756192E-1,-5.005488396E-1,2.121669203E-1
5.269820833E-1,-7.790783048E-1,-2.047917694E-1,2.032771148E-2
5.369470833E-1,-7.996497154E-1,1.926306486E-1,-1.168854013E-1
5.469130833E-1,-8.103473783E-1,5.217446089E-1,-1.565792859E-1
5.568780833E-1,-8.250343204E-1,6.493372917E-1,-1.460557133E-1
5.668430833E-1,-8.168085814E-1,5.965427756E-1,-1.055753902E-1
5.768090833E-1,-8.222613931E-1,4.285577238E-1,-8.283844590E-2
5.867740833E-1,-8.854880333E-1,2.840916216E-1,-1.289731860E-1
5.967400833E-1,-1.047009706E0,2.799956203E-1,-2.151632160E-1
6.067050833E-1,-1.259510279E0,5.001487732E-1,-2.768473625E-1
6.166700833E-1,-1.453268290E0,8.991070390E-1,-3.080015481E-1
6.266360833E-1,-1.604490042E0,1.096583962E0,-7.847671956E-2
6.366010833E-1,-1.837268233E0,9.737443328E-1,3.722480536E-1
6.465660833E-1,-2.028195381E0,8.571971655E-1,7.518143058E-1
6.565320833E-1,-2.035362720E0,8.033925295E-1,6.313621998E-1
6.664970833E-1,-1.904518604E0,6.946220994E-1,2.430925071E-1
6.764630833E-1,-1.700112224E0,5.456480384E-1,-5.174251273E-3
6.864280833E-1,-1.498174310E0,4.626292884E-1,-9.889674932E-2
6.963930833E-1,-1.315294504E0,4.381799698E-1,-9.685177356E-2
7.063590833E-1,-1.175297499E0,5.790678263E-1,-3.927024081E-2
7.163240833E-1,-1.023534656E0,7.960841656E-1,7.600446790E-2
7.262890833E-1,-8.883981109E-1,9.048713446E-1,1.459321678E-1
7.362550833E-1,-7.835373878E-1,7.883312106E-1,1.489231288E-1
7.462200833E-1,-6.788501143E-1,4.280246794E-1,1.392409354E-1
7.561860833E-1,-5.558268428E-1,-4.120604321E-2,9.487156570E-2
7.661510833E-1,-4.131791890E-1,-7.196050882E-1,2.346156538E-2
7.761160833E-1,-3.121110797E-1,-1.441050291E0,-7.964055240E-2
7.860820833E-1,-3.136272132E-1,-2.186511993E0,-2.410928309E-1
7.960470833E-1,-4.349955320E-1,-2.821124315E0,-4.792254567E-1
8.060120833E-1,-5.809319615E-1,-3.131641150E0,-6.922554374E-1
8.159780833E-1,-7.171005607E-1,-3.204716206E0,-8.460569978E-1
8.259430833E-1,-8.583766818E-1,-3.193650246E0,-9.297223091E-1
8.359090833E-1,-1.009216547E0,-3.148593187E0,-9.508614540E-1
8.458740833E-1,-1.145378113E0,-3.036796808E0,-9.350970984E-1
8.558390833E-1,-1.250249982E0,-2.851140976E0,-8.932855725E-1
8.658050833E-1,-1.362692356E0,-2.517316580E0,-8.214718103E-1
8.757700833E-1,-1.553086758E0,-2.017690182E0,-7.241963148E-1
8.857350833E-1,-1.826975346E0,-1.498741627E0,-6.375823617E-1
8.957010833E-1,-2.125084400E0,-1.062448859E0,-5.885130763E-1
9.056660833E-1,-2.349426746E0,-7.142782211E-1,-5.569348931E-1
9.156320833E-1,-2.308823347E0,-3.218379617E-1,-5.225540996E-1
9.255970833E-1,-1.942547202E0,-3.366185725E-2,-5.487060547E-1
9.355620833E-1,-1.377297521E0,-7.333093882E-2,-6.104772091E-1
9.455280833E-1,-7.337981462E-1,-4.117372334E-1,-7.041558027E-1
9.554930833E-1,-9.232085943E-2,-8.261238933E-1,-8.057045341E-1
9.654580833E-1,4.122698605E-1,-1.210518599E0,-8.882713318E-1
9.754240833E-1,7.124258280E-1,-1.637343407E0,-8.710134625E-1
9.853890833E-1,9.155829549E-1,-1.670865059E0,-7.343602777E-1
9.953550833E-1,9.088105559E-1,-1.569339633E0,-4.296437502E-1
1.005320083E0,5.591233969E-1,-1.588366866E0,-1.871797442E-1
1.015285083E0,1.268843561E-1,-1.186578870E0,7.246959023E-3
1.025251083E0,-1.513001323E-1,-5.512306094E-1,2.939096093E-1
1.035216083E0,-3.092395961E-1,3.563297540E-2,6.146742702E-1
1.045181083E0,-4.585603774E-1,3.129311800E-1,8.659200668E-1
1.055147083E0,-6.094816327E-1,3.709030151E-1,1.005903125E0
1.065112167E0,-7.401317358E-1,3.754434288E-1,1.042489886E0
1.075078167E0,-8.786262274E-1,3.661707342E-1,9.835450053E-1
1.085043167E0,-1.006791115E0,3.638103902E-1,8.300135136E-1
1.095008167E0,-1.062549591E0,3.456276953E-1,6.841217875E-1
1.104974167E0,-9.848179817E-1,3.090587854E-1,5.720711350E-1
1.114939167E0,-8.183124661E-1,2.839884758E-1,4.651255608E-1
1.124904167E0,-6.618634462E-1,1.823087335E-1,3.158985376E-1
1.134870167E0,-6.322163939E-1,-2.754081786E-2,2.553015053E-1
1.144835167E0,-7.122886181E-1,-2.015786618E-1,2.870184183E-1
1.154801167E0,-8.788007498E-1,-1.053877100E-1,2.958191335E-1
1.164766167E0,-1.096734881E0,2.094061822E-1,2.860117853E-1
1.174731167E0,-1.310065269E0,6.303737164E-1,3.196732998E-1
1.184697167E0,-1.500482559E0,8.365934491E-1,4.128831327E-1
1.194662167E0,-1.625898957E0,8.830539584E-1,5.857210755E-1
1.204628167E0,-1.660969019E0,9.301101565E-1,9.258916974E-1
1.214593167E0,-1.657078743E0,1.086299896E0,1.428676844E0
1.224558167E0,-1.658855319E0,1.318520546E0,1.937421560E0
1.234524167E0,-1.732878685E0,1.317628980E0,2.361562014E0
1.244489167E0,-1.910979390E0,9.716276526E-1,2.590373993E0
1.254454167E0,-2.079135656E0,3.188129067E-1,2.446464300E0
1.264420167E0,-2.081907511E0,-2.360979766E-1,1.851772547E0
1.274385167E0,-1.692883492E0,-6.918339133E-1,1.030059576E0
1.284351167E0,-1.112433434E0,-6.387997270E-1,2.549297512E-1
1.294316167E0,-4.793782532E-1,-3.735358715E-1,-1.596727818E-1
1.304281167E0,-8.812819421E-2,-2.371245027E-1,-1.581590325E-1
1.314247167E0,-1.096841395E-1,-2.041356266E-1,4.325535521E-2
1.324212167E0,-4.288299084E-1,3.524553776E-2,3.086001873E-1
1.334177167E0,-7.400387526E-1,4.149796665E-1,5.459722281E-1
1.344143167E0,-9.765458107E-1,7.030407786E-1,6.501729488E-1
1.354108167E0,-1.145396948E0,8.884593248E-1,5.836328268E-1
1.364074167E0,-1.256354094E0,9.222641587E-1,4.311737418E-1
1.374039167E0,-1.280305147E0,7.687050104E-1,2.407124639E-1
1.384004167E0,-1.180282712E0,6.330581903E-1,9.281487763E-2
1.393970167E0,-1.065871358E0,2.736240923E-1,9.085424244E-3
1.403935167E0,-9.857833982E-1,-1.528779566E-1,-1.603864282E-1
1.413900167E0,-8.910053372E-1,-3.348081708E-1,-3.846065700E-1
1.423866167E0,-8.544536829E-1,-1.329024732E-1,-5.715532899E-1
1.433831167E0,-8.932043910E-1,3.766886294E-1,-6.487407684E-1
1.443797167E0,-8.718239665E-1,8.654071689E-1,-6.328086853E-1
1.453762167E0,-7.865954638E-1,1.149080634E0,-5.972068906E-1
1.463727167E0,-6.509249806E-1,1.196549654E0,-5.840857625E-1
1.473693167E0,-5.998905897E-1,9.148644805E-1,-6.033369899E-1
1.483658167E0,-6.361935139E-1,4.149580300E-1,-6.044672728E-1
1.493623167E0,-6.308037043E-1,3.635384440E-1,-6.077458858E-1
1.503589167E0,-4.224731624E-1,6.841507554E-1,-5.269751549E-1
1.513554167E0,-1.561326534E-1,6.370825171E-1,-2.606574297E-1
1.523520167E0,-6.964357942E-2,6.212007403E-1,8.362110704E-2
1.533485167E0,-2.074488401E-1,6.252519488E-1,4.633234441E-1
1.543450167E0,-4.920606017E-1,6.166132092E-1,7.458507419E-1
1.553416167E0,2.123847455E-1,-4.189548790E-1,6.480980515E-1
1.563381167E0,-2.010819316E-1,-1.239860803E-1,6.767470241E-1
1.573346167E0,-4.373307228E-1,-4.541147649E-1,6.571291089E-1
1.583312167E0,-2.757245302E-1,-1.417555511E-1,5.405380726E-1
1.593277167E0,-5.367940068E-1,-5.628859624E-3,5.668160319E-1
1.603243167E0,-5.423563123E-1,-1.120926812E-3,4.637455046E-1
1.613208167E0,-5.258073807E-1,-3.030216098E-1,3.814485371E-1
1.623173167E0,-4.130648673E-1,-4.161279202E-1,3.889679909E-1
1.633139167E0,-3.931977749E-1,-1.666024327E-1,3.974594176E-1
1.643104167E0,-3.173032701E-1,-2.339660376E-1,3.480604291E-1
1.653069167E0,-1.833280772E-1,-2.414465845E-1,2.718575299E-1
1.663035167E0,-7.965254784E-2,-1.282523870E-1,2.327474356E-1
1.673000167E0,3.551613912E-2,-1.847467124E-1,1.793651581E-1
1.682966167E0,9.311658889E-2,-2.500399649E-1,5.353798345E-2
1.692931167E0,1.431286335E-1,-2.317465097E-1,-3.486374766E-2
1.702896167E0,2.404109687E-1,-2.332461327E-1,-8.153004944E-2
1.712862167E0,4.560993314E-1,-2.383700460E-1,-1.273630559E-1
