"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.874854167E-2,-6.026076132E-1,4.325740904E-1,3.998691514E-1
2.871354167E-2,-4.447053087E-1,3.941853654E-1,-4.495748699E-2
3.867954167E-2,-3.554487312E-1,4.387955278E-1,-2.371779773E-1
4.864454168E-2,-4.145611578E-1,3.921312386E-1,-2.716692406E-1
5.860908334E-2,-4.487024653E-1,4.011242563E-1,-2.422115529E-1
6.857508334E-2,-4.199230546E-1,3.262676167E-1,-2.160791767E-1
7.854008334E-2,-3.182388049E-1,2.243909937E-1,-1.035144281E-1
8.850508333E-2,-2.684368998E-1,1.923868436E-1,-1.858508259E-2
9.847108333E-2,-2.139197999E-1,1.875617212E-1,-6.632204354E-2
1.084360833E-1,-7.372637272E-2,1.005054510E-1,-8.640313625E-2
1.184020833E-1,9.711640477E-3,3.297946572E-2,-1.542132962E-1
1.283670833E-1,2.777135074E-2,5.984391332E-2,-3.122147110E-1
1.383320833E-1,-1.189066386E-1,-7.030458212E-2,-5.133697468E-1
1.482980833E-1,-2.081076676E-1,-1.544389987E-1,-5.200943372E-1
1.582630833E-1,-3.762963939E-1,-5.469485521E-2,-6.877085745E-1
1.682280833E-1,-5.913546467E-1,5.479425788E-2,-1.157241746E0
1.781940833E-1,-3.363347679E-1,-1.033156228E-1,-1.474659894E0
1.881590833E-1,-9.895652354E-2,4.325887084E-2,-1.557759938E0
1.981250833E-1,-3.073460269E-1,6.232722580E-2,-1.013145887E0
2.080900833E-1,-6.280254596E-1,-1.952016932E-1,-5.684978807E-1
2.180550833E-1,-5.141439182E-1,-3.692376351E-1,-4.910339677E-1
2.280210833E-1,-5.539663804E-1,-5.768436116E-1,-3.541091341E-1
2.379860833E-1,-8.357457492E-1,-5.769400907E-1,-2.784531802E-1
2.479510833E-1,-8.742794850E-1,-4.910585260E-1,-2.984889570E-1
2.579170833E-1,-6.203392947E-1,-2.813832200E-1,-6.361630297E-1
2.678820833E-1,-4.154984665E-1,-1.501038730E-1,-9.441358781E-1
2.778480833E-1,-6.221732739E-1,-3.366475940E-2,-9.144542420E-1
2.878130833E-1,-7.395084733E-1,2.265807760E-1,-8.721882284E-1
2.977780833E-1,-9.104114771E-1,4.505922854E-1,-6.907654989E-1
3.077440833E-1,-1.275770069E0,6.008569568E-1,-6.180851930E-1
3.177090833E-1,-1.553592920E0,7.544329065E-1,-5.716793507E-1
3.276740833E-1,-1.583932660E0,9.259849513E-1,-5.831960267E-1
3.376400833E-1,-1.527892945E0,1.102284350E0,-7.337898964E-1
3.476050833E-1,-1.571350037E0,1.106988435E0,-9.396124721E-1
3.575710833E-1,-1.580378722E0,9.768475413E-1,-1.063706760E0
3.675360833E-1,-1.477067777E0,6.523142087E-1,-1.323119652E0
3.775010833E-1,-1.411298003E0,1.915582931E-1,-1.832422661E0
3.874670833E-1,-1.456002013E0,-2.658196861E-1,-2.236242483E0
3.974320833E-1,-1.616275656E0,-7.754863912E-1,-2.430013363E0
4.073970833E-1,-1.669952511E0,-1.242881820E0,-2.491882167E0
4.173630833E-1,-1.535111187E0,-1.619543665E0,-2.594106115E0
4.273280833E-1,-1.035741136E0,-1.547043453E0,-2.623878382E0
4.372940833E-1,-7.826980546E-2,-1.044260091E0,-2.582977694E0
4.472590833E-1,8.901220773E-1,-1.055504871E0,-1.461871741E0
4.572240833E-1,1.531586924E0,-9.098080444E-1,-6.960075277E-1
4.671900833E-1,1.833289656E0,-4.984844899E-1,-8.358156234E-1
4.771550833E-1,1.502971381E0,-6.066345906E-1,-9.071405447E-1
4.871200833E-1,1.398942690E0,-7.788596499E-1,-1.741730592E0
4.970860833E-1,1.316203273E0,-1.424686958E0,-1.601119673E0
5.070510833E-1,1.850783502E0,-1.312860712E0,-1.906686977E0
5.170170833E-1,2.462369515E0,-1.330829791E0,-1.824525411E0
5.269820833E-1,2.787814136E0,-1.579352828E0,-1.368521528E0
5.369470833E-1,3.131393605E0,-1.505110146E0,-1.034702232E0
5.469130833E-1,2.508442066E0,-8.585495979E-1,-1.032746338E0
5.568780833E-1,1.162561981E0,2.192542148E-1,-1.388168757E0
5.668430833E-1,1.780482282E-1,6.198896438E-1,-1.933492368E0
5.768090833E-1,-3.485167108E-2,5.338934737E-1,-2.465321190E0
5.867740833E-1,3.877556209E-1,7.228795767E-2,-3.075171164E0
5.967400833E-1,1.208613482E0,-4.569774449E-1,-3.496619757E0
6.067050833E-1,1.816750368E0,-5.456814605E-1,-3.664619034E0
6.166700833E-1,2.069643030E0,-4.015470099E-1,-3.300757914E0
6.266360833E-1,2.310025428E0,-5.847139639E-1,-2.300722654E0
6.366010833E-1,1.130634722E0,-1.296549904E-1,-1.427059758E0
6.465660833E-1,-2.796718861E-1,1.039698678E0,-1.267178171E0
6.565320833E-1,-6.842610562E-1,1.561897720E0,-1.233985282E0
6.664970833E-1,1.430265932E0,4.006418610E-1,-1.100778692E0
6.764630833E-1,2.395823962E0,4.735773978E-1,-6.117643529E-1
6.864280833E-1,1.735359904E0,1.266857451E0,-1.956911051E-1
6.963930833E-1,1.155488897E0,8.642819157E-1,-3.297203976E-1
7.063590833E-1,1.365417972E0,-3.595143002E-1,-8.936112571E-1
7.163240833E-1,1.477133851E0,-1.045097997E0,-1.237101848E0
7.262890833E-1,1.303302708E0,-5.370375216E-1,-1.498987527E0
7.362550833E-1,1.380947007E0,-2.910404813E-1,-1.965092475E0
7.462200833E-1,1.452132765E0,-2.546225604E-1,-2.633863673E0
7.561860833E-1,1.176648654E0,3.996399406E-1,-3.019132034E0
7.661510833E-1,9.891927677E-1,4.545876878E-1,-3.200256556E0
7.761160833E-1,1.334568354E0,9.728012681E-3,-3.300793582E0
7.860820833E-1,1.787663979E0,-2.737005633E-1,-3.460436602E0
7.960470833E-1,2.083044118E0,-3.116378832E-1,-3.735360988E0
8.060120833E-1,2.241015273E0,-3.960874647E-1,-3.569097165E0
8.159780833E-1,2.058252508E0,-7.247819683E-1,-2.614876594E0
8.259430833E-1,1.790212780E0,-1.322686374E0,-1.484931990E0
8.359090833E-1,1.198974055E0,-1.766197973E0,-5.289075530E-1
8.458740833E-1,7.831465361E-1,-1.881619671E0,3.715320826E-1
8.558390833E-1,5.573944202E-1,-1.925050450E0,1.158870195E0
8.658050833E-1,2.392958205E-1,-1.846653614E0,1.791371698E0
8.757700833E-1,-5.117099416E-2,-1.448926298E0,2.072370172E0
8.857350833E-1,6.259334721E-3,-1.195537207E0,1.938098804E0
8.957010833E-1,2.346648440E-1,-1.131321623E0,1.902253034E0
9.056660833E-1,2.482821321E-1,-8.895601599E-1,2.065511388E0
9.156320833E-1,5.131246023E-2,-5.898367095E-1,2.469751625E0
9.255970833E-1,2.319091974E-1,-6.004197313E-1,3.741967172E0
9.355620833E-1,4.626895899E-1,-7.796301667E-1,5.163035288E0
9.455280833E-1,3.838141590E-2,-3.095632911E-1,5.558903482E0
9.554930833E-1,-2.266094273E-1,2.696591140E-1,5.553080240E0
9.654580833E-1,-3.587089925E-1,2.816961922E-1,5.288755102E0
9.754240833E-1,-6.665787837E-1,1.129799008E-2,4.663003040E0
9.853890833E-1,-1.202134109E0,-3.025412236E-1,4.096446435E0
9.953550833E-1,-1.906616518E0,-5.398817535E-1,3.246682863E0
