"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.802503109E-2,5.217538534E1,4.491554504E0,-9.300000000E-1,NaN,NaN,1.414000000E3,3.020598960E1
5.629503727E-2,5.217618272E1,4.490970725E0,-9.300000000E-1,NaN,NaN,1.414000000E3,3.022676810E1
1.372523499E1,5.217820485E1,4.494031352E0,-9.300000000E-1,NaN,NaN,1.414000000E3,3.024362573E1
1.372700906E1,5.217898050E1,4.495205361E0,-9.300000000E-1,NaN,NaN,1.414000000E3,3.024362573E1
1.862113190E1,5.217814390E1,4.496048419E0,-2.527072906E0,0.000000000E0,6.328125000E0,4.696288766E1,2.400000000E1
1.961584401E1,5.217882933E1,4.497019211E0,1.754604340E0,2.493000031E1,1.863281250E1,1.420696562E1,4.000000000E0
2.062099600E1,5.217896114E1,4.496741183E0,-7.186622620E-1,0.000000000E0,1.863281250E1,1.400000000E1,6.000000000E0
2.162072301E1,5.217915899E1,4.496882418E0,3.178977966E-1,2.493000031E1,1.546875000E1,1.400000000E1,4.000000000E0
2.262108111E1,5.217945441E1,4.497024240E0,-8.287086487E-1,2.675000000E1,1.933593750E1,1.400000000E1,6.000000000E0
2.362187195E1,5.217977896E1,4.497216102E0,-6.194980621E0,2.695000076E1,1.582031250E1,1.400000000E1,6.000000000E0
2.460165918E1,5.218007241E1,4.497354738E0,-8.348911285E0,2.795000076E1,1.406250000E1,1.400000000E1,8.000000000E0
2.560159242E1,5.218037730E1,4.497439228E0,-8.415683746E0,2.790999985E1,1.371093750E1,1.400000000E1,8.000000000E0
2.660153759E1,5.218065692E1,4.497539811E0,-9.039157867E0,2.790999985E1,1.335937500E1,1.400000000E1,6.000000000E0
2.760146797E1,5.218092883E1,4.497650787E0,-8.261386871E0,2.790999985E1,1.265625000E1,1.400000000E1,6.000000000E0
2.860139859E1,5.218118628E1,4.497743994E0,-8.392734528E0,2.745999908E1,1.195312500E1,1.400000000E1,6.000000000E0
2.960134399E1,5.218146230E1,4.497814653E0,-7.002964020E0,2.779999924E1,9.492187500E0,1.400000000E1,6.000000000E0
3.060127485E1,5.218172151E1,4.497855892E0,-6.415622711E0,2.745999908E1,8.085937500E0,1.400000000E1,6.000000000E0
3.160121608E1,5.218196583E1,4.497912361E0,-6.415563510E0,2.745999908E1,8.085982108E0,8.161166907E0,6.000000000E0
3.260117126E1,5.218221381E1,4.497945959E0,-6.268773872E0,2.747999954E1,6.679724417E0,8.884472573E0,6.000000000E0
3.360111189E1,5.218248241E1,4.497952388E0,-7.450353462E0,2.747999954E1,4.921902230E0,9.316038187E0,6.000000000E0
