"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.874854167E-2,2.724639893E0,-7.651725769E1,-6.393708420E1
2.871354167E-2,2.730957031E0,-7.659976959E1,-6.399246597E1
3.867954167E-2,2.610809326E0,-7.669033051E1,-6.408596802E1
4.864454168E-2,2.507125854E0,-7.668656158E1,-6.436672211E1
5.860908334E-2,2.346023560E0,-7.693840790E1,-6.504488373E1
6.857508334E-2,2.100677490E0,-7.684517670E1,-6.529441833E1
7.854008334E-2,1.808731079E0,-7.694882202E1,-6.583165741E1
8.850508333E-2,1.674804688E0,-7.687444305E1,-6.633670807E1
9.847108333E-2,1.532730103E0,-7.688205719E1,-6.703460693E1
1.084360833E-1,1.374176025E0,-7.695788574E1,-6.762975311E1
1.184020833E-1,1.104446411E0,-7.678782654E1,-6.797012329E1
1.283670833E-1,7.710113525E-1,-7.678559875E1,-6.847155762E1
1.383320833E-1,7.710113525E-1,-7.678559875E1,-6.847155762E1
1.482980833E-1,5.413162231E0,-8.028456879E1,-6.755740356E1
1.582630833E-1,5.120529175E0,-8.031204987E1,-6.816991425E1
1.682280833E-1,4.681945801E0,-8.010247803E1,-6.903615570E1
1.781940833E-1,4.232269287E0,-7.986373138E1,-6.978926849E1
1.881590833E-1,3.898483276E0,-7.978821564E1,-7.028660583E1
1.981250833E-1,3.149185181E0,-7.935083008E1,-7.122764587E1
2.080900833E-1,2.149276733E0,-7.855783081E1,-7.223219299E1
2.180550833E-1,1.039108276E0,-7.799819183E1,-7.315533447E1
2.280210833E-1,-3.072509766E-1,-7.720561981E1,-7.402745819E1
2.379860833E-1,-1.820098877E0,-7.655992889E1,-7.504267120E1
2.479510833E-1,-3.148620605E0,-7.596318817E1,-7.599169159E1
2.579170833E-1,-4.721786499E0,-7.518901825E1,-7.684495544E1
2.678820833E-1,-6.383834839E0,-7.416147614E1,-7.743679810E1
2.778480833E-1,-8.017456055E0,-7.329750061E1,-7.838088226E1
2.878130833E-1,-9.321014404E0,-7.245154572E1,-7.926958466E1
2.977780833E-1,-1.077125549E1,-7.164066315E1,-7.984904480E1
3.077440833E-1,-1.242710876E1,-7.093013763E1,-8.055880737E1
3.177090833E-1,-1.434841919E1,-7.017164612E1,-8.116987610E1
3.276740833E-1,-1.613269043E1,-6.949337006E1,-8.189717102E1
3.376400833E-1,-1.777864075E1,-6.914434052E1,-8.190438080E1
3.476050833E-1,-1.956106567E1,-6.864577484E1,-8.212965393E1
3.575710833E-1,-2.165657806E1,-6.804545593E1,-8.241566467E1
3.675360833E-1,-2.360166168E1,-6.753713989E1,-8.272505188E1
3.775010833E-1,-2.321390533E1,-6.763368225E1,-8.274932861E1
3.874670833E-1,-2.506789398E1,-6.722181702E1,-8.270989227E1
3.974320833E-1,-2.729002380E1,-6.655535889E1,-8.238275146E1
4.073970833E-1,-2.960603333E1,-6.565476227E1,-8.232842255E1
4.173630833E-1,-3.177269745E1,-6.489120483E1,-8.231492615E1
4.273280833E-1,-3.408362579E1,-6.365791702E1,-8.239624023E1
4.372940833E-1,-3.641090393E1,-6.212511826E1,-8.245010376E1
4.472590833E-1,-3.837602234E1,-6.057840347E1,-8.258143616E1
4.572240833E-1,-4.029380798E1,-5.887195969E1,-8.228404236E1
4.671900833E-1,-4.214250946E1,-5.747478104E1,-8.244105530E1
4.771550833E-1,-4.347959137E1,-5.648026276E1,-8.254048157E1
4.871200833E-1,-4.501375580E1,-5.555673218E1,-8.262660980E1
4.970860833E-1,-4.649263000E1,-5.484141541E1,-8.250903320E1
5.070510833E-1,-4.776528168E1,-5.408476257E1,-8.240722656E1
5.170170833E-1,-4.881441498E1,-5.344673157E1,-8.223628235E1
5.269820833E-1,-4.920272064E1,-5.282546997E1,-8.219378662E1
5.369470833E-1,-4.923040771E1,-5.246147919E1,-8.261657715E1
5.469130833E-1,-4.890737915E1,-5.189161682E1,-8.299768066E1
5.568780833E-1,-4.841125488E1,-5.143100739E1,-8.373248291E1
5.668430833E-1,-4.771163940E1,-5.100589752E1,-8.451014709E1
5.768090833E-1,-4.694588470E1,-5.069799805E1,-8.521488190E1
5.867740833E-1,-4.670848846E1,-5.038073730E1,-8.558315277E1
5.967400833E-1,-4.641987610E1,-4.975631714E1,-8.626109314E1
6.067050833E-1,-4.563501740E1,-4.900176239E1,-8.716258240E1
6.166700833E-1,-4.563501740E1,-4.900176239E1,-8.716258240E1
6.266360833E-1,-4.483276367E1,-4.814580536E1,-8.790774536E1
