"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.805666664E-3,5.033133545E0,3.373235321E0,7.480394440E0
1.677066667E-2,5.193001099E0,3.432661743E0,7.662415924E0
2.673566667E-2,5.133724365E0,3.034489746E0,7.667505341E0
3.670066668E-2,5.457950134E0,3.169209595E0,7.796686707E0
4.666566668E-2,5.260211334E0,3.190016327E0,8.109236755E0
5.663066666E-2,5.481451263E0,3.067271576E0,8.059240723E0
6.659466668E-2,5.557642822E0,3.215164032E0,8.015531616E0
7.655966666E-2,5.645061035E0,3.061733093E0,7.759264526E0
8.652466667E-2,5.820047150E0,2.643951874E0,7.396269379E0
9.648966667E-2,6.088888092E0,2.342329102E0,7.167545013E0
1.064546667E-1,6.194268951E0,2.277214508E0,7.080725555E0
1.164196667E-1,6.059399414E0,2.542462921E0,6.983727264E0
1.263846667E-1,5.823040924E0,2.908451843E0,6.930587769E0
1.363496667E-1,5.532495117E0,2.717898102E0,6.870412903E0
1.463136667E-1,5.576952667E0,2.435734863E0,6.864874420E0
1.562786667E-1,5.855972443E0,2.742447052E0,7.441774750E0
1.662436667E-1,5.241500244E0,3.085533600E0,8.005951538E0
1.762086667E-1,4.564757538E0,2.704126740E0,8.313861237E0
1.861736667E-1,3.859124908E0,3.015030212E0,8.173004150E0
1.961386667E-1,3.424877930E0,3.396886139E0,8.897347870E0
2.061036667E-1,3.202739868E0,2.977458344E0,9.433233490E0
2.160686667E-1,3.207529907E0,2.806813202E0,9.253607025E0
2.260326667E-1,3.727698212E0,2.897973633E0,1.006566833E1
2.359976667E-1,4.598437500E0,2.477198639E0,1.059287201E1
2.459626667E-1,5.060975647E0,2.002086639E0,1.003348526E1
2.559276667E-1,4.934638367E0,2.178120575E0,9.658215637E0
2.658926667E-1,4.429738312E0,1.305585022E0,1.015997223E1
2.758576667E-1,4.693938904E0,6.682104492E-1,9.651180267E0
2.858226667E-1,4.746479645E0,1.097218323E0,9.306297455E0
2.957876667E-1,4.771777039E0,1.612147522E0,9.222771149E0
3.057516667E-1,4.750072174E0,2.104922791E0,9.129964142E0
3.157166667E-1,4.492308197E0,2.538720703E0,9.184301147E0
3.256816667E-1,3.691323853E0,2.533182220E0,9.595046997E0
3.356466667E-1,2.929857330E0,2.211501160E0,1.000100281E1
3.456116667E-1,2.204765167E0,1.834584961E0,1.000549347E1
3.555766667E-1,1.878593445E0,1.697769470E0,9.632020111E0
3.655425417E-1,2.352507935E0,1.601070557E0,9.288634186E0
3.755065417E-1,2.201771393E0,4.787045288E-1,8.615933075E0
3.854715417E-1,5.310955811E-1,-1.186582489E0,7.572303314E0
3.954365417E-1,1.614392853E0,-1.328337708E0,8.547824707E0
4.054015417E-1,3.140319672E0,-4.902305603E-1,8.452323303E0
4.153665417E-1,3.731889496E0,4.959187317E-1,8.603808289E0
4.253315417E-1,3.591780853E0,7.924520874E-1,9.151219940E0
