"Time (s)","X (hPa)"
-5.809772083E-1,1.022120361E3
4.212097917E-1,1.022104034E3
1.423392792E0,1.022087708E3
2.425505792E0,1.022058334E3
3.427650792E0,1.022013168E3
3.783235792E0,1.021947098E3
4.852240792E0,1.021939697E3
5.921200792E0,1.021882477E3
6.990189792E0,1.021821671E3
8.059219792E0,1.021767273E3
9.128224792E0,1.021732559E3
1.019719079E1,1.021698074E3
1.126621779E1,1.021662903E3
1.233524879E1,1.021630859E3
1.340427379E1,1.021608353E3
1.447328579E1,1.021587524E3
1.554225179E1,1.021571350E3
1.661120779E1,1.021571350E3
1.768017479E1,1.021583786E3
1.874915479E1,1.021611938E3
1.981813379E1,1.021647720E3
2.088711479E1,1.021700974E3
2.195604679E1,1.021770477E3
2.302502679E1,1.021844330E3
2.409401179E1,1.021923904E3
2.516304979E1,1.021993332E3
2.623209079E1,1.022051239E3
2.730114879E1,1.022088165E3
2.837019879E1,1.022117157E3
2.943925879E1,1.022127457E3
3.050826779E1,1.022133179E3
3.157731279E1,1.022136154E3
3.264635079E1,1.022143021E3
3.371540979E1,1.022143021E3
3.478448279E1,1.022142410E3
3.585354679E1,1.022142410E3
3.692257879E1,1.022147675E3
3.799160979E1,1.022147675E3
3.906067579E1,1.022146378E3
4.012973179E1,1.022143478E3
4.119876279E1,1.022138672E3
4.226775179E1,1.022131348E3
4.333673879E1,1.022081985E3
4.440576579E1,1.021811752E3
4.547478179E1,1.021389236E3
4.654378479E1,1.021275330E3
4.761284179E1,1.021271896E3
4.868190479E1,1.021271896E3
4.975091879E1,1.021506729E3
5.081994579E1,1.021949539E3
5.188902479E1,1.022102280E3
5.295805479E1,1.022117462E3
5.402710079E1,1.022127228E3
5.509611779E1,1.022127228E3
5.616514179E1,1.022126236E3
5.723418779E1,1.022126236E3
5.830323379E1,1.022128372E3
5.937219779E1,1.022129822E3
6.044120079E1,1.022131500E3
6.151022979E1,1.022132187E3
6.257928279E1,1.022132187E3
6.364835679E1,1.022129822E3
6.471741379E1,1.022126389E3
6.578645579E1,1.022123947E3
6.685553779E1,1.022117996E3
6.792461679E1,1.022110214E3
6.899369979E1,1.022102432E3
7.006278479E1,1.022098389E3
7.113185779E1,1.022094421E3
7.220093979E1,1.022094421E3
7.327004079E1,1.022097168E3
7.433915379E1,1.022103043E3
7.540824279E1,1.022108307E3
7.647732879E1,1.022113647E3
7.754637279E1,1.022117615E3
7.861540279E1,1.022117615E3
7.968445079E1,1.022117233E3
8.075349279E1,1.022107544E3
8.182252379E1,1.022087936E3
8.289154679E1,1.022058716E3
8.396054179E1,1.022018204E3
8.502956879E1,1.021973038E3
8.609862979E1,1.021915894E3
8.716768079E1,1.021857986E3
8.823672379E1,1.021800079E3
8.930579679E1,1.021742935E3
9.037483779E1,1.021682434E3
9.144384179E1,1.021634293E3
9.251289179E1,1.021587753E3
9.358196279E1,1.021545258E3
9.465106779E1,1.021501999E3
9.572012579E1,1.021470871E3
9.678920279E1,1.021448822E3
9.785829879E1,1.021439362E3
9.892737679E1,1.021416779E3
9.999646179E1,1.021403275E3
