"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.677066667E-2,-8.402972668E-2,-2.278128713E-1,2.924716473E-1
2.673566667E-2,-1.170883477E-1,-1.680944115E-1,2.872928679E-1
3.670066668E-2,-7.122875005E-2,-1.081725955E-1,2.111544907E-1
4.666566668E-2,-1.254120748E-2,-7.576379180E-2,2.053626478E-1
5.663066666E-2,9.087471291E-3,-7.032228261E-2,2.549500465E-1
6.659466668E-2,-2.025550231E-2,-9.282945096E-2,3.012379110E-1
7.655966666E-2,-9.491261840E-2,-1.364724785E-1,2.604661286E-1
8.652466667E-2,-2.020270824E-1,-3.577222303E-2,1.239629090E-1
9.648966667E-2,-3.210773766E-1,2.178172916E-1,-4.547067359E-2
1.064546667E-1,-4.374162555E-1,5.150036812E-1,-1.633523107E-1
1.164196667E-1,-5.542697906E-1,7.666962147E-1,-2.107047439E-1
1.263846667E-1,-6.595370770E-1,9.865063429E-1,-2.318417132E-1
1.363496667E-1,-8.102635741E-1,1.191441298E0,-2.456171662E-1
1.463136667E-1,-9.521690607E-1,1.380174160E0,-3.069804013E-1
1.562786667E-1,-1.030260563E0,1.481765389E0,-3.878244460E-1
1.662436667E-1,-1.086083889E0,1.547447681E0,-3.751962483E-1
1.762086667E-1,-1.158758044E0,1.356823802E0,-2.794080079E-1
1.861736667E-1,-1.204136491E0,1.132186651E0,-1.755026281E-1
1.961386667E-1,-1.168502450E0,9.838828444E-1,-2.092602290E-2
2.061036667E-1,-1.144546747E0,7.944212556E-1,1.957090795E-1
2.160686667E-1,-1.129352927E0,6.537030339E-1,4.395449758E-1
2.260326667E-1,-1.006561518E0,5.710397959E-1,6.094631553E-1
2.359976667E-1,-9.028908610E-1,3.661821783E-1,7.272295952E-1
2.459626667E-1,-7.143025398E-1,-1.870983392E-1,7.095496655E-1
2.559276667E-1,-3.747441769E-1,-2.228438258E-1,5.876892805E-1
2.658926667E-1,-1.758148670E-1,1.074699163E-1,5.288723111E-1
2.758576667E-1,-1.127404496E-1,7.129326463E-1,5.015911460E-1
2.858226667E-1,-1.426996738E-1,1.283450723E0,4.448506534E-1
2.957876667E-1,-2.004243731E-1,1.700832486E0,2.841262817E-1
3.057516667E-1,-2.964981794E-1,1.702438354E0,1.274669021E-1
3.157166667E-1,-4.108955264E-1,1.577235579E0,3.916094452E-2
3.256816667E-1,-5.463833213E-1,1.401339889E0,5.383922160E-2
3.356466667E-1,-6.924139857E-1,1.225631714E0,1.026660502E-1
3.456116667E-1,-8.442910910E-1,1.056054950E0,1.285687536E-1
3.555766667E-1,-9.981952906E-1,8.595589399E-1,3.837841377E-2
3.655425417E-1,-1.177229524E0,6.118804216E-1,-1.715681553E-1
3.755065417E-1,-1.553789139E0,5.535059571E-1,-2.629525363E-1
3.854715417E-1,-1.925344586E0,9.244238138E-1,-2.706080675E-1
3.954365417E-1,-2.220146418E0,1.154160261E0,-4.244915545E-1
4.054015417E-1,-2.448088169E0,1.169939399E0,-7.168203592E-1
4.153665417E-1,-2.548588276E0,1.227540612E0,-1.084691286E0
4.253315417E-1,-2.531999350E0,1.321956873E0,-1.416702747E0
4.352965417E-1,-2.338260174E0,1.073589563E0,-1.679691076E0
4.452615417E-1,-2.043010473E0,6.584842801E-1,-1.799000144E0
4.552255417E-1,-1.566773295E0,6.662539244E-1,-1.789000988E0
4.651905417E-1,-9.658941031E-1,8.616284728E-1,-1.717460394E0
4.751555417E-1,-4.274404943E-1,7.059711218E-1,-1.605599046E0
4.851205417E-1,-6.236317381E-2,3.738142252E-1,-1.442377329E0
4.950855417E-1,1.902904212E-1,1.154037416E-1,-1.203296423E0
5.050505417E-1,3.917638958E-1,-1.054138616E-1,-9.001343846E-1
5.150155417E-1,6.089913249E-1,-3.236350417E-1,-5.346009731E-1
5.249805417E-1,8.683885336E-1,-5.742230415E-1,-2.065436989E-1
