"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.677066667E-2,1.999116254E-1,1.498425025E-1,-1.177132219E-1
2.673566667E-2,3.060198784E-2,-2.638617459E-1,-3.107327342E-2
3.670066668E-2,3.505867714E-1,-2.752325338E-1,4.852604270E-3
4.666566668E-2,2.197219920E-1,-1.040810233E-1,3.116782290E-1
5.663066666E-2,2.958702815E-1,-2.597628477E-1,4.203732902E-1
6.659466668E-2,4.442217439E-1,-1.617129350E-1,3.241620344E-1
7.655966666E-2,4.859527373E-1,-1.141250780E-1,2.125416112E-1
8.652466667E-2,6.005394530E-1,-4.767465886E-1,-1.762988144E-1
9.648966667E-2,8.587636060E-1,-8.256268501E-1,-4.570721698E-1
1.064546667E-1,1.084412336E0,-9.705641234E-1,-6.332967246E-1
1.164196667E-1,1.075216420E0,-8.003610313E-1,-7.408866620E-1
1.263846667E-1,9.504339141E-1,-3.694744474E-1,-9.085637569E-1
1.363496667E-1,7.721283352E-1,-2.277019796E-1,-9.888957292E-1
1.463136667E-1,6.918700379E-1,-6.243998936E-1,-1.230863453E0
1.562786667E-1,1.188652403E0,-3.947127843E-1,-8.836739141E-1
1.662436667E-1,1.039506889E0,8.534479022E-2,-4.296773797E-1
1.762086667E-1,4.146433112E-1,-1.053902149E-2,-3.045814633E-3
1.861736667E-1,-1.271763557E-1,5.611455917E-2,-2.107582104E-1
1.961386667E-1,-6.523241490E-1,6.443535170E-1,6.048535287E-2
2.061036667E-1,-7.979291743E-1,6.630970591E-1,8.459944564E-1
2.160686667E-1,-8.806169897E-1,2.929191917E-1,7.012793773E-1
2.260326667E-1,-5.868397191E-1,5.800091480E-1,9.746717924E-1
2.359976667E-1,3.508843946E-1,4.681715007E-1,1.908283267E0
2.459626667E-1,9.208049029E-1,-4.348150358E-2,1.601268777E0
2.559276667E-1,1.112136032E0,5.439386979E-2,9.258568972E-1
2.658926667E-1,4.535211557E-1,-2.020576997E-1,1.344812238E0
2.758576667E-1,5.821277404E-1,-1.271428804E0,1.174800349E0
2.858226667E-1,8.232227674E-1,-1.069399171E0,6.108744067E-1
2.957876667E-1,9.532072484E-1,-4.590974991E-1,4.283716965E-1
3.057516667E-1,1.090853921E0,1.093458563E-2,2.397083598E-1
3.157166667E-1,1.149982720E0,5.497844517E-1,1.999373531E-1
3.256816667E-1,6.135635412E-1,7.771832532E-1,3.712233496E-1
3.356466667E-1,-5.609555572E-2,5.891672033E-1,8.159859610E-1
3.456116667E-1,-7.007914272E-1,2.900641425E-1,9.186753470E-1
3.555766667E-1,-1.160670260E0,8.512756616E-2,6.320746565E-1
3.655425417E-1,-9.048922902E-1,2.369221616E-1,1.736196202E-1
3.755065417E-1,-4.321989915E-1,-3.377445316E-1,-2.543386781E-1
3.854715417E-1,-1.878376221E0,-1.897576723E0,-1.555698502E0
3.954365417E-1,-1.867952097E0,-2.498566119E0,-1.159644951E0
4.054015417E-1,3.773500621E-2,-1.702632892E0,-8.373779994E-1
4.153665417E-1,1.033692710E0,-4.562363834E-1,-9.955229634E-1
4.253315417E-1,1.292637532E0,3.542003872E-1,-5.249524963E-1
4.352965417E-1,1.051126476E0,5.609782152E-1,-1.012544793E-1
4.452615417E-1,1.065065215E0,8.978199367E-1,9.872456449E-1
4.552255417E-1,3.521861310E-1,7.855170704E-1,1.109010403E0
4.651905417E-1,-3.008468467E-1,5.648990291E-1,1.730056626E0
4.751555417E-1,-4.096154366E-1,4.088007733E-1,2.303090776E0
4.851205417E-1,-3.014482328E-1,2.003878263E-1,1.515127596E0
4.950855417E-1,-1.532952833E-1,-4.342507794E-3,3.559814125E-1
5.050505417E-1,-1.201465407E-1,-2.206406992E-1,2.586200094E-1
5.150155417E-1,-2.391062428E-1,-4.036490109E-1,6.014855325E-1
5.249805417E-1,-4.236991864E-1,-6.000290642E-1,1.223562620E0
5.349445417E-1,-1.946774903E-1,-5.269615265E-1,1.734097052E0
5.449095417E-1,3.451323424E-1,-3.316421581E-1,1.500697253E0
5.548745417E-1,6.623439378E-1,-6.718469788E-1,1.358078985E0
5.648395417E-1,1.041703396E0,-1.970831810E0,1.521811548E0
5.748045417E-1,7.700747931E-1,-2.411644042E0,1.311929251E0
5.847695417E-1,1.080084811E0,-1.978910323E0,5.556088632E-1
5.947345417E-1,1.431122696E0,-1.309735960E0,-9.636269867E-2
6.046995417E-1,6.357148406E-1,-5.181618324E-1,-9.118376130E-1
6.146635417E-1,6.779886018E-1,-6.090369192E-1,-2.205016598E0
6.246285417E-1,-1.885800138E-1,-3.926224047E-1,-2.696613652E0
6.345935417E-1,-5.882450974E-1,-7.822419718E-2,-2.362915978E0
6.445585417E-1,2.333731940E-1,1.275159328E-1,-1.190015974E0
6.545235417E-1,1.929140724E0,3.696336378E-1,1.427041047E0
6.644885417E-1,4.858492416E-1,2.898787858E-1,1.205694113E0
6.744535417E-1,-2.393390789E0,-1.536867544E-2,-1.198522503E0
6.844185417E-1,-2.285135146E0,4.211274348E-2,-1.614676443E0
6.943835417E-1,-6.793276142E-1,8.356828916E-1,-2.399486804E-1
7.043475417E-1,-1.494702395E0,8.707515675E-1,-6.532439160E-1
7.143125417E-1,-6.233876821E0,-3.392490202E-1,3.007442281E0
7.242775417E-1,-5.507190707E0,3.035460384E0,5.952118210E0
7.342425417E-1,4.698233391E-1,2.623403296E0,3.627330755E0
7.442075417E-1,9.065235172E-1,-9.843113659E-1,-1.242585366E0
7.541725417E-1,-4.268131211E-2,-1.452852849E0,-3.004297063E0
7.641375417E-1,1.150737741E0,-2.693481883E-1,-1.898798499E0
7.741025417E-1,1.963682419E0,-3.713610515E-2,4.931442279E-1
7.840665417E-1,2.120706911E0,-6.824029572E-1,3.390253642E0
7.940315417E-1,1.963252941E0,-1.198107351E0,4.504500811E0
8.039965417E-1,1.277243422E0,-1.062675896E0,3.375559589E0
8.139615417E-1,-7.497446090E-2,-1.100349361E0,1.937913448E0
8.239265417E-1,-2.985031365E-1,-7.809117302E-1,7.126317465E-1
8.338915417E-1,-3.928612635E-2,-1.694862235E-1,-4.454818189E-2
8.438565417E-1,8.874808900E-2,2.533323723E-1,-3.745463222E-1
8.538215417E-1,4.276288077E-2,6.162037052E-1,-7.376063740E-1
8.637855417E-1,1.029920525E-1,7.846007386E-1,-1.152811310E0
8.737505417E-1,6.195706051E-1,3.758736402E-1,-1.402527180E0
8.837155417E-1,1.456290866E0,-7.486919640E-1,-1.419194083E0
8.936805417E-1,1.863664626E0,-4.759703708E-1,-5.090135711E-1
9.036455417E-1,1.349739686E0,-3.292344940E-1,-1.096592671E-1
9.136105417E-1,6.901454017E-1,-6.380825244E-1,-7.559467506E-1
9.235755417E-1,6.238648003E-1,-3.541548885E-1,-1.391363676E0
9.335405417E-1,9.241876633E-1,3.133661740E-1,-1.952757189E0
9.435045417E-1,1.838347206E0,7.874521333E-1,-2.337727928E0
9.534695417E-1,1.749472013E0,9.873519181E-1,-1.891660802E0
9.634345417E-1,1.880524488E-1,8.721731718E-1,-9.068663102E-1
9.733995417E-1,-1.078541366E0,7.007674536E-1,-3.636617303E-2
9.833645417E-1,-1.139133430E0,5.656266055E-1,8.904958606E-2
9.933295417E-1,-4.546146947E-1,2.015903610E-1,1.207555282E-1
1.003294542E0,3.290901774E-1,-1.441218790E-1,3.874341702E-1
1.013259542E0,2.793865054E-1,1.559218526E-2,1.272457622E0
1.023223542E0,-5.183748538E-1,-5.571516511E-1,4.267657002E0
1.033188542E0,-7.753090013E-1,-1.217668042E0,4.572881075E0
1.043153542E0,-2.065611667E0,-8.845384249E-1,2.317013581E0
1.053118542E0,-2.498444789E0,4.300861001E-2,1.346783919E0
