"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.207428932E-1,5.225886755E1,4.643896509E0,-2.699810595E0,1.574056141E1,2.610711039E2,4.541631912E1,3.000000000E0
1.526147842E0,5.225819940E1,4.643178175E0,-2.251502044E0,2.275984901E1,2.398831022E2,4.447965963E1,3.000000000E0
2.521697164E0,5.225809303E1,4.642879461E0,-7.854032954E-1,2.281030963E1,2.400189957E2,4.675203926E1,3.000000000E0
3.521259904E0,5.225799014E1,4.642588360E0,-1.146363716E0,2.288016412E1,2.399739588E2,4.933313210E1,3.000000000E0
4.521621346E0,5.225883394E1,4.642719945E0,-9.626109526E-1,1.696402595E1,2.713164130E2,4.112441213E1,3.000000000E0
5.520108819E0,5.225886194E1,4.642480495E0,-1.305925851E0,1.686671832E1,2.723510696E2,4.174723758E1,3.000000000E0
6.510386348E0,5.225887877E1,4.642241483E0,-3.276582416E-1,1.682611583E1,2.725109786E2,4.216504264E1,3.000000000E0
7.510397315E0,5.224038564E1,4.618506100E0,-7.611001407E0,3.861999893E1,2.218356394E2,2.386599221E1,3.200000000E1
8.510408282E0,5.224005087E1,4.618477837E0,-3.821693800E0,3.877999878E1,2.225387591E2,2.462410848E1,3.000000002E0
9.510418296E0,5.223978270E1,4.617850045E0,-3.915073395E0,3.897000122E1,2.221875000E2,2.425910971E2,8.000000000E0
1.052769625E1,5.223951872E1,4.617460321E0,-3.914950216E0,3.897000122E1,2.221871919E2,2.425910971E2,8.000000071E0
2.122985899E1,5.225867468E1,4.639066488E0,3.815820152E0,NaN,NaN,1.589117483E2,3.000000000E0
2.124782395E1,5.225508142E1,4.634863099E0,-9.240598869E-1,NaN,NaN,1.112615739E3,3.851246448E0
2.551058888E1,5.223539704E1,4.611761682E0,-6.194797516E0,3.834000015E1,2.221875000E2,8.312276914E1,4.800000000E1
2.651059949E1,5.223514173E1,4.611384803E0,-6.194682296E0,3.834000015E1,2.221872021E2,8.312276914E1,4.800000000E1
2.750999320E1,5.223488779E1,4.611009864E0,-3.802409491E0,3.834000015E1,2.221872023E2,8.625360100E1,8.000000008E0
2.853170156E1,5.223462743E1,4.610627318E0,-3.715368600E0,3.827000046E1,2.221871962E2,9.867348632E1,8.000000011E0
3.850984383E1,5.223203015E1,4.606228704E0,-3.457981110E0,3.879000092E1,2.288671875E2,2.101836952E1,3.000000000E0
3.950982773E1,5.223180084E1,4.605801089E0,-3.457863208E0,3.879000091E1,2.288668495E2,2.101836952E1,3.000000001E0
4.050980413E1,5.223157446E1,4.605554263E0,-3.338844661E0,3.879000091E1,2.302730923E2,1.776629464E1,3.000000001E0
4.150979030E1,5.223136832E1,4.605140419E0,-3.338911284E0,3.786000061E1,2.320309047E2,1.406594553E1,3.000000001E0
4.250977206E1,5.223121534E1,4.604756420E0,-3.281477209E0,3.786000061E1,2.337887091E2,1.537294096E1,3.000000001E0
4.350975621E1,5.223081965E1,4.604766064E0,-3.338173366E0,3.877000046E1,2.249996828E2,2.497436358E2,8.000000072E0
4.450974309E1,5.223057129E1,4.604359146E0,-2.592993130E0,3.909999847E1,2.249996801E2,2.265792320E2,8.000000060E0
4.550972962E1,5.223055071E1,4.603691588E0,-2.081150185E0,3.945000076E1,2.302730865E2,9.111284491E1,8.000000010E0
4.650971842E1,5.223037501E1,4.603064071E0,-1.182771970E0,3.949265842E1,2.322144228E2,2.518483795E1,3.000000000E0
4.752241361E1,5.223009619E1,4.602797583E0,-2.460358558E0,3.943999863E1,2.302730821E2,6.729420624E1,8.000000005E0
4.952991712E1,5.222967992E1,4.601694298E0,-1.766392393E0,3.957461368E1,2.315553323E2,3.392236073E1,4.196207694E0
5.053137684E1,5.222945876E1,4.601237955E0,-1.808357965E0,3.957942337E1,2.315631632E2,3.570903587E1,4.741957506E0
5.350966942E1,5.222941462E1,4.599536927E0,-5.112155914E0,3.991999817E1,2.411718750E2,7.878931666E1,1.200000000E1
5.450966573E1,5.222924163E1,4.599025085E0,-5.112031108E0,3.991999817E1,2.411714704E2,7.878931666E1,1.200000000E1
5.550966334E1,5.222919488E1,4.598421180E0,-3.629016453E0,3.903101564E1,2.461211425E2,1.592470626E1,3.000000000E0
5.650966156E1,5.222905078E1,4.597888532E0,-3.936289048E0,3.892926333E1,2.463140561E2,1.498214215E1,3.000000000E0
5.750966036E1,5.222896624E1,4.597357022E0,-2.860049561E0,3.843265284E1,2.483445591E2,1.262764958E1,3.000000000E0
5.850965977E1,5.222885053E1,4.596832702E0,-3.198826523E0,3.841076908E1,2.492705212E2,1.263361617E1,3.000000000E0
5.950965917E1,5.222873941E1,4.596312904E0,-3.371445495E0,3.855985684E1,2.497366970E2,1.298374397E1,3.000000000E0
6.050966012E1,5.222861033E1,4.595777612E0,-3.527677752E0,3.833922868E1,2.502164074E2,1.183573095E1,3.000000000E0
6.150966060E1,5.222849085E1,4.595208054E0,-3.381854539E0,3.823153381E1,2.509416781E2,1.083020221E1,3.000000000E0
6.250966203E1,5.222845487E1,4.594577338E0,-3.100175039E0,3.876353560E1,2.537486244E2,8.955184524E0,3.000000000E0
6.350966418E1,5.222838405E1,4.594031118E0,-3.324526595E0,3.871305857E1,2.547926838E2,9.154026537E0,3.000000000E0
6.450966620E1,5.222831756E1,4.593458411E0,-3.004437108E0,3.891033780E1,2.557979292E2,9.432484348E0,3.000000000E0
6.550966883E1,5.222824771E1,4.592916117E0,-3.334580310E0,3.862824028E1,2.565072306E2,1.001784389E1,3.000000000E0
6.650967169E1,5.222816438E1,4.592371026E0,-3.112292510E0,3.856298918E1,2.565307926E2,1.151629979E1,3.000000000E0
6.750967526E1,5.222809062E1,4.591810121E0,-3.362437267E0,3.868456746E1,2.568592758E2,1.258090503E1,3.000000000E0
6.850967872E1,5.222804894E1,4.591209823E0,-2.856026844E0,3.917604533E1,2.583083513E2,1.313191902E1,3.000000000E0
6.950968206E1,5.222800416E1,4.590584421E0,-2.290398645E0,3.987774223E1,2.592397768E2,1.367961393E1,3.000000000E0
7.050968659E1,5.222795977E1,4.589975959E0,-2.939583819E0,4.024464856E1,2.598756206E2,1.508795359E1,3.000000000E0
7.150969100E1,5.222790603E1,4.589394645E0,-2.526344149E0,4.024379032E1,2.600504210E2,1.716165523E1,3.000000000E0
7.250969601E1,5.222785972E1,4.588813938E0,-2.551481490E0,4.024839241E1,2.603986522E2,1.904371137E1,3.000000000E0
7.350970149E1,5.222792224E1,4.588283484E0,-2.982582502E0,3.959663313E1,2.632575269E2,1.615871825E1,3.000000000E0
7.450970602E1,5.222790231E1,4.587703511E0,-2.851019528E0,3.959974252E1,2.635944812E2,1.573536581E1,3.000000000E0
7.550971162E1,5.222786214E1,4.587099290E0,-2.930612742E0,3.981308880E1,2.636396400E2,1.653692885E1,3.000000000E0
7.650971651E1,5.222782296E1,4.586518111E0,-3.417752868E0,3.980607248E1,2.636731933E2,1.822088745E1,3.000000000E0
7.750972271E1,5.222778191E1,4.585944604E0,-3.255548310E0,3.970416379E1,2.635653835E2,1.994939879E1,3.000000000E0
7.850972819E1,5.222774588E1,4.585367638E0,-3.026294313E0,3.967454122E1,2.636440126E2,2.208587458E1,3.000000000E0
7.950973487E1,5.222771515E1,4.584816643E0,-2.966028465E0,3.949716264E1,2.637385427E2,2.278130045E1,3.000000000E0
8.050974035E1,5.222769145E1,4.584252628E0,-2.958725252E0,3.939844671E1,2.639560215E2,2.366749419E1,3.000000000E0
8.150974751E1,5.222767545E1,4.583703909E0,-2.748315196E0,3.918545898E1,2.642502974E2,2.411591684E1,3.000000000E0
8.250975335E1,5.222763128E1,4.583148908E0,-2.535713562E0,3.901303313E1,2.640826730E2,2.310679192E1,3.000000000E0
8.350975990E1,5.222759775E1,4.582583718E0,-2.113623735E0,3.893349315E1,2.641503770E2,2.406826561E1,3.000000000E0
8.450976717E1,5.222758194E1,4.582040037E0,-1.653984892E0,3.878345950E1,2.644335821E2,2.211453800E1,3.000000000E0
8.550977373E1,5.222757613E1,4.581499388E0,-1.172049243E0,3.864667787E1,2.648232971E2,2.130175664E1,3.000000000E0
8.650978065E1,5.222754865E1,4.580933163E0,-1.152877083E0,3.875864988E1,2.648597930E2,2.181913329E1,3.000000000E0
8.750978756E1,5.222756901E1,4.580373114E0,-3.297066279E-1,3.876658639E1,2.654978362E2,1.741481696E1,3.000000000E0
8.850979447E1,5.222753840E1,4.579825059E0,2.389188604E-1,3.849273079E1,2.650076499E2,1.651076721E1,3.000000000E0
8.950980151E1,5.222750312E1,4.579267963E0,1.646127151E-1,3.835033487E1,2.649224016E2,1.638410804E1,3.000000000E0
9.050980926E1,5.222745509E1,4.578753450E0,1.642485568E-1,3.807230761E1,2.647193574E2,1.545579767E1,3.000000000E0
9.150981641E1,5.222740254E1,4.578224349E0,9.685228532E-1,3.795610440E1,2.643026514E2,1.445683389E1,3.000000000E0
9.250982416E1,5.222735418E1,4.577683926E0,1.197692296E0,3.810063870E1,2.641709161E2,1.156601430E1,3.000000000E0
9.350983119E1,5.222731819E1,4.577102827E0,8.347809706E-1,3.833261784E1,2.642480586E2,1.004127761E1,3.000000000E0
9.450983918E1,5.222728708E1,4.576548502E0,1.175032541E0,3.827965591E1,2.641885879E2,8.811000745E0,3.000000000E0
9.550984693E1,5.222725333E1,4.575992942E0,1.341026989E0,3.834026041E1,2.641655799E2,9.091111444E0,3.000000000E0
9.650985420E1,5.222722070E1,4.575435663E0,1.530081884E0,3.832374329E1,2.643087235E2,9.591249035E0,3.000000000E0
9.750986135E1,5.222718311E1,4.574882995E0,1.248285059E0,3.844655055E1,2.641723864E2,1.025706063E1,3.000000000E0
9.850986946E1,5.222715329E1,4.574325789E0,5.761179440E-1,3.840226779E1,2.644054631E2,1.130578375E1,3.000000000E0
9.950987673E1,5.222712393E1,4.573773263E0,-2.508712998E-1,3.835654137E1,2.644853291E2,1.289774245E1,3.000000000E0
1.005098848E2,5.222709387E1,4.573214176E0,2.829828262E-1,3.833188037E1,2.645832649E2,1.408725902E1,3.000000000E0
1.015098926E2,5.222707747E1,4.572604819E0,1.500795452E0,3.884711082E1,2.650626056E2,1.438635026E1,3.000000000E0
1.025099008E2,5.222704629E1,4.572042308E0,2.908235090E-1,3.879949017E1,2.650514971E2,1.571748015E1,3.000000000E0
1.035099084E2,5.222701569E1,4.571474733E0,-4.999722904E-1,3.881207143E1,2.650546009E2,1.763072018E1,3.000000000E0
1.045099165E2,5.222698586E1,4.570911950E0,-2.015358759E-1,3.877638689E1,2.650322196E2,1.901984380E1,3.000000000E0
