"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.677066667E-2,-2.645191956E1,-2.567553902E1,-2.664181900E1
2.673566667E-2,-2.650369263E1,-2.562743568E1,-2.668680954E1
3.670066668E-2,-2.660064697E1,-2.549067116E1,-2.671433258E1
4.666566668E-2,-2.678261566E1,-2.523054695E1,-2.651659775E1
5.663066666E-2,-2.685186005E1,-2.523266411E1,-2.683675766E1
6.659466668E-2,-2.709201813E1,-2.519791985E1,-2.706251717E1
7.655966666E-2,-2.718287659E1,-2.502906227E1,-2.693991089E1
8.652466667E-2,-2.728421021E1,-2.489482307E1,-2.710162354E1
9.648966667E-2,-2.735668182E1,-2.478111076E1,-2.717922783E1
1.064546667E-1,-2.722721100E1,-2.466596031E1,-2.758163834E1
1.164196667E-1,-2.698839569E1,-2.459834480E1,-2.794201851E1
1.263846667E-1,-2.675395966E1,-2.429122353E1,-2.853779221E1
1.363496667E-1,-2.656415558E1,-2.408051872E1,-2.900789452E1
1.463136667E-1,-2.623516083E1,-2.395729256E1,-2.979125786E1
1.562786667E-1,-2.596567535E1,-2.420547104E1,-3.037617111E1
1.662436667E-1,-2.553548431E1,-2.403961182E1,-3.129926872E1
1.762086667E-1,-2.509430695E1,-2.376844406E1,-3.222267914E1
1.861736667E-1,-2.476976013E1,-2.343229294E1,-3.282844925E1
1.961386667E-1,-2.439774323E1,-2.327178574E1,-3.347994232E1
2.061036667E-1,-2.412747955E1,-2.296025467E1,-3.406459045E1
2.160686667E-1,-2.412747955E1,-2.296025467E1,-3.406459045E1
2.260326667E-1,-2.403108215E1,-2.260753250E1,-3.485170746E1
2.359976667E-1,-2.402967834E1,-2.227086830E1,-3.495632935E1
2.459626667E-1,-2.418005371E1,-2.198554802E1,-3.528242493E1
2.559276667E-1,-2.444761658E1,-2.179960442E1,-3.554596710E1
2.658926667E-1,-2.474340820E1,-2.151035118E1,-3.560824203E1
2.758576667E-1,-2.459166718E1,-2.163282585E1,-3.541394424E1
2.858226667E-1,-2.458055878E1,-2.167654610E1,-3.564204788E1
2.957876667E-1,-2.435634613E1,-2.170041847E1,-3.575742340E1
3.057516667E-1,-2.384198761E1,-2.192093849E1,-3.607749176E1
3.157166667E-1,-2.313666534E1,-2.185743523E1,-3.653664017E1
3.256816667E-1,-2.268309784E1,-2.178986931E1,-3.674318314E1
3.356466667E-1,-2.204319763E1,-2.176083946E1,-3.702726746E1
3.456116667E-1,-2.163973999E1,-2.169864082E1,-3.739263153E1
3.555766667E-1,-2.118768311E1,-2.146365547E1,-3.775925827E1
3.655425417E-1,-2.078709412E1,-2.124596024E1,-3.787375259E1
3.755065417E-1,-2.047016907E1,-2.099124146E1,-3.828260803E1
3.854715417E-1,-2.006420898E1,-2.056061554E1,-3.829936218E1
3.954365417E-1,-1.960285950E1,-2.000070572E1,-3.882049179E1
4.054015417E-1,-1.900082397E1,-1.892698097E1,-3.915297318E1
4.153665417E-1,-1.822302246E1,-1.809116936E1,-3.968247604E1
4.253315417E-1,-1.729211426E1,-1.737672234E1,-4.020653152E1
4.352965417E-1,-1.625434875E1,-1.674373817E1,-4.060294342E1
4.452615417E-1,-1.548559570E1,-1.607162476E1,-4.071914673E1
4.552255417E-1,-1.548559570E1,-1.607162476E1,-4.071914673E1
4.651905417E-1,-1.476361084E1,-1.547629738E1,-4.117853928E1
4.751555417E-1,-1.386978149E1,-1.517426491E1,-4.138858795E1
4.851205417E-1,-1.315202332E1,-1.513242912E1,-4.144827652E1
4.950855417E-1,-1.244761658E1,-1.521796227E1,-4.136480713E1
5.050505417E-1,-1.185139465E1,-1.555512428E1,-4.129792023E1
5.150155417E-1,-1.155615234E1,-1.572962379E1,-4.125184250E1
5.249805417E-1,-1.127700806E1,-1.613932991E1,-4.092784882E1
5.349445417E-1,-1.130145264E1,-1.634865379E1,-4.042514801E1
5.449095417E-1,-1.144464111E1,-1.667747307E1,-4.026619339E1
5.548745417E-1,-1.187562561E1,-1.703503990E1,-3.988230515E1
5.648395417E-1,-1.251315308E1,-1.759415245E1,-3.937269211E1
5.748045417E-1,-1.293014526E1,-1.826873016E1,-3.874468231E1
5.847695417E-1,-1.314260864E1,-1.909033966E1,-3.806794739E1
5.947345417E-1,-1.325703430E1,-1.980301285E1,-3.731998062E1
6.046995417E-1,-1.281629944E1,-2.048897171E1,-3.695762634E1
6.146635417E-1,-1.206669617E1,-2.077432251E1,-3.678259277E1
6.246285417E-1,-1.119810486E1,-2.099431610E1,-3.693297577E1
6.345935417E-1,-1.058564758E1,-2.094091988E1,-3.696465302E1
6.445585417E-1,-1.029664612E1,-2.069998360E1,-3.698920059E1
6.545235417E-1,-9.994613647E0,-2.045852089E1,-3.704450226E1
6.644885417E-1,-1.022865295E1,-2.013916969E1,-3.725323486E1
6.744535417E-1,-1.025048828E1,-1.973600578E1,-3.735925293E1
6.844185417E-1,-1.069531250E1,-1.921149635E1,-3.740988541E1
6.943835417E-1,-1.079670715E1,-1.914954567E1,-3.751634979E1
7.043475417E-1,-1.118162537E1,-1.860998344E1,-3.758859253E1
7.143125417E-1,-1.169886780E1,-1.837619972E1,-3.749343109E1
7.242775417E-1,-1.166180420E1,-1.852178001E1,-3.735574722E1
7.342425417E-1,-1.129591370E1,-1.896497917E1,-3.731811142E1
7.442075417E-1,-1.085075378E1,-1.931257057E1,-3.733263779E1
7.541725417E-1,-1.061587524E1,-1.936306763E1,-3.727194214E1
7.641375417E-1,-1.032423401E1,-1.933268738E1,-3.708675766E1
7.741025417E-1,-1.032247925E1,-1.935011673E1,-3.695353699E1
7.840665417E-1,-1.005566406E1,-1.912290573E1,-3.683885956E1
7.940315417E-1,-9.885147095E0,-1.932667542E1,-3.672817230E1
8.039965417E-1,-9.579162598E0,-1.947026062E1,-3.654550171E1
8.139615417E-1,-9.046035767E0,-1.987356949E1,-3.629659271E1
8.239265417E-1,-8.466979980E0,-2.045047569E1,-3.609717560E1
8.338915417E-1,-7.887420654E0,-2.070631599E1,-3.562201309E1
8.438565417E-1,-7.465911865E0,-2.084088707E1,-3.569817352E1
8.538215417E-1,-6.858627319E0,-2.100397301E1,-3.572463989E1
8.637855417E-1,-6.501342773E0,-2.103375053E1,-3.544104004E1
8.737505417E-1,-5.939056396E0,-2.093372154E1,-3.564005280E1
8.837155417E-1,-5.720108032E0,-2.080970764E1,-3.571760559E1
8.936805417E-1,-4.906845093E0,-2.123768997E1,-3.573773575E1
9.036455417E-1,-4.643646240E0,-2.130009079E1,-3.563368225E1
9.136105417E-1,-4.085571289E0,-2.146186447E1,-3.571270370E1
9.235755417E-1,-4.195281982E0,-2.137662888E1,-3.569593048E1
9.335405417E-1,-3.860610962E0,-2.133912277E1,-3.559679413E1
9.435045417E-1,-3.453140259E0,-2.141493607E1,-3.591008759E1
9.534695417E-1,-3.147964478E0,-2.133632278E1,-3.597258377E1
9.634345417E-1,-2.774841309E0,-2.152124405E1,-3.609273148E1
9.733995417E-1,-2.686447144E0,-2.147322083E1,-3.598577118E1
9.833645417E-1,-2.486328125E0,-2.140182304E1,-3.596912384E1
9.933295417E-1,-2.520706177E0,-2.166573524E1,-3.595136642E1
1.003294542E0,-2.328689575E0,-2.196247292E1,-3.602209091E1
1.013259542E0,-2.274124146E0,-2.225539970E1,-3.587165833E1
1.023223542E0,-2.440292358E0,-2.249035072E1,-3.587018204E1
1.033188542E0,-2.969894409E0,-2.266938972E1,-3.581895447E1
1.043153542E0,-3.380676270E0,-2.283962822E1,-3.586568451E1
1.053118542E0,-3.690750122E0,-2.317070580E1,-3.583960724E1
1.063083542E0,-4.022415161E0,-2.344827843E1,-3.570195007E1
1.073048542E0,-3.930923462E0,-2.381455421E1,-3.568336487E1
1.083013542E0,-3.901977539E0,-2.432332039E1,-3.529473877E1
1.092978542E0,-3.690750122E0,-2.493173409E1,-3.495594406E1
1.102943542E0,-3.489364624E0,-2.545686913E1,-3.452500916E1
1.112907542E0,-3.212539673E0,-2.620887947E1,-3.460018158E1
1.122872542E0,-2.937820435E0,-2.686614418E1,-3.432984924E1
1.132837542E0,-2.651123047E0,-2.741646767E1,-3.391619873E1
1.142802542E0,-2.630477905E0,-2.776636314E1,-3.384484863E1
1.152767542E0,-2.265930176E0,-2.818952560E1,-3.326157379E1
1.162732542E0,-2.265930176E0,-2.818952560E1,-3.326157379E1
1.172697542E0,-2.082458496E0,-2.845664978E1,-3.300644684E1
1.182662542E0,-1.829605103E0,-2.856036758E1,-3.306064606E1
1.192626542E0,-1.284927368E0,-2.853083611E1,-3.333106232E1
1.202591542E0,-8.610534668E-1,-2.833568764E1,-3.359917450E1
1.212556542E0,-5.343322754E-1,-2.825435448E1,-3.379969025E1
1.222521542E0,-1.741943359E-1,-2.816807747E1,-3.422983551E1
1.232486542E0,-1.047973633E-1,-2.798135567E1,-3.486579132E1
1.242451542E0,4.364013672E-3,-2.802470970E1,-3.508421326E1
1.252416542E0,1.817169189E-1,-2.821687889E1,-3.500431824E1
1.262381542E0,8.842468262E-2,-2.847592545E1,-3.496505737E1
