"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.642874995E-3,-2.719245300E0,5.597759399E0,7.143445129E0
1.160687499E-2,-2.689157867E0,5.788313141E0,7.138206024E0
2.157087500E-2,-2.752326508E0,5.823939056E0,7.301366730E0
3.153387499E-2,-2.770588531E0,5.793252869E0,7.470065918E0
4.149787499E-2,-2.829565887E0,5.790109406E0,7.530689850E0
5.146187500E-2,-2.775827637E0,5.803132324E0,7.476801910E0
6.142587500E-2,-2.736309814E0,5.810916138E0,7.356003113E0
7.138987500E-2,-2.742746429E0,5.869594116E0,7.275171204E0
8.135287500E-2,-2.707569580E0,5.911506958E0,7.271578674E0
9.131687500E-2,-2.711012421E0,5.921985168E0,7.292984161E0
1.012808750E-1,-2.643203430E0,5.925128632E0,7.265890503E0
1.112448750E-1,-2.606529694E0,5.966442719E0,7.259154510E0
1.212088750E-1,-2.699037323E0,6.023025055E0,7.332352295E0
1.311728750E-1,-2.694097595E0,6.063890076E0,7.390880585E0
1.411358750E-1,-2.682122498E0,6.060147858E0,7.357799377E0
1.510998750E-1,-2.617606659E0,6.050418091E0,7.371870117E0
1.610638750E-1,-2.593057709E0,5.986201630E0,7.350015564E0
1.710278750E-1,-2.572250977E0,5.910758514E0,7.396419067E0
1.809918750E-1,-2.550546112E0,5.903274078E0,7.566615143E0
1.909548750E-1,-2.574645996E0,5.860163727E0,7.670798492E0
2.009188750E-1,-2.562221832E0,5.811664581E0,7.700287170E0
2.108828750E-1,-2.551444244E0,5.759872284E0,7.810009003E0
2.208468750E-1,-2.594853973E0,5.711971893E0,7.965086517E0
2.308108750E-1,-2.609822845E0,5.645959167E0,8.037685547E0
2.407748750E-1,-2.627785492E0,5.613027649E0,8.072563019E0
2.507378750E-1,-2.674188995E0,5.580694885E0,8.089777222E0
2.607018750E-1,-2.710413666E0,5.562732239E0,7.997568970E0
2.706658750E-1,-2.699935455E0,5.564528503E0,7.910150757E0
2.806266250E-1,-2.631378021E0,5.546715546E0,7.815098419E0
2.905906250E-1,-2.611469421E0,5.508694611E0,7.751331024E0
3.005546250E-1,-2.504891052E0,5.481151886E0,7.716154175E0
3.105176250E-1,-2.425705719E0,5.476511536E0,7.677833862E0
3.204816250E-1,-2.410736847E0,5.471721497E0,7.676037598E0
3.304456250E-1,-2.374811554E0,5.486390991E0,7.632927246E0
3.404096250E-1,-2.390977936E0,5.493725739E0,7.575596466E0
3.503736250E-1,-2.403102722E0,5.499413910E0,7.557484131E0
3.603366250E-1,-2.439776459E0,5.502407684E0,7.588020630E0
3.703006250E-1,-2.466870117E0,5.464087372E0,7.647596741E0
3.802646250E-1,-2.431543579E0,5.403463440E0,7.760911102E0
3.902286250E-1,-2.353855133E0,5.325625305E0,7.825576630E0
4.001926250E-1,-2.357148285E0,5.298381958E0,7.876171417E0
4.101566250E-1,-2.337688751E0,5.306016083E0,7.831564178E0
4.201196250E-1,-2.382445679E0,5.298681335E0,7.722141724E0
4.300836250E-1,-2.416425018E0,5.349725189E0,7.712561646E0
4.400476250E-1,-2.365081787E0,5.357359314E0,7.651937714E0
4.500116250E-1,-2.272723846E0,5.328619080E0,7.557334442E0
4.599756250E-1,-2.172731781E0,5.330115967E0,7.575746155E0
4.699386250E-1,-2.110161896E0,5.309309235E0,7.626191254E0
4.799026250E-1,-2.020648041E0,5.223088531E0,7.523205414E0
4.898666250E-1,-2.012864227E0,5.198240204E0,7.600444794E0
4.998306250E-1,-2.039808197E0,5.158423004E0,7.755821686E0
5.097946250E-1,-2.079625397E0,5.102439423E0,7.895181885E0
5.197586250E-1,-2.098935242E0,5.047653351E0,8.040529633E0
5.297216250E-1,-2.101629639E0,5.041366425E0,8.109985199E0
5.396856250E-1,-2.151775360E0,5.023104401E0,8.130492554E0
5.496496250E-1,-2.184557190E0,5.032534790E0,8.105494537E0
5.596136250E-1,-2.202669525E0,5.061873779E0,8.086484070E0
5.695776250E-1,-2.209854584E0,5.086123352E0,7.977510681E0
5.795416250E-1,-2.282603302E0,5.160368958E0,7.834557953E0
5.895046250E-1,-2.346819763E0,5.215604095E0,7.819738770E0
5.994686250E-1,-2.400857391E0,5.195545807E0,7.958051147E0
6.094326250E-1,-2.410437469E0,5.182672577E0,8.115972748E0
6.193966250E-1,-2.355501709E0,5.130131836E0,8.324638824E0
6.293606250E-1,-2.347268829E0,5.078189850E0,8.474776611E0
6.393246250E-1,-2.329455872E0,5.090314636E0,8.376730499E0
6.492876250E-1,-2.399210815E0,5.131029968E0,8.199349365E0
6.592516250E-1,-2.375859375E0,5.176984406E0,7.962541809E0
6.692156250E-1,-2.335293732E0,5.187013550E0,7.695048065E0
6.791796250E-1,-2.329755249E0,5.149591370E0,7.649842072E0
6.891436250E-1,-2.335443420E0,5.182522888E0,7.673193512E0
6.991066250E-1,-2.289189606E0,5.190905457E0,7.663463745E0
7.090706250E-1,-2.394420776E0,5.137167206E0,7.688162384E0
7.190346250E-1,-2.495011597E0,5.169350281E0,7.851772156E0
7.289986250E-1,-3.109633484E0,5.303471375E0,8.135432281E0
7.389626250E-1,-2.732866974E0,5.380710754E0,8.175249481E0
7.489266250E-1,-2.106719055E0,5.059778137E0,7.736062775E0
7.588896250E-1,-2.266736298E0,4.847070465E0,7.413483582E0
7.688536250E-1,-2.309996338E0,4.882247314E0,7.469167786E0
7.788176250E-1,-2.093097382E0,5.010979614E0,7.575297089E0
7.887816250E-1,-2.021546173E0,4.975054321E0,7.643405457E0
7.987456250E-1,-2.212399292E0,4.827461243E0,7.729177094E0
8.087096250E-1,-2.310295715E0,4.810696106E0,7.948321381E0
8.186726250E-1,-2.366578674E0,4.848717041E0,8.166717224E0
8.286366250E-1,-2.448308716E0,4.881349182E0,8.309071198E0
8.386006250E-1,-2.555336151E0,4.841232605E0,8.383765869E0
8.485646250E-1,-2.460134125E0,4.865182800E0,8.322692871E0
8.585286250E-1,-2.319726105E0,4.874313812E0,8.219257965E0
8.684926250E-1,-2.233206024E0,4.897066498E0,8.048612823E0
8.784556250E-1,-2.241438904E0,4.877606964E0,7.869884491E0
8.884196250E-1,-2.184856567E0,4.950056305E0,7.798932037E0
8.983836250E-1,-2.167642365E0,5.051545258E0,7.791447601E0
9.083476250E-1,-2.196232910E0,5.113366699E0,7.733817444E0
9.183116250E-1,-2.195334778E0,5.106930084E0,7.706274719E0
9.282746250E-1,-2.097138977E0,5.142705688E0,7.821085968E0
9.382386250E-1,-1.995799713E0,5.180726624E0,7.933502197E0
9.482026250E-1,-2.024689636E0,5.118456116E0,7.985743561E0
9.581666250E-1,-1.967059479E0,5.029241638E0,8.080496521E0
9.681306250E-1,-1.834135895E0,4.962779846E0,8.239615631E0
9.780946250E-1,-1.738035736E0,4.981041870E0,8.499325562E0
9.880586250E-1,-1.689087524E0,4.991669769E0,8.646768951E0
9.980216250E-1,-1.677262115E0,5.001249847E0,8.667425995E0
1.007985625E0,-1.757495270E0,4.980592804E0,8.614436188E0
1.017949625E0,-1.805096283E0,4.987478485E0,8.560997314E0
1.027913625E0,-2.056573334E0,5.033133545E0,8.656349030E0
1.037877625E0,-2.004481659E0,5.108576660E0,8.506360931E0
1.047840625E0,-1.790875854E0,5.068011017E0,8.243058472E0
1.057804625E0,-1.663640442E0,5.026247864E0,8.104895782E0
1.067768625E0,-1.582509155E0,5.119953003E0,8.155789948E0
1.077732625E0,-1.508562927E0,5.163961487E0,8.273744659E0
1.087696625E0,-1.288071442E0,5.149291992E0,8.146509247E0
1.097660625E0,-1.191522217E0,5.105582886E0,7.870782623E0
1.107623625E0,-1.134939880E0,5.139412537E0,7.644602966E0
1.117587625E0,-1.313219147E0,5.093009033E0,7.636968842E0
1.127551625E0,-1.709295502E0,5.062322845E0,8.268056488E0
1.137515625E0,-1.777553558E0,5.133874054E0,8.939260712E0
1.147479625E0,-1.606309662E0,5.109025726E0,9.346114655E0
1.157443625E0,-1.526226196E0,5.037773895E0,9.564660187E0
1.167406625E0,-1.473086700E0,4.947960663E0,9.468859406E0
1.177370625E0,-1.365310822E0,4.890480194E0,9.390123138E0
1.187334625E0,-1.233734436E0,4.918022919E0,9.387428741E0
1.197298625E0,-1.006506958E0,5.042863312E0,9.223669281E0
1.207262625E0,-9.624984741E-1,5.129233704E0,8.929530945E0
1.217226625E0,-9.759704590E-1,5.184917908E0,8.563991089E0
1.227189625E0,-1.169817352E0,5.231321411E0,8.454269257E0
1.237153625E0,-1.299148407E0,5.351222076E0,8.260871429E0
1.247117625E0,-1.368304596E0,5.368286591E0,7.797584839E0
1.257081625E0,-1.480122070E0,5.405259705E0,7.488777008E0
1.267045625E0,-1.629361725E0,5.558391266E0,7.590864716E0
1.277009542E0,-1.617835693E0,5.731132050E0,7.880961456E0
1.286972542E0,-1.568139038E0,5.753435669E0,8.016429749E0
1.296936542E0,-1.521585846E0,5.697751465E0,7.961943054E0
1.306900542E0,-1.377884674E0,5.641468506E0,7.857011261E0
1.316864542E0,-1.421893158E0,5.567073212E0,7.831713867E0
1.326828542E0,-1.628014526E0,5.511538696E0,8.003107452E0
1.336792542E0,-1.801503754E0,5.485492859E0,8.321495361E0
1.346755542E0,-1.993704071E0,5.517975311E0,8.443192291E0
1.356719542E0,-2.093546448E0,5.487289124E0,8.442294159E0
1.366683542E0,-1.945354614E0,5.537584534E0,8.255632324E0
1.376647542E0,-1.760938110E0,5.511688385E0,8.026309204E0
1.386611542E0,-1.704804840E0,5.450316010E0,7.852670288E0
1.396575542E0,-1.557211761E0,5.456752625E0,7.720794525E0
1.406538542E0,-1.551224213E0,5.389991455E0,7.604935455E0
1.416502542E0,-1.684896240E0,5.337001648E0,7.679779816E0
1.426466542E0,-1.619631958E0,5.510790253E0,7.844287720E0
1.436430542E0,-1.565145264E0,5.557193756E0,7.806117096E0
1.446394542E0,-1.559606781E0,5.408403168E0,7.696544952E0
1.456358542E0,-1.559756470E0,5.262606354E0,7.764653320E0
1.466321542E0,-1.862127686E0,5.254972229E0,8.392747192E0
1.476285542E0,-2.028731232E0,5.316045227E0,8.827742615E0
1.486249542E0,-1.839674377E0,5.330115967E0,8.911717987E0
1.496213542E0,-1.816023560E0,5.226381683E0,8.728199615E0
1.506177542E0,-1.641785889E0,5.238955536E0,8.398585052E0
1.516141542E0,-1.277443542E0,5.406756592E0,8.080346832E0
1.526105542E0,-1.213376770E0,5.445376282E0,7.721692657E0
1.536068542E0,-1.238674164E0,5.515131226E0,7.552694092E0
1.546032542E0,-1.277144165E0,5.576204224E0,7.567662964E0
1.555996542E0,-1.302142181E0,5.572761383E0,7.626939697E0
1.565960542E0,-1.413061523E0,5.559289398E0,7.734416199E0
1.575924542E0,-1.622176666E0,5.593418427E0,7.760162659E0
1.585888542E0,-1.757944336E0,5.615272980E0,7.403604126E0
1.595851542E0,-1.965861969E0,5.607638855E0,7.512128448E0
1.605815542E0,-1.963616638E0,5.750142517E0,8.040529633E0
1.615779542E0,-2.102527771E0,5.688171387E0,8.448281708E0
1.625743542E0,-1.946851501E0,5.639073486E0,8.534652100E0
1.635707542E0,-1.699266357E0,5.592819672E0,8.510851593E0
1.645671542E0,-1.625320129E0,5.527854767E0,8.510701904E0
1.655634542E0,-1.631307678E0,5.569168854E0,8.444539490E0
1.665598542E0,-1.636247406E0,5.588778076E0,8.282875671E0
1.675562542E0,-1.590891724E0,5.562881927E0,7.887398071E0
1.685526542E0,-1.534908142E0,5.488935699E0,7.574698334E0
1.695490542E0,-1.512604523E0,5.532345428E0,7.525899811E0
1.705454542E0,-1.615590363E0,5.614823914E0,7.646548920E0
1.715417542E0,-1.599573669E0,5.649102631E0,7.474855957E0
1.725381542E0,-1.482816467E0,5.650300140E0,7.007078705E0
1.735345542E0,-1.470092926E0,5.663023682E0,6.838828583E0
1.745309542E0,-1.529369659E0,5.690865784E0,7.084916840E0
1.755273542E0,-1.660796356E0,5.557493134E0,7.380102997E0
1.765237542E0,-1.641037445E0,5.475763092E0,7.588020630E0
1.775200542E0,-1.652413788E0,5.403912506E0,7.682025146E0
1.785164542E0,-1.645079041E0,5.337450714E0,7.727081451E0
1.795128542E0,-1.526675262E0,5.354964294E0,7.910001068E0
1.805092542E0,-1.647773438E0,5.367388458E0,8.001909943E0
1.815056542E0,-1.755699005E0,5.354066162E0,7.971672821E0
1.825020542E0,-1.758842468E0,5.356610870E0,7.974516907E0
1.834983542E0,-1.732646942E0,5.390290833E0,7.973020020E0
1.844947542E0,-1.738185425E0,5.416636047E0,7.998467102E0
1.854911542E0,-1.779499512E0,5.392536163E0,7.977360992E0
1.864875542E0,-1.765578461E0,5.413193207E0,7.989186401E0
1.874839542E0,-1.708696747E0,5.534890137E0,7.967780914E0
1.884803542E0,-1.682501221E0,5.567222900E0,7.710016937E0
1.894767542E0,-1.745520172E0,5.544170837E0,7.570057983E0
1.904730542E0,-1.717528381E0,5.608986053E0,7.685318298E0
1.914694542E0,-1.739682312E0,5.601351929E0,7.848179626E0
1.924658542E0,-1.865121460E0,5.482199707E0,8.028105469E0
1.934622542E0,-1.968256989E0,5.412145386E0,8.262817383E0
1.944586542E0,-1.836530914E0,5.432652740E0,8.357121277E0
1.954550542E0,-1.684147797E0,5.358556824E0,8.208480377E0
1.964513542E0,-1.593137054E0,5.303171997E0,8.047864380E0
1.974477542E0,-1.537303162E0,5.301076355E0,7.903115387E0
1.984441542E0,-1.589993591E0,5.311554565E0,7.952812042E0
1.994405542E0,-1.516646118E0,5.285209351E0,8.002508698E0
2.004369542E0,-1.513652344E0,5.251828766E0,8.093669128E0
2.014333542E0,-1.543889465E0,5.307363281E0,8.160579987E0
2.024296542E0,-1.560205536E0,5.365442505E0,8.076005859E0
2.034260542E0,-1.603615265E0,5.367538147E0,7.873177643E0
2.044224542E0,-1.588347015E0,5.326972504E0,7.780071259E0
2.054188542E0,-1.553170166E0,5.294040985E0,7.885152740E0
2.064152542E0,-1.511706390E0,5.272336121E0,8.078849945E0
2.074116542E0,-1.478924561E0,5.264701996E0,8.111781464E0
2.084080542E0,-1.449136505E0,5.216951294E0,7.944579163E0
2.094043542E0,-1.435814209E0,5.129533081E0,7.811206512E0
2.104007542E0,-1.462458801E0,5.160368958E0,8.010591888E0
2.113971542E0,-1.495540009E0,5.169799347E0,8.314609680E0
2.123935542E0,-1.487905884E0,5.064568176E0,8.365653534E0
2.133899542E0,-1.432071991E0,4.975054321E0,8.312514038E0
2.143863542E0,-1.388961639E0,5.015619965E0,8.259075165E0
2.153826542E0,-1.499731293E0,5.062472534E0,8.193960571E0
2.163790542E0,-1.606309662E0,5.105732574E0,8.115673370E0
2.173754542E0,-1.526525574E0,5.115761719E0,8.115673370E0
2.183718542E0,-1.492097168E0,5.115612030E0,8.065827026E0
2.193682542E0,-1.375789032E0,5.087919617E0,7.897127838E0
2.203646542E0,-1.410666504E0,5.066065063E0,7.907905426E0
2.213609542E0,-1.597328339E0,5.115911407E0,8.189619598E0
2.223573542E0,-1.604663086E0,5.136718140E0,8.425079956E0
2.233537542E0,-1.572929077E0,5.050497437E0,8.481961670E0
2.243501542E0,-1.634750519E0,5.029541016E0,8.451724548E0
2.253465542E0,-1.612596588E0,5.128036194E0,8.427325287E0
2.263429542E0,-1.534459076E0,5.213957520E0,8.383167114E0
2.273393542E0,-1.562750244E0,5.258564758E0,8.264463959E0
2.283356875E0,-1.651365967E0,5.275928650E0,8.202343140E0
2.293320875E0,-1.789977722E0,5.345384216E0,8.147407379E0
2.303284875E0,-1.862876129E0,5.357359314E0,8.030051422E0
2.313248875E0,-1.834435272E0,5.335504761E0,7.960895233E0
2.323212875E0,-1.793270874E0,5.307063904E0,7.925868073E0
2.333176875E0,-1.891466675E0,5.237907715E0,7.971672821E0
2.343139875E0,-2.005529480E0,5.152435455E0,8.146060181E0
2.353103875E0,-2.002086639E0,5.131928101E0,8.227490845E0
2.363067875E0,-2.002535706E0,5.164859619E0,8.408913574E0
2.373031875E0,-1.969903564E0,5.166506195E0,8.498277740E0
2.382995875E0,-1.700763245E0,4.960983582E0,8.271349640E0
2.392959875E0,-1.428180084E0,4.893324280E0,7.914940796E0
2.402923875E0,-1.413360901E0,4.924160156E0,7.922125854E0
2.412886875E0,-1.463506622E0,4.989574127E0,8.155340881E0
2.422850875E0,-1.534309387E0,4.982538757E0,8.155041504E0
2.432814875E0,-1.636995850E0,4.894521790E0,8.128995667E0
2.442778875E0,-1.721120911E0,4.863236847E0,8.207731934E0
2.452742875E0,-1.829645233E0,4.953948212E0,8.317304077E0
2.462706875E0,-1.873354340E0,5.035229187E0,8.251590729E0
2.472669875E0,-1.823657684E0,5.005590820E0,8.158634033E0
2.482633875E0,-1.715582428E0,4.945266266E0,8.114775238E0
2.492597875E0,-1.700463867E0,4.970713348E0,8.109536133E0
2.502561875E0,-1.826202393E0,4.994962921E0,8.267308044E0
2.512525875E0,-1.949096832E0,5.055437164E0,8.453371124E0
2.522489875E0,-1.910776520E0,5.008584595E0,8.490194550E0
2.532452875E0,-1.833986206E0,4.953648834E0,8.438402252E0
2.542416875E0,-1.793570251E0,4.990621948E0,8.340655518E0
2.552380875E0,-1.738185425E0,4.991669769E0,8.297844543E0
2.562344875E0,-1.781146088E0,4.991520081E0,8.253087616E0
2.572308875E0,-1.832189941E0,5.000800781E0,8.265511780E0
2.582272875E0,-1.872306519E0,5.033133545E0,8.312963104E0
2.592236875E0,-1.808389435E0,5.087919617E0,8.170908508E0
2.602199875E0,-1.721120911E0,5.087021484E0,7.987988892E0
2.612163875E0,-1.654210052E0,5.076543274E0,7.933352509E0
