"Time (s)","X (hPa)"
-5.410998750E-1,1.021737747E3
4.605101250E-1,1.021735077E3
1.462098125E0,1.021732483E3
2.463668125E0,1.021731873E3
3.465263125E0,1.021730270E3
3.821551125E0,1.021728668E3
4.889876125E0,1.021728668E3
5.958258125E0,1.021729355E3
7.026624125E0,1.021732407E3
8.095031125E0,1.021732407E3
9.163448125E0,1.021733551E3
1.023184712E1,1.021733551E3
1.130025312E1,1.021739120E3
1.236867612E1,1.021743927E3
1.343707112E1,1.021749802E3
1.450547912E1,1.021760788E3
1.557390912E1,1.021760788E3
1.664239712E1,1.021759338E3
1.771089312E1,1.021756973E3
1.877939812E1,1.021753998E3
1.984788012E1,1.021752090E3
2.091636212E1,1.021751480E3
2.198483212E1,1.021751022E3
2.305330112E1,1.021749573E3
2.412180112E1,1.021749573E3
2.519027512E1,1.021754913E3
2.625874812E1,1.021760101E3
2.732718512E1,1.021765594E3
2.839566012E1,1.021769867E3
2.946418812E1,1.021772995E3
3.053266512E1,1.021773453E3
3.160112912E1,1.021772995E3
3.266964612E1,1.021771469E3
3.373810312E1,1.021770935E3
3.480656012E1,1.021770935E3
3.587504812E1,1.021770935E3
3.694357612E1,1.021768951E3
3.801210812E1,1.021768570E3
3.908058612E1,1.021759720E3
4.014911412E1,1.021753387E3
4.121764512E1,1.021749802E3
4.228616812E1,1.021744308E3
4.335466012E1,1.021744308E3
4.442320612E1,1.021745377E3
4.549173612E1,1.021747513E3
4.656023912E1,1.021752777E3
4.762873612E1,1.021758728E3
4.869730812E1,1.021762238E3
4.976587112E1,1.021764832E3
5.083437612E1,1.021769257E3
5.190287912E1,1.021771927E3
5.297135712E1,1.021775131E3
5.403984512E1,1.021775665E3
5.510831512E1,1.021776352E3
5.617681812E1,1.021783524E3
5.724529012E1,1.021790848E3
5.831375912E1,1.021798096E3
5.938225512E1,1.021806870E3
6.045070712E1,1.021818390E3
6.151918512E1,1.021825027E3
6.258766812E1,1.021831741E3
6.365617812E1,1.021837463E3
6.472471612E1,1.021842270E3
6.579327412E1,1.021845245E3
6.686177212E1,1.021845245E3
6.793026212E1,1.021844025E3
6.899877512E1,1.021839981E3
7.006729112E1,1.021836624E3
7.113582512E1,1.021832352E3
7.220441112E1,1.021831131E3
7.327298312E1,1.021830444E3
7.434158712E1,1.021829758E3
7.541017612E1,1.021829605E3
7.647875712E1,1.021828995E3
7.754733012E1,1.021828995E3
7.861590012E1,1.021825638E3
7.968444212E1,1.021825409E3
8.075301512E1,1.021822815E3
8.182157912E1,1.021819458E3
8.289014312E1,1.021814651E3
8.395871712E1,1.021810303E3
8.502728112E1,1.021807251E3
8.609584212E1,1.021806717E3
8.716435812E1,1.021807251E3
8.823286112E1,1.021807556E3
8.930138512E1,1.021810455E3
9.036988212E1,1.021810455E3
9.143844012E1,1.021809769E3
9.250704012E1,1.021807327E3
9.357560212E1,1.021805649E3
9.464415612E1,1.021803513E3
9.571268612E1,1.021801605E3
9.678122312E1,1.021796799E3
9.784976812E1,1.021794815E3
9.891835012E1,1.021793442E3
9.998686612E1,1.021790848E3
1.010554121E2,1.021790848E3
1.021239401E2,1.021790085E3
1.031924731E2,1.021788788E3
1.042609801E2,1.021785583E3
1.053294881E2,1.021785583E3
1.063980271E2,1.021785583E3
1.074665481E2,1.021785202E3
1.085350651E2,1.021784592E3
1.096035691E2,1.021781769E3
1.106720661E2,1.021778259E3
1.117405591E2,1.021774673E3
1.128090441E2,1.021772919E3
1.138775551E2,1.021770859E3
1.149460651E2,1.021770630E3
1.160145961E2,1.021770630E3
1.170831511E2,1.021772919E3
1.181516541E2,1.021777649E3
1.192201621E2,1.021783142E3
