"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.651587499E-2,-6.548328698E-2,-3.153892979E-2,-7.784134708E-3
4.647987500E-2,-5.603572354E-2,-4.670323431E-2,-1.252083294E-2
5.644387500E-2,-5.938344076E-2,-5.945733562E-2,-1.873844489E-2
6.640787500E-2,-7.790786028E-2,-7.955834270E-2,-2.494227886E-2
7.637187499E-2,-9.005258977E-2,-1.012385488E-1,-3.339439631E-2
8.633487500E-2,-9.305690229E-2,-1.040865332E-1,-3.942698985E-2
9.629887500E-2,-9.069090337E-2,-9.361641109E-2,-4.069814458E-2
1.062628750E-1,-9.026985615E-2,-7.515804470E-2,-3.505596891E-2
1.162268750E-1,-8.553325385E-2,-4.379627854E-2,-7.985828444E-3
1.261908750E-1,-8.412444592E-2,-2.682342008E-2,2.151986584E-2
1.361538750E-1,-9.156561643E-2,-2.564264648E-2,4.548448324E-2
1.461178750E-1,-1.193679497E-1,-3.760343418E-2,4.831462353E-2
1.560818750E-1,-1.665413678E-1,-8.006859571E-2,3.630551696E-2
1.660458750E-1,-2.100672722E-1,-1.379215121E-1,2.279450186E-2
1.760098750E-1,-2.345624864E-1,-1.815442592E-1,7.296907250E-3
1.859738750E-1,-2.419176102E-1,-2.032034844E-1,3.913306282E-4
1.959368750E-1,-2.479161918E-1,-2.012305111E-1,4.591132165E-4
2.059008750E-1,-2.361801714E-1,-1.876353472E-1,1.187342219E-2
2.158648750E-1,-1.993744820E-1,-1.600800455E-1,2.572519332E-2
2.258288750E-1,-1.573223621E-1,-1.342575103E-1,3.470537439E-2
2.357928750E-1,-1.095967442E-1,-9.665240347E-2,4.100539163E-2
2.457558750E-1,-7.046239078E-2,-5.977880955E-2,5.672656372E-2
2.557198750E-1,-4.391860589E-2,-4.474554583E-2,7.901414484E-2
2.656838750E-1,-4.232470319E-2,-4.921592772E-2,9.436780214E-2
2.756446250E-1,-6.675339490E-2,-7.252274454E-2,9.842462093E-2
2.856086250E-1,-9.491099417E-2,-1.187826544E-1,9.154647589E-2
2.955726250E-1,-1.270865351E-1,-1.737464666E-1,6.871304661E-2
3.055356250E-1,-1.570082158E-1,-2.172699869E-1,4.094453529E-2
3.154996250E-1,-1.727404743E-1,-2.428494990E-1,8.659924380E-3
3.254636250E-1,-1.789765209E-1,-2.564473450E-1,-9.483925998E-3
3.354276250E-1,-1.917176098E-1,-2.454553246E-1,-1.203642692E-2
3.453916250E-1,-1.950915605E-1,-2.193922997E-1,4.060783889E-3
3.553546250E-1,-1.996878982E-1,-1.971863359E-1,3.071046993E-2
3.653186250E-1,-1.988362223E-1,-1.689666808E-1,4.983063415E-2
3.752826250E-1,-1.739567816E-1,-1.367706358E-1,7.115128636E-2
3.852466250E-1,-1.442763805E-1,-9.764080495E-2,8.413766325E-2
3.952106250E-1,-1.070193723E-1,-4.959131777E-2,8.804029971E-2
4.051746250E-1,-9.805117548E-2,-5.418686941E-2,8.414515853E-2
4.151376250E-1,-1.112116873E-1,-8.094028383E-2,8.323167264E-2
4.251016250E-1,-1.286215633E-1,-1.075764224E-1,8.581361175E-2
4.350656250E-1,-1.448636204E-1,-1.252604276E-1,9.322334081E-2
4.450296250E-1,-1.625550091E-1,-1.282913685E-1,9.587717801E-2
4.549936250E-1,-1.692571789E-1,-1.026826724E-1,9.832423925E-2
4.649576250E-1,-1.690632999E-1,-8.190496266E-2,1.001503691E-1
4.749206250E-1,-1.871629804E-1,-4.984758422E-2,9.157154709E-2
4.848846250E-1,-1.963170618E-1,-9.185375646E-3,8.529847115E-2
4.948486250E-1,-1.906407177E-1,2.438569069E-2,7.609694451E-2
5.048126250E-1,-1.649995297E-1,4.945455864E-2,6.510447711E-2
5.147766250E-1,-1.258548349E-1,7.663515210E-2,5.219748989E-2
5.247406250E-1,-9.077594429E-2,9.440775216E-2,2.962347306E-2
5.347036250E-1,-6.530258805E-2,7.631552219E-2,7.393736392E-3
5.446676250E-1,-5.915042013E-2,4.221907631E-2,-1.276186574E-2
5.546316250E-1,-5.773154274E-2,1.283430122E-2,-4.389753193E-2
5.645956250E-1,-8.109865338E-2,-2.668807469E-2,-6.782603264E-2
5.745596250E-1,-1.127431244E-1,-7.356142253E-2,-7.814436406E-2
5.845226250E-1,-1.565204263E-1,-7.825604826E-2,-7.186330110E-2
5.944866250E-1,-1.709339917E-1,-7.442082465E-2,-4.261939228E-2
