"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.651587499E-2,-4.241804123E-2,2.521728694E-2,4.480896771E-2
4.647987500E-2,-9.282688737E-2,3.223453045E-2,8.216215074E-2
5.644387500E-2,-3.102298737E-2,4.576849580E-2,-2.510209680E-3
6.640787500E-2,-9.176912606E-3,6.662726820E-2,-1.372499388E-1
7.637187499E-2,-1.154883564E-2,1.403197271E-1,-2.069721383E-1
8.633487500E-2,1.364243120E-2,1.783529413E-1,-2.063342071E-1
9.629887500E-2,6.797095835E-3,1.923839200E-1,-1.991526568E-1
1.062628750E-1,8.792458177E-2,2.133502811E-1,-2.251908928E-1
1.162268750E-1,7.829304814E-2,2.542954087E-1,-2.327238607E-1
1.261908750E-1,-1.415026188E-2,3.302279359E-1,-1.499027288E-1
1.361538750E-1,1.702709198E-2,3.592693019E-1,-1.245117795E-1
1.461178750E-1,1.825413018E-2,3.651697272E-1,-1.582975763E-1
1.560818750E-1,8.885984391E-2,3.543547171E-1,-1.590594685E-1
1.660458750E-1,8.662854642E-2,2.815498656E-1,-1.988825154E-1
1.760098750E-1,1.026338375E-1,2.496217293E-1,-1.257046115E-1
1.859738750E-1,9.938453972E-2,2.514548314E-1,2.312047541E-2
1.959368750E-1,5.568274230E-2,2.297739404E-1,8.540501654E-2
2.059008750E-1,6.365863681E-2,1.980007553E-1,1.031647646E-1
2.158648750E-1,4.483849615E-2,1.662877965E-1,2.114154375E-1
2.258288750E-1,-1.182014644E-3,1.271675849E-1,3.551692343E-1
2.357928750E-1,-2.527955979E-2,7.450229824E-2,3.762437689E-1
2.457558750E-1,-6.316513181E-2,4.571879447E-2,4.277062833E-1
2.557198750E-1,-1.167516473E-1,2.790700614E-2,4.015955418E-1
2.656838750E-1,-1.564779228E-1,5.406335592E-3,3.054445124E-1
2.756446250E-1,-1.382308093E-1,7.416608334E-3,2.104611719E-1
2.856086250E-1,-8.974248111E-2,-7.165762782E-3,1.167075008E-1
2.955726250E-1,-7.943237811E-2,-3.984818995E-2,5.802016675E-2
3.055356250E-1,2.949744880E-2,-5.663554609E-2,8.998864889E-3
3.154996250E-1,5.561549932E-2,-4.595268309E-2,-3.877113283E-2
3.254636250E-1,6.957631141E-2,-2.922262967E-2,-6.381066442E-2
3.354276250E-1,6.448791817E-2,-9.496462941E-3,-1.381562573E-1
3.453916250E-1,3.460089862E-2,1.909525216E-2,-2.013178807E-1
3.553546250E-1,1.697008163E-3,3.931258500E-2,-2.202967733E-1
3.653186250E-1,-6.721345156E-2,4.563284039E-2,-2.034854436E-1
3.752826250E-1,-8.139338806E-2,1.142370522E-2,-1.329908270E-1
3.852466250E-1,-5.658847600E-2,-3.507510781E-2,-4.586322069E-2
3.952106250E-1,2.823035717E-3,-1.054767537E-1,5.388793945E-3
4.051746250E-1,-2.012436211E-2,-1.052972442E-1,4.161931157E-2
4.151376250E-1,-1.347783208E-4,-1.081612104E-1,-4.201341391E-2
4.251016250E-1,-8.259250581E-2,-8.378943086E-2,-1.470902181E-1
4.350656250E-1,-9.470662102E-2,-3.688774467E-2,-1.591267115E-1
4.450296250E-1,-5.283368647E-2,-2.476997495E-2,-2.488522357E-1
4.549936250E-1,3.039996654E-2,-3.752684534E-2,-3.415779662E-1
4.649576250E-1,1.107667297E-1,-2.338769317E-2,-3.051591682E-1
4.749206250E-1,1.678130427E-1,-6.356274247E-2,-3.049574393E-1
4.848846250E-1,2.387567255E-1,-1.240556967E-1,-4.070960176E-1
4.948486250E-1,2.289315028E-1,-1.249503207E-1,-2.844231874E-1
5.048126250E-1,1.974227580E-1,-1.640038741E-1,-1.502816284E-1
5.147766250E-1,1.615392727E-1,-2.061500198E-1,-1.020397604E-2
5.247406250E-1,1.464901476E-1,-2.430219769E-1,1.240896106E-1
5.347036250E-1,1.455048917E-1,-2.512408233E-1,1.670286387E-1
5.446676250E-1,8.864130422E-2,-2.589866298E-1,1.676338255E-1
5.546316250E-1,7.478574201E-2,-2.315380454E-1,1.437502885E-1
5.645956250E-1,6.813628837E-2,-1.938235044E-1,1.116595995E-1
5.745596250E-1,4.079777777E-2,-1.568041974E-1,-2.779532433E-2
5.845226250E-1,-3.068399504E-2,-7.176170826E-2,-1.509745234E-1
5.944866250E-1,-9.197334006E-2,-1.498407483E-2,-1.399542761E-1
6.044506250E-1,-1.501839799E-1,-2.606630266E-2,1.096352935E-2
6.144146250E-1,-1.383210026E-1,-2.990324557E-2,1.582917291E-1
6.243786250E-1,-1.026579572E-1,-9.109201849E-2,3.775289869E-1
6.343426250E-1,-7.259084344E-2,-1.288258553E-1,4.727848077E-1
6.443056250E-1,-8.366298482E-2,-1.098838001E-1,3.333573657E-1
6.542696250E-1,-1.451768629E-1,-6.125484645E-2,1.519241112E-1
6.642336250E-1,-9.833569542E-2,-3.434069753E-2,-1.018883175E-1
6.741976250E-1,-7.588253349E-2,-3.395828962E-2,-3.388578415E-1
6.841616250E-1,-8.024674907E-2,-5.485273004E-2,-3.476350969E-1
6.941256250E-1,-8.876891971E-2,-9.884718060E-3,-3.391893786E-1
7.040886250E-1,-6.181588680E-2,-1.415786326E-2,-3.581828892E-1
7.140526250E-1,-2.127564964E-1,-4.662862122E-2,-3.135645407E-1
7.240166250E-1,-3.482949552E-1,-7.124247551E-3,-1.167115939E-1
7.339806250E-1,-1.019502687E0,1.754462904E-1,1.635805357E-1
7.439446250E-1,-2.815944506E-1,1.271868807E-1,6.849428415E-2
7.539086250E-1,5.931108579E-2,-2.316280925E-1,-4.086332506E-1
7.638716250E-1,-1.312353466E-1,-3.628425354E-1,-6.223951757E-1
7.738356250E-1,-1.290869334E-1,-2.880320889E-1,-5.404862094E-1
7.837996250E-1,1.184841773E-1,-1.653189129E-1,-4.419857687E-1
7.937636250E-1,7.819437638E-2,-2.495416224E-1,-3.979240751E-1
8.037276250E-1,-1.041384722E-1,-3.634009445E-1,-2.818381333E-1
8.136906250E-1,-1.990343969E-1,-3.529876381E-1,-5.003579378E-2
8.236546250E-1,-2.621895884E-1,-2.944207567E-1,1.404764324E-1
8.336186250E-1,-3.752069114E-1,-2.904294473E-1,2.680632627E-1
8.435826250E-1,-4.638230726E-1,-3.225160432E-1,3.081231219E-1
8.535466250E-1,-3.601281117E-1,-2.910650396E-1,2.182531714E-1
8.635106250E-1,-2.411285023E-1,-2.872567481E-1,1.032466257E-1
8.734736250E-1,-1.963679203E-1,-2.811522549E-1,-8.694692731E-2
8.834376250E-1,-2.078862043E-1,-2.959503883E-1,-2.399679762E-1
8.934016250E-1,-1.557341570E-1,-2.039239848E-1,-2.829263002E-1
9.033656250E-1,-1.643835045E-1,-1.042587787E-1,-3.019677579E-1
9.133296250E-1,-2.042660469E-1,-5.348623574E-2,-3.777055728E-1
9.232936250E-1,-1.861927418E-1,-4.244201481E-2,-3.811098218E-1
9.332566250E-1,-8.026867613E-2,2.636801898E-2,-2.622499609E-1
9.432206250E-1,-3.452693135E-2,5.880544782E-2,-1.904356277E-1
9.531846250E-1,-6.484313652E-2,1.513376355E-2,-1.538390744E-1
9.631486250E-1,1.652847067E-2,-6.383990049E-2,-6.537537932E-2
9.731126250E-1,1.333741120E-1,-9.192056894E-2,1.157573283E-1
9.830766250E-1,2.254164492E-1,-4.057207525E-2,3.564041662E-1
9.930396250E-1,2.616782494E-1,-3.710233748E-2,4.556863797E-1
1.003003625E0,2.598796459E-1,-3.247602046E-2,4.666499090E-1
1.012967625E0,1.835280195E-1,-5.236532450E-2,3.992432070E-1
1.022931625E0,1.083627932E-1,-3.130131483E-2,3.863366479E-1
1.032895625E0,-1.428311062E-1,1.670198679E-2,4.587678623E-1
1.042859625E0,-3.609632403E-3,6.281663775E-2,2.544603002E-1
1.052822625E0,1.704865359E-1,-1.461453080E-2,9.660769701E-3
1.062786625E0,2.747037993E-1,-1.113777637E-2,-8.521205842E-2
1.072750625E0,3.326805505E-1,8.613942683E-2,-4.297703505E-3
1.082714625E0,4.243844801E-1,1.047844434E-1,8.193410933E-2
1.092678625E0,6.269716452E-1,7.166230559E-2,-1.075484222E-1
1.102642625E0,6.901702523E-1,5.624612153E-2,-3.990397239E-1
1.112605625E0,7.020807382E-1,1.054288065E-1,-5.997395539E-1
1.122569625E0,4.156380688E-1,7.519636273E-2,-5.039323407E-1
1.132533625E0,1.003733039E-2,1.023707128E-1,1.990170014E-1
