"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.797400951E-2,5.217001207E1,4.489029274E0,1.846849843E0,NaN,NaN,1.744462283E1,3.000077144E1
3.188693523E-2,5.216998652E1,4.489024505E0,1.846849843E0,NaN,NaN,1.761269186E1,3.000123221E1
3.188693523E-2,5.216998652E1,4.489024505E0,1.846849843E0,NaN,NaN,1.761269186E1,3.000123221E1
1.450276017E0,5.216998629E1,4.489023752E0,1.846846028E0,NaN,NaN,1.833620381E1,3.000000000E1
2.218298078E0,5.216985122E1,4.488829086E0,7.493172836E1,5.699999928E-1,1.585546875E2,3.313581656E1,3.200000000E1
3.220851064E0,5.216993152E1,4.488743003E0,8.071620941E0,0.000000000E0,1.585546875E2,3.234489140E1,1.200000000E1
4.222158074E0,5.216994820E1,4.488855908E0,7.784389496E0,3.100000024E-1,1.585546875E2,2.669480841E1,8.000000000E0
5.230158925E0,5.216990596E1,4.488688940E0,6.006008148E0,3.100000024E-1,1.585546875E2,2.626142203E1,8.000000000E0
6.219910026E0,5.216996626E1,4.488787511E0,5.071681976E0,0.000000000E0,1.585546875E2,1.904345689E1,8.000000000E0
7.230485082E0,5.217020330E1,4.489039639E0,4.405784607E-1,2.199999988E-1,1.585546875E2,2.254034935E1,8.000000000E0
8.598605156E0,5.217027283E1,4.489063025E0,2.551536560E-1,0.000000000E0,NaN,1.347073981E1,4.000000000E0
9.601032734E0,5.217027002E1,4.489059001E0,7.253684998E-1,0.000000000E0,NaN,1.140161511E1,6.000000000E0
1.060339653E1,5.217026676E1,4.489057492E0,9.989891052E-1,0.000000000E0,NaN,8.981884506E0,6.000000000E0
1.160567713E1,5.217026462E1,4.489061767E0,1.769008636E0,4.300000072E-1,1.272656250E2,7.128101525E0,6.000000000E0
1.260779083E1,5.217026215E1,4.489066126E0,1.915859222E0,0.000000000E0,1.448437500E2,6.613294169E0,6.000000000E0
1.360974181E1,5.217026189E1,4.489070317E0,2.575588226E0,1.700000018E-1,1.617187500E2,6.034766067E0,6.000000000E0
1.461159837E1,5.217026189E1,4.489070317E0,2.575588294E0,1.700000018E-1,NaN,6.034766067E0,6.000000000E0
1.561331606E1,5.217026286E1,4.489076519E0,2.765285558E0,0.000000000E0,NaN,5.737187179E0,6.000000000E0
1.661489308E1,5.217025987E1,4.489064983E0,2.793972136E0,8.199999928E-1,2.450390539E2,5.668276562E0,6.000000000E0
