"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.651587499E-2,3.480329895E1,-2.843496132E1,-1.705656815E1
4.647987500E-2,3.478877258E1,-2.838103676E1,-1.694518280E1
5.644387500E-2,3.473240662E1,-2.837687874E1,-1.669816208E1
6.640787500E-2,3.466500854E1,-2.831327629E1,-1.656888962E1
7.637187499E-2,3.468458557E1,-2.837004662E1,-1.688289261E1
8.633487500E-2,3.463986206E1,-2.824209023E1,-1.710421371E1
9.629887500E-2,3.451431274E1,-2.828088570E1,-1.712538528E1
1.062628750E-1,3.450257874E1,-2.822977257E1,-1.716542435E1
1.162268750E-1,3.450952148E1,-2.827652931E1,-1.733559418E1
1.261908750E-1,3.448463440E1,-2.808191872E1,-1.720924377E1
1.361538750E-1,3.445715332E1,-2.811944389E1,-1.730305862E1
1.461178750E-1,3.445715332E1,-2.811944389E1,-1.730305862E1
1.560818750E-1,3.447343445E1,-2.822273827E1,-1.738140106E1
1.660458750E-1,3.453793335E1,-2.833065224E1,-1.749784088E1
1.760098750E-1,3.463345337E1,-2.830932045E1,-1.753919983E1
1.859738750E-1,3.456484985E1,-2.833969688E1,-1.769488525E1
1.959368750E-1,3.446273804E1,-2.828333855E1,-1.773415375E1
2.059008750E-1,3.442341614E1,-2.818723869E1,-1.772883606E1
2.158648750E-1,3.441526794E1,-2.811157417E1,-1.800770950E1
2.258288750E-1,3.428349304E1,-2.807113457E1,-1.808976364E1
2.357928750E-1,3.429582214E1,-2.806275749E1,-1.823825836E1
2.457558750E-1,3.421389771E1,-2.807821846E1,-1.851508331E1
2.557198750E-1,3.407986450E1,-2.805969810E1,-1.835224533E1
2.656838750E-1,3.408589172E1,-2.818956566E1,-1.841928482E1
2.756446250E-1,3.396286011E1,-2.813090324E1,-1.842350006E1
2.856086250E-1,3.398152161E1,-2.819486427E1,-1.841837692E1
2.955726250E-1,3.401667786E1,-2.822865868E1,-1.853605652E1
3.055356250E-1,3.387889099E1,-2.818752861E1,-1.872622681E1
3.154996250E-1,3.388214111E1,-2.813210106E1,-1.887747192E1
3.254636250E-1,3.387844849E1,-2.810703850E1,-1.887630844E1
3.354276250E-1,3.381445312E1,-2.802420044E1,-1.896442795E1
3.453916250E-1,3.379525757E1,-2.799432373E1,-1.889405060E1
3.553546250E-1,3.376809692E1,-2.803324890E1,-1.923469543E1
3.653186250E-1,3.369787598E1,-2.800088120E1,-1.945299911E1
3.752826250E-1,3.364085388E1,-2.796941376E1,-1.957255936E1
3.852466250E-1,3.364085388E1,-2.796941376E1,-1.957255936E1
3.952106250E-1,3.350111389E1,-2.802688217E1,-1.959201431E1
4.051746250E-1,3.342907715E1,-2.794453430E1,-1.980982208E1
4.151376250E-1,3.349890137E1,-2.800344849E1,-1.984515762E1
