"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.729766667E-2,9.386773109E-1,-1.372645050E-1,-3.406555057E-1
2.726266667E-2,7.486533523E-1,-3.664665520E-1,-4.505162239E-1
3.722666667E-2,3.834998906E-1,-5.532295704E-1,-6.771593094E-1
4.719166667E-2,-5.947325751E-2,-7.583858967E-1,-8.731410503E-1
5.715566667E-2,-5.147501826E-1,-8.778886199E-1,-9.912134409E-1
6.712066667E-2,-9.126600027E-1,-9.050214291E-1,-1.061018825E0
7.708466667E-2,-1.185249567E0,-9.163527489E-1,-1.073231697E0
8.704866667E-2,-1.286271572E0,-8.566268682E-1,-9.804914594E-1
9.701366667E-2,-1.264173865E0,-7.618634701E-1,-8.147720098E-1
1.069776667E-1,-1.110121489E0,-7.139212489E-1,-6.058217287E-1
1.169426667E-1,-9.423295259E-1,-7.643803954E-1,-3.660288155E-1
1.269066667E-1,-7.601749301E-1,-7.849599719E-1,-1.902921498E-1
1.368716667E-1,-4.986228347E-1,-7.784747481E-1,-1.387744695E-1
1.468356667E-1,-2.465855330E-1,-9.167063832E-1,-1.233939081E-1
1.568006667E-1,-7.105393708E-2,-1.065222383E0,-1.139889136E-1
1.667646667E-1,3.499232978E-2,-1.015216470E0,-1.600962281E-1
1.767296667E-1,1.104659215E-1,-8.317644596E-1,-2.275422662E-1
1.866936667E-1,1.545968950E-1,-6.603221297E-1,-2.523192465E-1
1.966576667E-1,1.595040560E-1,-5.185069442E-1,-2.112224698E-1
2.066226667E-1,1.735519618E-1,-3.466539383E-1,-1.185670942E-1
2.165866667E-1,2.100458294E-1,-1.590726525E-1,3.481441364E-2
2.265516667E-1,9.336742014E-2,-3.158419579E-2,2.175440043E-1
2.365156667E-1,9.234172851E-2,1.584194005E-1,3.498363793E-1
2.464806667E-1,1.676234305E-1,3.654889464E-1,4.306350946E-1
2.564446667E-1,2.635117173E-1,5.478101373E-1,4.824272394E-1
2.664086667E-1,2.319654971E-1,5.981047153E-1,5.325993299E-1
2.763736667E-1,1.442520618E-1,5.937799215E-1,5.616773963E-1
2.863376667E-1,5.740530416E-2,5.706972480E-1,5.651267171E-1
2.963026667E-1,5.793082993E-3,4.673600793E-1,5.826318264E-1
3.062666667E-1,-3.700553905E-3,2.404065430E-1,6.490689516E-1
3.162316667E-1,4.479039460E-3,-1.685421541E-2,7.680251002E-1
3.261956667E-1,-8.716992289E-2,-3.969109058E-2,9.473802447E-1
3.361606667E-1,-4.006305635E-1,1.238852441E-1,1.130759239E0
3.461246667E-1,-7.744134665E-1,2.084850818E-1,1.297612190E0
3.560896667E-1,-1.011093378E0,1.762363464E-1,1.430769324E0
3.660536667E-1,-1.251881719E0,1.220370233E-1,1.446833611E0
3.760176667E-1,-1.433543563E0,-1.300664395E-1,1.387786984E0
3.859826667E-1,-9.738956094E-1,3.513830304E-1,5.112450719E-1
3.959466667E-1,-3.919070661E-1,2.267071754E-1,-4.327775538E-1
4.059116667E-1,-1.273624897E-1,1.959023923E-1,-7.366176248E-1
4.158756667E-1,-1.418593340E-2,6.942268014E-1,-5.135644078E-1
4.258406667E-1,1.527455300E-1,8.552604318E-1,1.130582094E-1
4.358046667E-1,5.415628478E-2,8.613399267E-1,8.492454290E-1
4.457696667E-1,-2.904911339E-1,1.068101883E0,1.346457720E0
4.557336667E-1,-6.773049831E-1,1.270042300E0,1.510132551E0
4.656976667E-1,-9.713912010E-1,1.448832631E0,1.399142027E0
4.756626667E-1,-1.108417034E0,1.716377258E0,1.165780306E0
4.856266667E-1,-1.162818193E0,1.991487861E0,1.011119366E0
4.955916667E-1,-1.282543778E0,2.113954544E0,9.709258676E-1
5.055556667E-1,-1.461486101E0,2.128077984E0,9.866915345E-1
5.155206667E-1,-1.562034249E0,1.976084113E0,9.926658273E-1
5.254846667E-1,-1.515188932E0,1.635873318E0,9.986222386E-1
5.354496667E-1,-1.332828403E0,1.004631877E0,1.060051203E0
5.454136667E-1,-9.349675179E-1,3.101766706E-1,1.195246577E0
5.553776667E-1,-3.291123509E-1,-4.144068062E-1,1.360175252E0
5.653426667E-1,2.514413297E-1,-1.025920510E0,1.393544912E0
5.753066667E-1,6.769663095E-1,-1.259747982E0,1.224688888E0
5.852716667E-1,8.717328906E-1,-1.242243648E0,9.022313356E-1
5.952356667E-1,9.534319043E-1,-1.650297165E0,5.376551151E-1
6.052006667E-1,1.056825399E0,-2.032852888E0,3.143048584E-1
6.151646667E-1,1.145205021E0,-2.103675842E0,2.688360214E-1
6.251296667E-1,1.130748510E0,-1.998066545E0,2.841995358E-1
6.350936667E-1,1.087985277E0,-1.445473671E0,3.424834311E-1
6.450576667E-1,1.072010636E0,-7.383112311E-1,4.937573671E-1
6.550226667E-1,1.012409210E0,-1.582224220E-1,6.951677203E-1
6.649866667E-1,9.785562158E-1,2.803913951E-1,8.607878685E-1
6.749516667E-1,9.273128510E-1,5.324254036E-1,9.831150770E-1
6.849156667E-1,8.528569937E-1,6.519169211E-1,1.050904274E0
6.948806667E-1,7.565827370E-1,6.118437052E-1,1.068975806E0
7.048446667E-1,6.510280967E-1,4.734984040E-1,1.073745251E0
7.148096667E-1,5.392988324E-1,2.980229557E-1,1.068762898E0
7.247736667E-1,4.102268815E-1,1.449860334E-1,1.043570876E0
7.347386667E-1,2.985093892E-1,1.953433640E-2,9.707168341E-1
7.447026667E-1,1.946751475E-1,-7.526042406E-3,8.425700665E-1
7.546666667E-1,9.428692609E-2,1.885428652E-2,7.098609209E-1
7.646316667E-1,6.038754806E-2,6.237912923E-2,5.674973726E-1
7.745956667E-1,3.993266821E-2,1.450225264E-1,4.565720856E-1
7.845606667E-1,1.487578731E-2,2.105496079E-1,3.497657478E-1
7.945246667E-1,-4.658083897E-3,2.354553342E-1,2.610358596E-1
8.044896667E-1,-5.368448049E-2,2.267244309E-1,2.003578544E-1
8.144536667E-1,-1.399840862E-1,1.729375124E-1,1.775015742E-1
8.244186667E-1,-2.154192030E-1,1.146379858E-1,1.769364476E-1
8.343826667E-1,-2.597140670E-1,4.397458583E-2,2.159024626E-1
8.443466667E-1,-2.686756253E-1,-3.211379051E-2,2.924917936E-1
8.543116667E-1,-2.650320530E-1,-6.766338646E-2,3.824600875E-1
8.642756667E-1,-2.657657564E-1,-4.456206411E-2,4.704203010E-1
8.742406667E-1,-2.864006758E-1,-3.647404537E-2,5.297819376E-1
8.842046667E-1,-3.329263628E-1,-5.850184709E-2,5.483143330E-1
8.941696667E-1,-4.278294146E-1,-1.291249245E-1,5.349830389E-1
9.041336667E-1,-5.430044532E-1,-2.451050580E-1,5.187484026E-1
9.140984583E-1,-6.421064138E-1,-3.668148518E-1,4.939875603E-1
9.240624583E-1,-6.667504907E-1,-4.746457040E-1,4.416702986E-1
9.340274583E-1,-6.319570541E-1,-5.339926481E-1,3.702689111E-1
9.439914583E-1,-5.746181607E-1,-5.257240534E-1,3.025487065E-1
9.539554583E-1,-5.164964795E-1,-4.442285001E-1,2.530930042E-1
9.639204583E-1,-4.704565406E-1,-2.941023707E-1,2.137977928E-1
9.738844583E-1,-4.271544516E-1,-1.513485909E-1,1.669184864E-1
9.838494583E-1,-3.944481611E-1,5.094549619E-3,1.115327254E-1
9.938134583E-1,-3.115505874E-1,1.913647801E-1,6.386739761E-2
1.003778458E0,-1.856310070E-1,3.457700610E-1,1.896943524E-2
1.013742458E0,-8.079567552E-2,4.348546863E-1,3.867325839E-3
1.023707458E0,-6.570167840E-2,4.779856503E-1,1.994935796E-2
1.033671458E0,-1.479392201E-1,4.972814918E-1,6.536385417E-2
1.043635458E0,-3.242809772E-1,5.331042409E-1,1.218012944E-1
1.053600458E0,-5.589188933E-1,6.173910499E-1,1.414222419E-1
1.063564458E0,-7.952869534E-1,7.185051441E-1,1.264944226E-1
1.073529458E0,-9.517756701E-1,7.654539943E-1,1.048538238E-1
1.083493458E0,-9.980723262E-1,7.331210971E-1,5.265853554E-2
1.093458458E0,-9.397315383E-1,6.148878932E-1,-2.105436288E-2
1.103422458E0,-7.779623270E-1,3.738526702E-1,-1.160743535E-1
1.113387458E0,-5.417959690E-1,7.054376602E-2,-2.454400957E-1
1.123351458E0,-2.974751890E-1,-1.742697209E-1,-3.589999378E-1
1.133316458E0,-7.015454024E-2,-2.865322232E-1,-4.598768950E-1
1.143280458E0,1.248133481E-1,-3.121108115E-1,-5.558889508E-1
1.153244458E0,2.584018111E-1,-2.463273108E-1,-6.507211924E-1
1.163209458E0,3.377134204E-1,-1.281929314E-1,-7.330073118E-1
1.173173458E0,3.373387158E-1,2.900571562E-2,-7.882376909E-1
1.183138458E0,2.420571893E-1,2.374888808E-1,-8.211432099E-1
1.193102458E0,5.877460912E-2,4.461580813E-1,-8.376259208E-1
1.203067458E0,-1.626826823E-1,6.035951376E-1,-8.433741331E-1
1.213031458E0,-3.635893762E-1,6.760655046E-1,-8.462007642E-1
1.222996458E0,-4.978417158E-1,6.726633310E-1,-8.423554301E-1
1.232960458E0,-5.782014132E-1,6.123862267E-1,-8.442611098E-1
1.242925458E0,-6.068186760E-1,5.648948550E-1,-8.428909183E-1
1.252889458E0,-5.967025161E-1,4.845117629E-1,-8.444883823E-1
1.262853458E0,-4.178339243E-1,5.550820380E-2,-8.000460863E-1
1.272818458E0,-1.588549465E-1,-3.095152080E-1,-8.424465060E-1
1.282782458E0,1.945399446E-3,-4.508361220E-1,-8.974708915E-1
1.292747458E0,3.594436944E-1,-4.362713993E-1,-8.002889752E-1
1.302711458E0,5.686200857E-1,-1.378442198E-1,-6.971178651E-1
1.312676458E0,6.299962401E-1,1.250975281E-1,-6.460455060E-1
1.322640458E0,5.176334381E-1,2.605594993E-1,-5.803639293E-1
1.332605458E0,2.764117718E-1,3.333040476E-1,-5.608747005E-1
1.342569458E0,-8.953081816E-2,4.117740989E-1,-5.168371797E-1
1.352533458E0,-5.469109416E-1,4.001537263E-1,-4.849317074E-1
