"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.729766667E-2,-1.839931655E-1,2.263740769E-1,1.847340077E0
2.726266667E-2,2.156213397E-1,3.299724126E-1,3.890924406E-1
3.722666667E-2,9.339927131E-1,4.940982011E-1,-9.363140577E-1
4.719166667E-2,1.735821249E0,2.324481645E-1,-1.953843602E0
5.715566667E-2,1.650874801E0,-1.915460140E-2,-2.201857347E0
6.712066667E-2,1.598204544E0,-1.982600793E-1,-2.150783672E0
7.708466667E-2,1.337150192E0,-1.674320966E-1,-2.079894953E0
8.704866667E-2,7.712103224E-1,-3.236708683E-1,-1.604195309E0
9.701366667E-2,-3.003983653E-1,-4.986792022E-1,-7.943389839E-1
1.069776667E-1,-1.312796247E0,-2.888492373E-1,-6.273904520E-1
1.169426667E-1,-2.065495600E0,-4.649606484E-1,-3.728500450E-1
1.269066667E-1,-2.356221794E0,-6.059039810E-1,-3.677764159E-1
1.368716667E-1,-2.117709920E0,-3.814118305E-1,-6.075333077E-1
1.468356667E-1,-1.766962497E0,-4.576419809E-1,-8.998227543E-1
1.568006667E-1,-1.435249953E0,-7.484982750E-1,-1.390601783E0
1.667646667E-1,-9.797843785E-1,-8.837160140E-1,-1.746772061E0
1.767296667E-1,-6.540946128E-1,-7.601818889E-1,-1.968776806E0
1.866936667E-1,-6.816108788E-1,-6.010984468E-1,-2.291196370E0
1.966576667E-1,-9.123847662E-1,-4.351214299E-1,-2.558305952E0
2.066226667E-1,-1.064563304E0,-2.367829978E-1,-2.589418986E0
2.165866667E-1,-1.152960414E0,-2.333506823E-2,-2.402285866E0
2.265516667E-1,-1.089336422E0,-1.674905688E-2,-2.487938805E0
2.365156667E-1,-8.226321255E-1,5.528542399E-2,-2.813344542E0
2.464806667E-1,-4.970898559E-1,2.452740321E-1,-2.468390978E0
2.564446667E-1,-5.192187166E-1,-1.450129947E-1,-2.317717001E0
2.664086667E-1,-4.968773827E-1,-2.121805456E-1,-2.353501961E0
2.763736667E-1,-5.211466898E-1,-1.365342396E-1,-2.756863947E0
2.863376667E-1,-6.640369990E-1,-1.145355526E-1,-2.933422378E0
2.963026667E-1,-8.985544201E-1,-1.007001632E-1,-2.843911446E0
3.062666667E-1,-1.196659069E0,-5.993045211E-2,-2.806075868E0
3.162316667E-1,-1.423501288E0,2.027346611E-2,-2.639292812E0
3.261956667E-1,-1.476665196E0,2.286726174E-1,-2.546278229E0
3.361606667E-1,-1.375124788E0,5.293151039E-1,-2.928132402E0
3.461246667E-1,-9.133861019E-1,9.626127872E-1,-3.297308641E0
3.560896667E-1,-5.477671623E-1,8.994061401E-1,-3.275006776E0
3.660536667E-1,-6.853521466E-2,6.063217646E-1,-2.736344898E0
3.760176667E-1,4.014043744E-1,8.350493458E-1,-1.986538893E0
3.859826667E-1,1.028973203E0,-4.132744780E-1,-9.373495996E-1
3.959466667E-1,2.851624509E0,-2.694410421E0,8.939153123E-1
4.059116667E-1,2.523761771E0,-5.229018778E-1,2.014679203E0
4.158756667E-1,9.332096978E-1,-1.673794717E-2,2.409862688E0
4.258406667E-1,-6.494992860E-1,1.266066030E0,1.763638939E0
4.358046667E-1,-3.570804552E0,2.365502787E0,1.228579531E0
4.457696667E-1,-3.493870981E0,2.356077075E0,1.751170921E-1
4.557336667E-1,-1.842125676E0,2.161801288E0,-1.226079261E0
4.656976667E-1,-8.421647494E-1,1.636429254E0,-1.696017060E0
4.756626667E-1,-3.914344697E-1,1.077951747E0,-9.700712031E-1
4.856266667E-1,-2.473395610E-1,9.135879770E-1,5.719418907E-1
4.955916667E-1,-6.835963739E-1,7.220153582E-1,1.403232939E0
5.055556667E-1,-9.006260155E-1,4.395316923E-1,1.587348311E0
5.155206667E-1,-8.463167842E-1,-5.007058471E-2,2.337351367E0
5.254846667E-1,-8.322330344E-1,-7.415383342E-1,4.042038093E0
5.354496667E-1,-1.603700927E0,-1.314687967E0,6.245939042E0
5.454136667E-1,-2.674510300E0,-1.499775439E0,8.152735947E0
5.553776667E-1,-3.536521742E0,-1.466074427E0,9.082730334E0
5.653426667E-1,-4.073934070E0,-1.803333932E0,8.801638890E0
5.753066667E-1,-3.839432948E0,-2.075712440E0,7.977225337E0
5.852716667E-1,-2.737282206E0,-1.632817429E0,6.899647227E0
5.952356667E-1,-1.456230347E0,-5.920606980E-1,5.563273691E0
6.052006667E-1,-2.669253945E-2,-1.064522155E0,4.243705053E0
6.151646667E-1,-3.438640083E-1,-2.851723911E0,2.946843492E0
6.251296667E-1,-1.163418233E0,-2.533633626E0,1.937115303E0
6.350936667E-1,-5.526150888E-1,-1.045876846E0,6.861046833E-1
6.450576667E-1,-4.002441772E-1,-2.438584211E-1,1.605645418E-3
6.550226667E-1,-8.127027494E-1,-4.965367824E-1,-5.742603117E-1
6.649866667E-1,-8.815972754E-1,-1.066229834E0,-9.719189233E-1
6.749516667E-1,-8.341282631E-1,-1.113847804E0,-1.165717869E0
6.849156667E-1,-7.030120535E-1,-1.177953168E0,-1.378608559E0
6.948806667E-1,-4.124769909E-1,-1.252850153E0,-1.637043797E0
7.048446667E-1,-1.231391457E-1,-1.304840379E0,-1.859077193E0
7.148096667E-1,-3.314391866E-2,-1.299108646E0,-2.109925084E0
7.247736667E-1,1.500237662E-1,-1.432940302E0,-2.474358062E0
7.347386667E-1,4.614097440E-1,-1.306153956E0,-2.842413390E0
7.447026667E-1,1.060672055E0,-9.973475870E-1,-2.990612825E0
7.546666667E-1,1.572628823E0,-1.020673592E0,-3.156774321E0
7.646316667E-1,1.601228139E0,-8.160184130E-1,-3.159748800E0
7.745956667E-1,1.648015074E0,-5.199227214E-1,-2.897500593E0
7.845606667E-1,1.535612147E0,-4.132183447E-1,-3.029454709E0
7.945246667E-1,1.477606306E0,-1.990193403E-1,-3.130496934E0
8.044896667E-1,1.255867024E0,1.037430543E-1,-3.238865136E0
8.144536667E-1,9.116174653E-1,3.680836871E-1,-3.454520389E0
8.244186667E-1,5.886102926E-1,5.547057608E-1,-3.537267846E0
8.343826667E-1,2.507266337E-1,7.376677698E-1,-3.244707674E0
8.443466667E-1,-1.287675293E-1,8.616068146E-1,-2.874935018E0
8.543116667E-1,-3.665958631E-1,9.305603975E-1,-2.530249842E0
8.642756667E-1,-3.409526430E-1,1.050278045E0,-2.330727641E0
8.742406667E-1,-8.243506953E-2,1.225648029E0,-2.091025128E0
8.842046667E-1,2.864470732E-1,1.275403157E0,-1.931981447E0
8.941696667E-1,4.935521442E-1,1.164229461E0,-1.949898486E0
9.041336667E-1,5.671103364E-1,1.073495292E0,-2.036344306E0
9.140984583E-1,4.644938213E-1,9.751571113E-1,-1.941886631E0
9.240624583E-1,4.028443609E-1,9.146559709E-1,-1.597741737E0
9.340274583E-1,5.224222234E-1,9.326917076E-1,-9.915345776E-1
9.439914583E-1,5.157443742E-1,8.522986320E-1,-5.213406712E-1
9.539554583E-1,3.972634128E-1,8.559923181E-1,-3.741773629E-1
9.639204583E-1,3.084188813E-1,1.023687247E0,-3.638441634E-1
9.738844583E-1,1.785171567E-1,1.216328152E0,-2.314035594E-1
9.838494583E-1,2.314156193E-1,1.384036530E0,-4.653857410E-2
9.938134583E-1,3.015870494E-1,1.489743956E0,4.187805086E-1
1.003778458E0,1.957378829E-1,1.495410493E0,1.199662710E0
1.013742458E0,-1.511172686E-2,1.382183255E0,1.763806170E0
1.023707458E0,-1.917913046E-1,1.294113954E0,1.819129601E0
1.033671458E0,-2.685469736E-1,1.440893978E0,1.591325002E0
1.043635458E0,-2.735218578E-1,1.510422927E0,1.425466391E0
1.053600458E0,-8.013779900E-2,1.228441244E0,1.323267587E0
1.063564458E0,1.288900010E-1,7.570346251E-1,1.675229039E0
1.073529458E0,1.290360627E-1,1.395648515E-1,2.515037726E0
1.083493458E0,2.343609532E-1,-4.764571515E-1,3.598995148E0
1.093458458E0,5.076102759E-1,-1.021170605E0,4.656735994E0
1.103422458E0,6.592199897E-1,-1.570375598E0,5.386703566E0
1.113387458E0,9.876681063E-1,-1.865910542E0,5.824821401E0
1.123351458E0,1.389908304E0,-1.931017826E0,5.653941786E0
1.133316458E0,1.566677527E0,-1.935184260E0,4.921961603E0
1.143280458E0,1.901489387E0,-1.754794149E0,4.015930860E0
1.153244458E0,2.202513404E0,-1.625166640E0,2.921028619E0
1.163209458E0,2.368847394E0,-1.466327027E0,1.885611273E0
1.173173458E0,2.370820098E0,-1.240540595E0,8.687021184E-1
1.183138458E0,2.346336491E0,-9.771565667E-1,-1.827120405E-1
1.193102458E0,2.319066100E0,-6.966434124E-1,-1.121456201E0
1.203067458E0,2.166024148E0,-5.165632036E-1,-1.788063344E0
1.213031458E0,1.961962461E0,-5.693688235E-1,-1.998674789E0
1.222996458E0,1.675319670E0,-6.267080820E-1,-1.773946411E0
