Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0.005691051483,52.28378054,4.679875983,4.121570182,47.02550377,NaN,NaN,0.0006111697272,1478.207162,31.39360166,-1
3.102090001,52.28377807,4.679867954,4.121570182,47.02551165,NaN,NaN,0.0006111697272,1549.743615,31.41185587,-1
3.116500974,52.28377807,4.679867954,4.121570182,47.02551165,NaN,NaN,0.1707286877272,1549.743618,31.41185587,-1
3.973080039,52.28234882,4.678975841,4.121570182,47.02796887,NaN,NaN,0.1718529766862,1550.58877,31.41204926,-1
30.718799,52.28234447,4.67896092,4.121570182,47.0279832,NaN,NaN,0.4780290933862,2125.638953,31.46684863,-1
31.54531002,52.28195216,4.674505955,4.121570182,47.03102162,NaN,NaN,0.4792500525212,2126.210871,31.46710472,-1
45.83794701,52.28194727,4.674489888,4.121570182,47.03103734,NaN,NaN,1.0199012791212,2276.274573,31.48677737,-1
46.63227606,52.28149707,4.666576365,4.121570182,47.03609588,NaN,NaN,1.0948062181912,2276.76727,31.48696691,-1
48.91969597,52.280834,4.666382086,4.121570182,47.03711067,NaN,NaN,2.4889674011912,2280.83101,31.48749194,-1
62.518646,52.2683001,4.665858385,4.121570182,47.05452385,NaN,NaN,3.0603615727912,2181,31.49549285,-1
62.53371596,52.26316311,4.665643748,4.121570182,47.06165984,NaN,NaN,3.0613497593042,2181,31.49549286,-1
76.21555698,52.26316258,4.665629253,4.121570182,47.06166864,NaN,NaN,3.06134975930426,2316.213316,31.51627377,-1
76.22964799,52.26316258,4.665629253,4.121570182,47.06166864,NaN,NaN,5.95871383830426,2316.213446,31.51627377,-1
76.95908105,52.23716112,4.662860497,4.121570182,47.09871054,NaN,NaN,6.93505864190426,1414,31.51639813,-1
79.525226,52.2457705,4.665677215,4.121570182,47.08539597,NaN,NaN,6.94700039964426,1422.204151,31.51865235,-1
80.40234005,52.24586956,4.665609469,4.121570182,47.08529821,NaN,NaN,6.94700039964505,1423.167906,31.51894615,-1
80.40333498,52.24586956,4.665609469,4.121570182,47.08529821,NaN,NaN,6.94749082805345,1423.167906,31.51894615,-1
91.96399498,52.24587124,4.665602807,4.121570182,47.08529961,NaN,NaN,6.94749082805345,1570.558366,31.54083064,-1
91.97830105,52.24587124,4.665602807,4.121570182,47.08529961,NaN,NaN,7.20311092865345,1570.558522,31.54083064,-1
93.94391108,52.24626112,4.661902594,4.121570182,47.08681792,NaN,NaN,7.38372784805345,1574.909518,31.54178143,-1
